SL2484	terorizma (noun)
SL3242	sila (noun)
SL2312	drog (noun)
SL3017	ideološki (adjective)
SL2502	umor (noun)
SL1249	klošar (noun)
SL1048	mevža (noun)
SL527	pes (noun)
SL198	budala (noun)
SL3118	ponosen (adjective)
SL1197	pička (noun)
SL2645	pridigati (verb)
SL2023	neprimeren (adjective)
SL529	svinja (noun)
SL806	kasta (noun)
SL2358	morski (noun)
SL1596	napačen (adjective)
SL3058	neumno (adjective)
SL35	dejavnik (noun)
SL1120	norost (noun)
SL2610	hoditi (verb)
SL2658	oglas (noun)
SL150	Živali (noun)
SL460	drhal (noun)
SL1594	čreda (noun)
SL1433	noro (adjective)
SL31	napačne (noun)
SL283	jajce (noun)
SL1427	besen (adjective)
SL511	Črna (noun)
SL1642	fašizem (noun)
SL284	teste (noun)
SL1947	revščine (noun)
SL508	zlo (noun)
SL2834	kitajski (adjective)
SL1652	bob (noun)
SL3273	svinjski (adjective)
SL2723	običájen (adjective)
SL1191	fant (noun)
SL463	banda (noun)
SL2535	kača (noun)
SL812	retard (noun)
SL1277	zločin (noun)
SL1943	revne (noun)
SL1422	zaposleni (noun)
SL1739	sus (noun)
SL1516	družini (noun)
SL2291	grah (noun)
SL2300	prase (noun)
SL1716	vedeti (verb)
SL459	tolpa (noun)
SL3132	ustrahovanje (noun)
SL549	mater (noun)
SL2525	žal (noun)
SL2196	dojenček (noun)
SL675	egoizem (noun)
SL208	kreten (noun)
SL2141	wc (noun)
SL2613	umreti (verb)
SL2892	repa (noun)
SL352	kuža (noun)
SL967	prof (noun)
SL816	debilizem (noun)
SL1313	dvoličnost (noun)
SL2221	mafije (noun)
SL2449	negro (noun)
SL1195	pizda (noun)
SL1429	nor (adjective)
SL3089	omejen (adjective)
SL2214	milíčnik (noun)
SL461	tolpe (noun)
SL907	zmeda (noun)
SL1595	čréda (noun)
SL2483	terorist (noun)
SL1222	dame (noun)
SL1402	kmet (noun)
SL1626	bes (noun)
SL487	tur (noun)
SL480	zločinec (noun)
SL3272	kmečki (adjective)
SL2633	krompir (noun)
SL2820	slepi (adjective)
SL639	krava (noun)
SL169	posilstva (noun)
SL235	pohlep (noun)
SL1013	puf (noun)
SL216	nič ne vem (noun)
SL382	butelj (noun)
SL1565	smrad (noun)
SL923	tič (noun)
SL1644	fašisti (noun)
SL1434	kriminal (noun)
SL1374	ovca (noun)
SL2795	kokoš (noun)
SL2833	kitájski (adjective)
SL477	kriminálec (noun)
SL1315	lažna (noun)
SL818	debil (noun)
SL1430	ljubitelj (noun)
SL704	gnida (noun)
SL1552	hitro 1 (noun)
SL2551	volk (noun)
SL1973	nedolžen (adjective)
SL2511	ubijanje (noun)
SL3100	raper (noun)
SL629	časa (noun)
SL483	kazenske (noun)
SL974	zelje (noun)
SL3151	bol (noun)
SL2341	vodja (noun)
SL193	osel (noun)
SL2504	slayer (noun)
SL2700	klepet (noun)
SL1802	prostitutke (noun)
SL119	šund (noun)
SL158	bitje (noun)
SL1208	kamarila (noun)
SL344	advokat (noun)
SL194	budalo (noun)
SL1939	nesmiselno (noun)
SL857	prevarant (noun)
SL724	gotova (noun)
SL550	baraba (noun)
SL100	šala (noun)
SL330	svetovalec (noun)
SL3262	rom (noun)
SL2024	žalostno (adjective)
SL325	trgovec (noun)
SL2209	policistov (noun)
SL312	barbari (noun)
SL2265	župniji (noun)
SL699	na debelo (noun)
SL2311	palica (noun)
SL2937	umazano (adjective)
SL2818	črn (adjective)
SL2607	uničiti (verb)
SL2824	rjava (adjective)
SL3088	glup (adjective)
SL3155	mučenje (noun)
SL1709	poznati (verb)
SL2765	oster (adjective)
SL769	klan (noun)
SL223	osli (noun)
SL1658	umazan (adjective)
SL348	pravnik (noun)
SL1553	trik (noun)
SL998	zajec (noun)
SL3240	nasilje (noun)
SL187	neumen (adjective)
SL746	podel (adjective)
SL1246	teorija (noun)
SL2118	lopova (noun)
SL2685	bati se (verb)
SL2315	slaba (noun)
SL3008	žalosten (adjective)
SL1776	krajo (noun)
SL1593	trop (noun)
SL3069	hiter (adjective)
SL3087	inteligenten (adjective)
SL1843	Židi (noun)
SL3128	terorizem (noun)
SL471	lopov (noun)
SL1296	jerry (noun)
SL824	žaljive (noun)
SL137	nepismen (adjective)
SL3080	političen (adjective)
SL118	nasilen (adjective)
SL2747	divji (adjective)
SL1193	sinko (noun)
SL2220	mafija (noun)
SL1220	dama (noun)
SL2803	otrok (noun)
SL1987	učiteljica (noun)
SL2722	navajen (adjective)
SL1461	morala (noun)
SL1421	dejanje (noun)
SL969	prof. (noun)
SL2288	beden (adjective)
SL1381	vratar (noun)
SL837	lažne obtožbe (noun)
SL1464	moralo (noun)
SL2632	murphy (noun)
SL2109	nered (noun)
SL468	pasu (noun)
SL1542	težak (noun)
SL1554	izsiljevanja (noun)
SL478	prepovedali (noun)
SL2154	lev (noun)
SL2963	Žabe (noun)
SL2180	šoba (noun)
SL287	modo (noun)
SL3050	suh (adjective)
SL2421	deklica (noun)
SL342	odvetnica (noun)
SL414	neresnica (noun)
SL743	slabo (adjective)
SL1390	veliko (noun)
SL1577	riba (noun)
SL1232	demagogija (noun)
SL212	tele (noun)
SL2754	drkanje (noun)
SL2735	uši (noun)
SL2527	navaden (adjective)
SL977	množica (noun)
SL1942	pomanjkanje (noun)
SL928	problem (noun)
