KO1137	동성 (noun)
KO1773	흡혈귀 (noun)
KO1492	달팽이 (noun)
KO842	혐오 (noun)
KO16	브로커 (noun)
KO1882	날조 (noun)
KO60	농담 (noun)
KO1904	폭력 (noun)
KO861	기저 (noun)
KO724	부엉이 (noun)
KO1409	무례 (noun)
KO1329	화장실 (noun)
KO348	큰 실수 (noun)
KO695	도청 (noun)
KO1665	교활한 (adjective)
KO1744	더러운 (adjective)
KO1598	독수리 (noun)
KO1777	부하 (noun)
KO238	혼돈 (noun)
KO1178	방 (noun)
KO1024	우울 (noun)
KO1279	비웃는 (noun)
KO913	지식인 (noun)
KO509	암캐 (noun)
KO1202	장애인 (noun)
KO796	시신 (noun)
KO390	소 (noun)
KO758	날짜 (noun)
KO811	범죄 (noun)
KO662	lgbt (noun)
KO589	평민 (noun)
KO899	t (noun)
KO766	씹 (noun)
KO851	발바닥 (noun)
KO1245	숙녀 (noun)
KO1803	일반 (adjective)
KO421	물소 (noun)
KO1556	테러리스트 (noun)
KO1719	납치 (noun)
KO223	스포츠 여성 (noun)
KO1211	무의미한 (noun)
KO1797	중세 (adjective)
KO1165	민중 (noun)
KO649	특파원 (noun)
KO1696	중국 (adjective)
KO396	갈색 (noun)
KO777	컷 - 업 (noun)
KO516	비방 (noun)
KO1746	웅 (noun)
KO1812	정치적 (adjective)
KO934	도덕 (noun)
KO278	단체 (noun)
KO1670	표절 (noun)
KO121	꼴통 (noun)
KO916	애호가 (noun)
KO1676	해적 (noun)
KO1877	조류 (noun)
KO75	문맹 (noun)
KO1833	희롱 (noun)
KO94	동물 (noun)
KO321	똥개 (noun)
KO635	좆같은 (noun)
KO198	남작 (noun)
KO1566	살인죄 (noun)
KO364	순응 (noun)
KO927	아마추어 (noun)
KO232	거짓 (noun)
KO578	이어 (noun)
KO692	쓰레기 (noun)
KO1685	아기 (noun)
KO1467	상어 (noun)
KO894	많은 (noun)
KO1406	파파라치 (noun)
KO1646	불평 (noun)
KO477	죄수 (noun)
KO1319	여교사 (noun)
KO657	낸스 (noun)
KO1885	낚시 (noun)
KO514	명예훼손 (noun)
KO1003	벼룩 (noun)
KO857	치 (noun)
KO767	보지 (noun)
KO847	위선 (noun)
KO1283	가게 주인 (noun)
KO1733	체포 자 (noun)
KO493	썩은 고기 (noun)
KO386	무료함 (noun)
KO1161	서민 (noun)
KO174	도적 (noun)
KO1173	과식 (noun)
KO110	머리 (noun)
KO172	불알 (noun)
KO333	병신 (noun)
KO748	잡종 (noun)
KO204	따돌림 (noun)
KO452	못된 (noun)
KO921	하드에 (noun)
KO634	씨발 (noun)
KO1649	이 (noun)
KO865	꼭대기 (noun)
KO1431	흉악 (noun)
KO1585	일반적인 (adjective)
KO1601	벌레 (noun)
KO1870	남장 (noun)
KO1927	롬 (noun)
KO99	중상 (noun)
KO817	위법 (noun)
KO1514	자기애 (noun)
KO530	쥐 (noun)
KO972	정부 (noun)
KO24	교수 (noun)
KO1677	닭 (noun)
