AR596	وقاحة (noun)
AR1928	ثُور (noun)
AR1147	المقابل (noun)
AR2716	طَير (noun)
AR1168	مقعد (noun)
AR1143	البعيدة (noun)
AR531	رئيس (noun)
AR910	الجبان (noun)
AR534	شيخ (noun)
AR88	تبع (noun)
AR1109	التراب (noun)
AR1256	أخلاق (noun)
AR1793	حسد (noun)
AR1535	شرموطة (noun)
AR372	فوضى (noun)
AR87	تابع (noun)
AR2461	أعمى (adjective)
AR503	ضجة (noun)
AR2632	ذكية (adjective)
AR1476	لا في الحساب (noun)
AR26	المسيئة (noun)
AR522	ماشية (noun)
AR697	غبية (noun)
AR1263	بغي (noun)
AR1149	خلفي (noun)
AR195	غبي (noun)
AR565	صاحب العمل (noun)
AR746	القبيلة (noun)
AR1134	خلف (noun)
AR404	عصابة (noun)
AR294	مؤيد (noun)
AR2251	جلاد (noun)
AR2491	خطف (noun)
AR2633	قبيح (adjective)
AR2552	سرق (verb)
AR2409	تدين (noun)
AR1179	بيوت (noun)
AR2181	سود (noun)
AR2619	العادية (adjective)
AR1599	يهود (noun)
AR1061	سرية (noun)
AR2410	تقوى (noun)
AR1543	جون (noun)
AR2103	الغباء (noun)
AR595	أنانيه (noun)
AR1033	سيدة (noun)
AR4	الملل (noun)
AR759	قبيلة (noun)
AR375	الفوضى (noun)
AR377	البدو (noun)
AR2358	سخر (verb)
AR1075	الغانم (noun)
AR2472	جبان (adjective)
AR1165	طرف (noun)
AR2467	الفقير (noun)
AR39	الأكاديمية (noun)
AR179	اغتصاب (noun)
AR2512	مختلفة (adjective)
AR2757	شدة (noun)
AR2336	فني (verb)
AR819	طبقة (noun)
AR1681	فقر (noun)
AR792	زُّب (noun)
AR1612	جمهور (noun)
AR1514	خبيث (adjective)
AR1180	بيت (noun)
AR1085	جرائم (noun)
AR2562	علق (noun)
AR1402	غضب (noun)
AR778	عنزة (noun)
AR2224	إرْهَابِيّ (noun)
AR621	بوابة (noun)
AR306	محامى (noun)
AR1942	ريفي (noun)
AR110	زائدة (noun)
AR134	حشد (noun)
AR2100	غباء (noun)
AR1519	السرقه (noun)
AR2720	الطيور (noun)
AR1244	الأخلاق (noun)
AR1419	العصابات (noun)
AR862	سخيف (noun)
AR469	ابتزاز (noun)
AR2521	قذر (adjective)
AR591	أناني (noun)
AR2455	طفل (noun)
AR1610	شعب (noun)
AR287	وزير (noun)
AR2259	قبح (noun)
AR936	بق الفراش (noun)
AR1164	القريبة (noun)
AR1712	معلمة (noun)
AR1601	اسرائيلي (noun)
AR402	عناد (noun)
AR1079	الجاهل (noun)
AR2672	ارهاب (noun)
AR794	زب (noun)
AR1701	الجهل (noun)
AR2125	الراعي (noun)
AR1233	يصعب على (noun)
AR732	الكلاب (noun)
AR2476	عنيف (adjective)
AR1015	خيار (noun)
AR515	ملل (noun)
AR1413	كآبة (noun)
AR2183	سوداء (noun)
AR1561	مثلي (noun)
AR2527	خاطئ (adjective)
AR1903	ضابط (noun)
AR2441	الدجاج (noun)
AR2776	خائن (noun)
AR2414	غاضب (adjective)
AR2355	أله (verb)
AR1763	الحشرات (noun)
AR1429	فول (noun)
AR2379	غير طبيعي (adjective)
AR2459	سوداء (adjective)
AR409	حلقة (noun)
AR655	أسير (noun)
AR801	المشكلة (noun)
AR799	ذكر (noun)
AR541	البني (noun)
AR1141	الية (noun)
AR736	جرو (noun)
AR2528	كاذبة (adjective)
AR13	السلبية (noun)
AR1674	العجز (noun)
AR2499	اختطاف (noun)
AR1979	الشر (adjective)
AR218	الحمار (noun)
AR1520	السرقة (noun)
AR2458	سود (adjective)
AR2722	مجاري المياه (noun)
AR188	مهارة (noun)
AR291	محامي (noun)
AR540	بنّي (noun)
AR1655	فتاة (noun)
AR1320	فلاح (noun)
AR2600	يهودي (adjective)
AR2122	راعٍ (noun)
AR1315	مزارع (noun)
AR2246	قاتلة (noun)
AR1602	يهودي (noun)
AR1223	مجنون (adjective)
AR1124	النفاق (noun)
AR1087	جريمه (noun)
AR2767	موظف (noun)
AR418	جاني (noun)
AR1695	سكون (noun)
AR1523	سرقه (noun)
AR295	المدافع (noun)
AR1291	اهل (noun)
AR193	رأس (noun)
AR1117	كره (noun)
AR1024	خیار (noun)
AR938	بَقّ (noun)
AR435	الأذى (noun)
AR1289	قوم (noun)
AR35	دلال (noun)
AR1653	المنظر (noun)
AR516	سأم (noun)
AR1201	الجلد (noun)
AR633	تجمع (noun)
AR242	التخلف (noun)
AR406	عصابات (noun)
AR750	قبائل (noun)
AR830	أستاذ (noun)
AR691	أبله (noun)
AR615	ثور (noun)
AR360	كذبة (noun)
AR749	قرابة (noun)
AR645	سَيّئ (adjective)
AR944	مكر (noun)
AR2296	النسور (noun)
AR909	جبان (noun)
AR2520	القذرة (adjective)
AR2234	القتل (noun)
AR764	قبيله (noun)
AR1477	تافه (noun)
AR2335	إنتهى (verb)
AR520	بقرة (noun)
AR27	عنف (noun)
AR2523	العظمة (noun)
AR2644	تحرش (noun)
AR1711	مدرس (noun)
AR2018	الفئران (noun)
AR2444	دجاج (noun)
AR2223	إرهابي (noun)
AR216	حمار (noun)
AR743	صيني (noun)
AR96	خدعة (noun)
AR44	جامعي (noun)
