ZH2097	傷心 (adjective)
ZH2647	殺害 (noun)
ZH2986	平凡+的 (adjective)
ZH2633	杀人 (noun)
ZH1790	堕落的 (noun)
ZH284	貪 (noun)
ZH766	坏 (adjective)
ZH896	职员 (noun)
ZH1729	中介 (noun)
ZH3075	不同+的 (adjective)
ZH1402	大量 (noun)
ZH539	混蛋 (noun)
ZH1632	包皮 (noun)
ZH1528	民族 (noun)
ZH3298	胡言乱语 (noun)
ZH3181	猛烈+的 (adjective)
ZH1850	男 性 欲 (noun)
ZH1179	大堆 (noun)
ZH2160	鸡巴 (noun)
ZH229	笨蛋 (noun)
ZH2239	偷懒 (noun)
ZH3332	歪曲 (noun)
ZH25	滥用 (noun)
ZH593	爽 (noun)
ZH1563	农民 (noun)
ZH690	资本家 (noun)
ZH2109	伤心 (adjective)
ZH3188	蟑螂 (noun)
ZH1304	罪 (noun)
ZH3000	支持 (noun)
ZH1688	阴道 (noun)
ZH1833	约 翰 (noun)
ZH866	犬 (noun)
ZH1351	臀部 (noun)
ZH2652	杀手 (noun)
ZH1193	遵守 (noun)
ZH1505	肆无忌惮+的 (adjective)
ZH2134	虫 (noun)
ZH2609	鹅 (noun)
ZH867	小狗 (noun)
ZH1923	家务 (noun)
ZH9	懒 (noun)
ZH21	助手 (noun)
ZH2099	悲哀 (adjective)
ZH1048	基佬 (noun)
ZH486	坏事 (noun)
ZH938	难题 (noun)
ZH3104	虚假 (adjective)
ZH3142	盗 (verb)
ZH3256	贫穷 (adjective)
ZH1531	泄露 (noun)
ZH2669	不幸 (noun)
ZH927	低俗 (noun)
ZH3437	殴打 (noun)
ZH2803	进 水 口 (noun)
ZH3088	髒 (adjective)
ZH1654	愤怒 (noun)
ZH1412	吨 (noun)
ZH2736	请求 (verb)
ZH2942	嬰 (noun)
ZH2044	教師 (noun)
ZH747	壞蛋 (noun)
ZH1580	挑剔 (noun)
ZH3365	变 装 (noun)
ZH1186	新 秀 (noun)
ZH2382	惡 (noun)
ZH2024	愚昧 (noun)
ZH583	绿帽 (noun)
ZH1334	厭惡 (noun)
ZH3288	卑微+的 (adjective)
ZH365	禁止 (noun)
ZH2219	廁所 (noun)
ZH3232	傻+的 (adjective)
ZH211	強姦 (noun)
ZH312	强盗 (noun)
ZH3485	色 欲 (noun)
ZH2846	平常+的 (adjective)
ZH2738	恳求 (verb)
ZH969	教授 (noun)
ZH376	笨 (noun)
ZH1784	豬 (noun)
ZH961	老师 (noun)
ZH3416	陰謀 (noun)
ZH763	丑 (adjective)
ZH137	热情 (noun)
ZH2161	小鸡巴 (noun)
ZH1301	刑事犯罪 (noun)
ZH2670	常见+的 (adjective)
ZH1202	黃瓜 (noun)
ZH1337	假 (noun)
ZH2212	女教师 (noun)
ZH311	匪 (noun)
ZH1772	猪 (noun)
ZH3120	蛙 (noun)
ZH3058	抢 (noun)
ZH118	滑稽 (noun)
ZH2677	监听 (verb)
ZH2612	鵝 (noun)
ZH286	落后 (noun)
ZH1441	雇员 (noun)
ZH639	牛 (noun)
ZH3334	痛苦 (noun)
ZH106	虐肛 (noun)
ZH3076	不 同 的 (adjective)
ZH630	凶猛 (noun)
ZH1894	犹太人 (noun)
ZH2737	乞求 (verb)
ZH683	禽兽 (noun)
ZH1901	民众 (noun)
ZH2074	性欲望 (noun)
ZH1909	教主 (noun)
ZH2220	厕所 (noun)
ZH5	吠 (verb)
ZH2779	死去 (verb)
ZH1291	違法 (noun)
ZH1189	一致 (noun)
ZH1855	同性恋 (noun)
ZH761	醜 (adjective)
ZH1084	废物 (noun)
ZH134	废话 (noun)
ZH2881	愤怒+的 (adjective)
ZH2425	搬运工 (noun)
ZH3460	叛徒 (noun)
ZH3294	暴力+的 (adjective)
ZH1407	圈套 (noun)
ZH3452	员工 (noun)
ZH2022	无知 (noun)
ZH3430	蛆 (noun)
ZH2888	手淫 (noun)
ZH3435	肆虐 (noun)
ZH3339	煎熬 (noun)
ZH1217	拒绝 (noun)
ZH2019	无知的 (adjective)
ZH143	文盲 (noun)
ZH64	智 障 (noun)
ZH2023	无 知 (noun)
ZH2637	杀害 (noun)
ZH1182	酷刑 (noun)
ZH3211	淫荡+的 (adjective)
ZH595	嘘 - 嘘 (noun)
ZH2941	孩儿 (noun)
ZH2893	骄傲+的 (adjective)
ZH2308	警察 (noun)
ZH1350	后 (noun)
ZH193	生物 (noun)
ZH801	赌 场 (noun)
ZH2930	雞 (noun)
ZH604	boner (noun)
ZH1812	偷 (noun)
ZH2705	蟲 (noun)
ZH2428	骄傲 (noun)
ZH728	和 (noun)
ZH2174	嫉妒 (noun)
ZH1285	犯罪 (noun)
ZH1655	狂暴 (noun)
ZH293	赌场 (noun)
ZH1924	家政 (noun)
ZH3248	政治+的 (adjective)
ZH879	亲戚 (noun)
ZH2603	纵 欲 (noun)
ZH1067	脸 (noun)
ZH40	代理人 (noun)
ZH191	动物 (noun)
ZH29	侮辱 (noun)
ZH1969	障碍 (noun)
ZH909	羊 (noun)
ZH1455	重罪 (noun)
ZH3002	暴力 (adjective)
ZH3369	变装 (noun)
ZH457	带 (noun)
ZH631	恶意 (noun)
ZH446	蠢 (adjective)
ZH1461	勃 起 (noun)
ZH315	土匪 (noun)
ZH705	资产阶级 (noun)
ZH2568	黑人 (noun)
ZH3424	流浪 (noun)
ZH717	霸道 (noun)
ZH2548	賊 (noun)
ZH1018	兔 (noun)
ZH2142	店主 (noun)
ZH250	驴 (noun)
ZH496	黑色 (noun)
ZH3091	脏 (adjective)
ZH945	球 (noun)
ZH1410	许多 (noun)
ZH861	狗子 (noun)
ZH2113	不幸+的 (adjective)
ZH597	ng (noun)
ZH3374	禽 (noun)
ZH493	黑 (noun)
ZH2981	汉 (adjective)
ZH1206	小黃瓜 (noun)
ZH2978	中 (adjective)
ZH1184	新手， (noun)
ZH227	蠢货 (noun)
ZH1414	几十个 (noun)
ZH2197	乱七八糟 (noun)
ZH2891	打手枪 (noun)
ZH3144	窃 (verb)
ZH2056	邪恶+的 (adjective)
ZH467	刑事 (noun)
ZH1040	怪 (noun)
ZH3053	綁架 (noun)
ZH36	虐待 (noun)
ZH353	律師 (noun)
ZH3282	不会+的 (adjective)
ZH339	特 使 (noun)
ZH52	学者 (noun)
ZH1756	幹 (verb)
ZH875	部落 (noun)
ZH960	大学教授 (noun)
ZH355	狗 (noun)
ZH1667	游荡 (noun)
ZH236	白癡 (noun)
ZH1358	包子 (noun)
ZH2045	教师 (noun)
ZH2092	說謊 (noun)
ZH34	辱骂 (noun)
ZH1037	噗 (noun)
ZH2227	公共厕所 (noun)
ZH995	爱 神 (noun)
ZH2112	不 幸 的 (adjective)
ZH2555	自 恋 (noun)
ZH505	巨 头 (noun)
ZH325	残忍 (noun)
ZH2383	坏 (noun)
ZH2672	普通+的 (adjective)
ZH2976	中国人+的 (adjective)
ZH2115	吞咽 (noun)
ZH1296	违法 (noun)
ZH2817	狂暴 (verb)
ZH2780	逝去 (verb)
ZH2857	寄生虫 (noun)
ZH1990	廢話 (noun)
ZH1595	鱼 (noun)
ZH449	呆 (adjective)
ZH2098	难过 (adjective)
ZH2666	盲人 (noun)
ZH778	俘虏 (noun)
ZH1629	包 皮 (noun)
ZH1053	男同 (noun)
ZH3297	瞎说 (noun)
ZH1751	肏 (verb)
ZH1073	懦弱 (noun)
ZH3254	窮 (adjective)
ZH563	勒索 (noun)
ZH855	痞子 (noun)
ZH2745	欺诈 (verb)
ZH184	畜生 (noun)
ZH1044	gay (noun)
ZH471	坏人 (noun)
ZH1665	无用 (noun)
ZH331	商人 (noun)
ZH2028	无知+的 (adjective)
ZH3438	暴力 (noun)
ZH3281	无 法 (adjective)
ZH1083	垃圾 (noun)
ZH2973	华 (adjective)
ZH148	团队 (noun)
ZH1519	花的 (noun)
ZH31	虐 (noun)
ZH3417	阴谋论 (noun)
ZH1364	反 口 (noun)
ZH2385	邪恶 (noun)
ZH3402	下水道 (noun)
ZH413	混乱 (noun)
ZH2175	羨慕 (noun)
ZH764	惡 (adjective)
ZH2674	偷听 (verb)
ZH1510	面 (noun)
ZH205	性侵 (noun)
ZH70	白痴 (noun)
ZH181	獸 (noun)
ZH305	睾丸 (noun)
ZH1591	臭 (noun)
ZH2551	贼 (noun)
ZH1618	群 (noun)
ZH2087	懒 (adjective)
ZH2954	瞎 (adjective)
ZH2815	愤怒 (verb)
ZH32	凌虐 (noun)
ZH3247	政 治 (adjective)
ZH758	鳄鱼 (noun)
ZH2363	教 区 (noun)
ZH2634	杀戮 (noun)
ZH1752	日 (verb)
ZH3158	恶劣+的 (adjective)
ZH215	强奸 (noun)
ZH894	书记 (noun)
ZH2944	婴儿 (noun)
ZH633	无聊 (noun)
ZH506	巨头 (noun)
ZH581	绿帽子 (noun)
ZH997	性欲 (noun)
ZH2952	黑色 (adjective)
ZH2042	教练 (noun)
ZH124	混合 - 曼格莱 (noun)
ZH2776	逝世 (verb)
ZH1589	恶臭 (noun)
ZH2090	谎 (noun)
ZH2102	難過 (adjective)
ZH1405	堆 (noun)
ZH228	傻瓜 (noun)
ZH852	骗子 (noun)
ZH795	娱乐场 (noun)
ZH2836	乞丐 (noun)
ZH815	阻碍 (noun)
ZH1835	淫乱 (noun)
ZH2361	教 友 (noun)
ZH1226	淑女 (noun)
ZH1775	豚 (noun)
ZH1565	農民 (noun)
ZH2729	新 贵 (noun)
ZH1190	符合 (noun)
ZH3110	青蛙 (noun)
ZH2974	中国+的 (adjective)
ZH682	水牛 (noun)
ZH2735	求 (verb)
ZH385	妓女 (noun)
ZH2377	残酷+的 (adjective)
ZH577	ntr (noun)
ZH2697	雕 (noun)
ZH2955	失明 (adjective)
ZH470	犯人 (noun)
ZH2307	警官 (noun)
ZH1245	妾 (noun)
ZH1489	说 教 的 (noun)
ZH1115	甩 (noun)
ZH2415	杆 (noun)
ZH3249	穷 (adjective)
ZH1911	教 主 (noun)
ZH2716	失误 (verb)
ZH196	诽谤 (noun)
ZH939	困难 (noun)
ZH2141	店 主 (noun)
ZH1856	同 性 (noun)
ZH1224	夫人 (noun)
ZH323	暴行 (noun)
ZH2619	恐怖分子 (noun)
ZH1195	小伙子 (noun)
ZH736	歹徒 (noun)
ZH787	食 人 。 (noun)
ZH329	商 (noun)
ZH2875	生气 (adjective)
ZH2588	吸盘 (noun)
ZH3090	肮脏+的 (adjective)
ZH1902	群众 (noun)
ZH1344	屁屁 (noun)
ZH140	狂 热 (noun)
ZH2007	贫穷 (noun)
ZH3355	crossdress (noun)
ZH2165	阴茎 (noun)
ZH3397	鳥 (noun)
ZH101	肛交 (noun)
ZH3143	偷 (verb)
ZH1378	臀 (noun)
ZH1971	禁 用 (noun)
ZH1005	他妈的 (noun)
