TR778	uyum (noun)
TR13	görevi kötüye (noun)
TR869	iki yüzlü (noun)
TR973	ahlâk (noun)
TR598	kuş (noun)
TR1374	böcekler (noun)
TR161	hırs (noun)
TR969	amatör (noun)
TR23	yanlış (noun)
TR1832	kaçırır (noun)
TR640	lahana (noun)
TR2051	hain (noun)
TR1098	faşizm (noun)
TR178	taşak (noun)
TR738	baykuş (noun)
TR330	sanayici (noun)
TR1007	tedarik (noun)
TR1089	üzmek (noun)
TR806	alçaklık (noun)
TR313	ceza (noun)
TR1181	kurnaz (adjective)
TR272	dostum (noun)
TR1972	azap (noun)
TR961	deli (adjective)
TR506	tutuklu (noun)
TR680	lezbiyen (noun)
TR1640	kaz (noun)
TR1551	mikrop (noun)
TR294	yobaz (noun)
TR497	kapa (noun)
TR1304	saçmalığı (noun)
TR1543	kanalizasyon (noun)
TR1577	platin (noun)
TR1412	hırsız (noun)
TR702	çöp (noun)
TR22	ihlalleri (noun)
TR556	Çinli (noun)
TR1871	çalmak (verb)
TR1573	çoban (noun)
TR915	tilki (noun)
TR318	sahte (noun)
TR1380	cevap vermek (noun)
TR362	cenaze (noun)
TR783	am (noun)
TR331	iş adamı (noun)
TR2055	romani (noun)
TR1001	fanatik (noun)
TR1153	muhafazakâr (noun)
TR1711	baş belası (noun)
TR1419	karışımı (noun)
TR459	kibir (noun)
TR1182	akıllı (adjective)
TR1129	meraklı (noun)
TR2050	dönek (noun)
TR1609	zenci (noun)
TR1938	tecavüzcü (noun)
TR1163	sikmek (verb)
TR1467	mafya (noun)
TR1800	âmâ (adjective)
TR421	kahverengi (noun)
TR1816	sakat (adjective)
TR14	İstismar (noun)
TR400	can sıkıntısı (noun)
TR435	burjuva (noun)
TR136	pislik (noun)
TR1742	dilenci (noun)
TR73	uşak (noun)
TR1383	esnaf (noun)
TR1658	katiller (noun)
TR1715	ölmek (verb)
TR498	zümre (noun)
TR356	şantaj (noun)
TR1648	brent (noun)
TR1677	zamanki (adjective)
TR198	tüccar (noun)
TR941	sürü (noun)
TR1903	ahmak (adjective)
TR1306	yoksulluk (noun)
TR31	öğretim (noun)
TR1059	mecnun (noun)
TR1344	bayanlar (noun)
TR371	beceriksizlik (noun)
TR543	dolandırıcı (noun)
TR2033	saray (noun)
TR1831	kaçırmaya (noun)
TR353	gayri meşru (noun)
TR431	iş kişi (noun)
TR1852	kirli (adjective)
TR350	piç (noun)
TR785	salatalık (noun)
TR9	ilgisiz (noun)
TR1097	faşistler (noun)
TR1157	yatmak (verb)
TR327	siyah (noun)
TR60	inatçı (adjective)
TR491	timsah (noun)
TR540	iftiracı (noun)
TR659	tavşan (noun)
TR503	mahkum (noun)
TR1336	hattat (noun)
TR646	şehvet (noun)
TR1175	domuz (noun)
TR1309	yoksullar (noun)
TR1051	balıkçı (noun)
TR520	leş (noun)
TR12	yardımcıları (noun)
TR1487	kaba (noun)
TR401	bıkkınlık (noun)
TR2037	Şiddet (noun)
TR494	alçak (adjective)
TR27	akademi (noun)
TR910	yanar (noun)
TR1955	mağrur (adjective)
TR309	cani (noun)
TR187	haydut (noun)
TR1720	patates (noun)
TR121	tecavüzcüler (noun)
TR454	bulgar (noun)
TR762	kambur (noun)
TR403	sıkıntı (noun)
TR109	hayvan (noun)
TR1824	palavra (noun)
TR626	öğretmen (noun)
TR1293	sakatlık (noun)
TR1316	fakirlik (noun)
TR146	eşek (noun)
TR469	git (noun)
TR823	çılgın (noun)
TR1999	kuşlar (noun)
TR1580	bilinmez (noun)
TR1951	cinsel saldırı (noun)
TR492	kötü (adjective)
TR1812	korkak (adjective)
TR746	sakat (noun)
TR16	istismar (noun)
TR308	yasadışı (noun)
TR1929	ahmaklar (adjective)
TR696	şarlatan (noun)
TR957	işçi (noun)
TR484	kötü (noun)
TR295	çete (noun)
TR212	avukatlık (noun)
TR1920	fakir (adjective)
TR1632	azgın (noun)
TR1242	millet (noun)
TR890	sus (noun)
TR1321	cehalet (noun)
TR1741	dedikodu (noun)
TR1847	farklı (adjective)
TR1151	gerici (noun)
TR2015	sarı kart (noun)
TR1296	engel (noun)
TR86	saldırgan (adjective)
TR568	aşiret (noun)
TR571	akraba (noun)
TR285	yalancı (noun)
TR1649	terörist (noun)
TR810	aldatma (noun)
TR1902	orta sınıf (adjective)
TR1927	salak (adjective)
TR1387	yarak (noun)
TR982	günahkâr (noun)
TR1974	işkence (noun)
TR117	tecavüz (noun)
TR972	ahlaki (noun)
TR1768	kızgın (adjective)
TR1628	beyaz (noun)
TR282	sığır (noun)
TR90	işkenceci (noun)
TR1399	kıskançlık (noun)
TR1897	yahudi (adjective)
TR76	şaka (noun)
TR1906	akılsız (adjective)
TR573	katip (noun)
TR861	tatsız (noun)
TR773	acemi (noun)
TR960	meraklısı (noun)
TR876	popo (noun)
TR1964	teror (noun)
TR493	çirkin (adjective)
TR2035	şiddet (noun)
TR1463	polis (noun)
TR332	patronu (noun)
TR131	ahmak (noun)
TR267	vefasızlık (noun)
TR1941	taciz (noun)
TR1102	fava (noun)
TR1317	yoksul (noun)
TR1709	yavşak (noun)
TR209	avukatlar (noun)
TR1734	öfke (verb)
TR1895	çakal (noun)
TR1930	dağınık (adjective)
TR1208	-yok (noun)
TR1191	çalma (noun)
TR922	obur (noun)
TR956	aydın (noun)
TR345	grev (noun)
TR402	sıkıcı (noun)
TR1404	Öfke (noun)
TR902	geride (noun)
TR1724	murphy (noun)
TR1203	fuhuş (noun)
TR989	özürlü (noun)
TR276	kaos (noun)
TR677	ibne (noun)
TR804	bayan (noun)
TR1329	Öğretmen (noun)
TR781	delikanlı (noun)
TR1880	sülük (noun)
TR1015	gidi (noun)
TR850	alman (noun)
TR181	yumurta (noun)
TR1338	ahlaksız (noun)
TR557	kabile (noun)
TR125	kurnazlık (noun)
TR28	bilimsel (noun)
TR1842	soydular (noun)
TR1500	parti (noun)
TR398	ahlaksızlık (noun)
TR137	beyinsiz (noun)
TR375	hata (noun)
TR1659	cinayetin (noun)
TR1206	john (noun)
TR1029	çiftçi (noun)
TR703	Çöp (noun)
TR650	siktir (noun)
TR467	hacmi (noun)
TR164	cimri (noun)
TR1141	aracı (noun)
TR1024	çiftçiler (noun)
TR983	zavallı (noun)
TR1570	koyun (noun)
TR409	İnek (noun)
TR1035	zorla (noun)
TR1323	amansız (noun)
TR481	rezil (noun)
TR65	anal sex (noun)
TR2044	personel (noun)
TR1300	engelliler (noun)
TR1817	kusurlu (adjective)
TR1343	lady (noun)
TR183	haya (noun)
TR303	çeteler (noun)
TR1061	bağımlısı (noun)
TR1257	kulübe (noun)
TR729	saflık (noun)
TR1486	parazit (noun)
TR1364	katil (noun)
TR1899	ortaçağ (adjective)
TR93	cahil (noun)
TR1683	akbaba (noun)
TR75	acayip (noun)
TR569	halk (noun)
TR1276	fıstık (noun)
TR1620	siyah (adjective)
TR1031	faşist (noun)
TR1788	tavuk (noun)
TR215	köpek (noun)
TR803	hanımefendi (noun)
TR605	horoz (noun)
TR414	baba (noun)
TR312	suçlu (noun)
TR1201	ulak (noun)
TR1209	fukara (noun)
TR1519	gurur (noun)
TR932	onlarca (noun)
TR465	hacim (noun)
TR1796	kuzu (noun)
TR2045	çalışan (noun)
TR838	suç (noun)
TR1273	afet (noun)
TR1359	üzgün (adjective)
TR1853	pis (adjective)
TR670	eşcinsel (noun)
TR464	yığın (noun)
TR635	prof (noun)
TR1357	bebek (noun)
TR1539	elebaşı (noun)
TR478	tembel (noun)
TR608	problem (noun)
TR664	gazeteci (noun)
TR1126	jigolo (noun)
TR724	vampir (noun)
TR1135	kedi (noun)
TR471	serseri (noun)
TR1064	mason (noun)
TR1966	terör (noun)
TR1086	öfke (noun)
TR203	savunucuları (noun)
TR1353	arzu (noun)
TR1591	kabak (noun)
TR1034	gasp (noun)
TR521	casino (noun)
TR482	alçak (noun)
TR995	ailenin (noun)
TR898	göt (noun)
TR1830	şalgam (noun)
TR1774	ters (adjective)
TR976	ahlak (noun)
TR1700	köhne (noun)
TR1294	özür (noun)
TR1858	faşist (adjective)
TR233	kurban (noun)
TR597	alet (noun)
TR1189	soygun (noun)
TR1802	görmez (adjective)
TR275	kıyamet (noun)
TR113	hayvanlar (noun)
TR450	bencillik (noun)
TR532	iftira (noun)
TR1803	kör (adjective)
TR206	yanlısı (noun)
TR444	orta sınıf (noun)
TR962	suçlar (noun)
TR1538	hatip (noun)
TR504	esir (noun)
TR1982	travesti (noun)
TR625	kast (noun)
TR1146	önemsiz (noun)
TR1675	şanssız (noun)
TR547	İt (noun)
TR1310	fakir (noun)
TR3	tembellik (noun)
TR200	avukat (noun)
TR1872	bilmiş (noun)
TR1495	pariş (noun)
TR552	köpekler (noun)
TR1237	yahudiler (noun)
TR1378	şımarıklık (noun)
TR1456	burun (noun)
TR558	boy (noun)
TR1502	kötülük (noun)
TR1770	mastürbasyon (noun)
TR30	akademik (noun)
TR782	amcık (noun)
TR292	bağnaz (noun)
TR935	sallar (noun)
TR1425	tuvalet (noun)
TR1705	türedi (noun)
TR1624	aşık (noun)
TR1246	evsiz (noun)
TR1785	sahte (adjective)
TR953	eğitimci (noun)
TR207	savunucusu (noun)
TR1033	hızlı bir (noun)
TR388	beceriksiz (noun)
TR844	atık (noun)
TR801	şakacı (noun)
TR1813	savunma (noun)
TR133	aptal (noun)
TR610	halktan (noun)
TR1092	beyhude (noun)
TR404	inek (noun)
TR1771	el işi (noun)
TR406	büyükbaş (noun)
TR245	pezevenk (noun)
TR959	delice (adjective)
TR1918	politik (adjective)
TR1922	fukara (adjective)
TR1917	siyasi (adjective)
TR1302	şerefsiz (noun)
TR1361	mutsuz (adjective)
TR1833	kaçırma (noun)
TR291	aptal (adjective)
TR1283	put (noun)
TR129	kafa (noun)
TR1655	kene (noun)
TR67	anal seks (noun)
TR1905	aptalca (adjective)
TR1241	kitleler (noun)
TR475	avare (noun)
TR1265	şarkıcı (noun)
TR599	sik (noun)
TR1042	kokmak (noun)
TR365	aldatmak (noun)
TR1408	kargaşa (noun)
TR190	barbar (noun)
TR268	yalan (noun)
TR1625	talip (noun)
TR363	geyik (noun)
TR816	sevgili (noun)
TR184	teste (noun)
TR1799	kara (adjective)
TR290	saçma (adjective)
TR1497	mahalle (noun)
TR451	yüzsüzlük (noun)
TR1621	zenci (adjective)
TR1274	bomba (noun)
TR942	pek çok (noun)
TR1815	özürlü (adjective)
TR46	embesil (noun)
TR1660	cinayet (noun)
TR270	yiğidi (noun)
TR36	akademisyen (noun)
TR710	böcek (noun)
TR281	bedevi (noun)
TR797	itlaf (noun)
TR562	meslek grubu (noun)
TR1664	Öldürme (noun)
TR1048	balık (noun)
TR1805	kahverengi (adjective)
TR1923	yoksul (adjective)
TR1005	astik (noun)
TR1196	yağma (noun)
TR679	puşt (noun)
TR899	kalça (noun)
TR1808	Çin (adjective)
TR632	profesör (noun)
TR411	öküz (noun)
TR1931	şiddet (adjective)
TR833	söküp (noun)
TR1690	kurt (noun)
TR1956	kibirli (adjective)
