PT1602	peixes (noun)
PT2020	de ensino (noun)
PT2054	mentirosa (noun)
PT1043	bicha (noun)
PT2324	mal (noun)
PT385	otário (noun)
PT1808	ladrões (noun)
PT2255	policiais (noun)
PT1277	pirata (noun)
PT939	pica (noun)
PT1691	fascismo (noun)
PT2118	ciumes (noun)
PT2806	bebês (noun)
PT292	ovos (noun)
PT197	burrice (noun)
PT1772	meter (verb)
PT2119	inveja (noun)
PT2499	brancos (noun)
PT1342	nojo (noun)
PT2961	pobre (adjective)
PT523	criminal (noun)
PT2501	latino (noun)
PT1970	deficiencia (noun)
PT946	dificuldade (noun)
PT1007	sexo (noun)
PT1069	rosto (noun)
PT1913	limpeza (noun)
PT2885	assalto (noun)
PT1139	desejo (noun)
PT298	besteira (noun)
PT1104	lixo (noun)
PT1570	fazendeiro (noun)
PT530	fofoqueira (noun)
PT1805	roubo (noun)
PT1127	engano (noun)
PT1360	cu (noun)
PT1999	miséria (noun)
PT1741	mosquito (noun)
PT1946	gata (noun)
PT532	fofoqueiro (noun)
PT1365	lateral (noun)
PT2824	chinês (adjective)
PT2312	economia (noun)
PT2067	infeliz (adjective)
PT2320	festa (noun)
PT2474	mano (noun)
PT1210	rapaz (noun)
PT2707	fofocas (noun)
PT1455	trabalhador (noun)
PT1247	senhora (noun)
PT2253	oficial (noun)
PT3192	violência (noun)
PT2757	arrogante (adjective)
PT2602	verme (noun)
PT2013	fausto (noun)
PT315	bandido (noun)
PT2173	banheiro (noun)
PT2445	amarelo (noun)
PT1311	porcaria (noun)
PT2435	adivinha (noun)
PT233	burros (noun)
PT894	familia (noun)
PT350	advogados (noun)
PT3063	terrorismo (noun)
PT1295	crime (noun)
PT810	bundão (noun)
PT1373	bunda (noun)
PT2094	cúmulo (noun)
PT2042	lady (noun)
PT2804	infantil (noun)
PT1143	bobeira (noun)
PT1830	putaria (noun)
PT161	animal (noun)
PT1076	esgoto (noun)
PT1768	conhecer (verb)
PT1754	inútil (noun)
PT2666	batata (noun)
PT1800	esperto (adjective)
PT921	bagunça (noun)
PT2765	pirataria (noun)
PT2959	coitado (adjective)
PT1475	tesão (noun)
PT151	ser (noun)
PT96	preguiçoso (noun)
PT736	quantidade (noun)
PT3212	rebelde (noun)
PT378	salvo (noun)
PT324	selvagem (noun)
PT1244	moça (noun)
PT409	puta (noun)
PT2005	incompetente (noun)
PT1424	dezenas (noun)
PT1998	miserável (noun)
PT607	choque (noun)
PT2048	paixão (noun)
PT384	trouxa (noun)
PT743	fulano (noun)
PT3016	humilde (adjective)
PT294	teste (noun)
PT209	imbecil (noun)
PT463	história (noun)
PT1248	dama (noun)
PT2036	imoral (adjective)
PT1315	criminoso (adjective)
PT1631	viciado (noun)
PT380	banido (noun)
PT929	ferramenta (noun)
PT461	conto (noun)
PT103	sacanagem (noun)
PT1623	palhaçada (noun)
PT1534	divulgação (noun)
PT2833	covarde (adjective)
PT744	vagabundo (noun)
PT2972	barata (noun)
PT1627	o louco (noun)
PT1490	morais (noun)
PT333	traficante (noun)
PT2040	dona (noun)
PT926	pinto (noun)
PT45	instituto (noun)
PT2568	malandro (noun)
PT344	advogado (noun)
PT3002	normal (adjective)
PT1278	palhaço (noun)
PT2814	cego (adjective)
PT1542	safado (noun)
PT2827	desconfortável (adjective)
PT875	cachorros (noun)
PT1417	porteiro (noun)
PT2364	rato (noun)
PT1168	equipe (noun)
PT2706	boatos (noun)
PT980	professora (noun)
PT3009	patético (adjective)
PT2800	nenê (noun)
PT2941	roubar (verb)
PT602	mico (noun)
PT160	animais (noun)
PT643	chato (noun)
PT1889	pessoas (noun)
PT879	chinesa (noun)
PT1211	moço (noun)
PT2948	imunda (adjective)
PT2671	batatinha (noun)
PT1045	manutenção (noun)
PT2787	galinha (noun)
PT2752	punheta (noun)
PT1837	pobre (noun)
PT1258	amante (noun)
PT1571	fascista (noun)
PT1464	insano (adjective)
PT343	advogada (noun)
PT3090	agonia (noun)
PT2060	mentiras (noun)
PT1214	garoto (noun)
PT1995	pobres (noun)
PT755	vilã (noun)
PT2025	mestre (noun)
PT396	vítima (noun)
PT706	classe-média (noun)
PT2100	pênis (noun)
PT1189	cruzamento (noun)
PT2246	culpado (noun)
PT2934	rã (noun)
PT207	anjinho (noun)
PT2548	matar (noun)
PT880	chinês (noun)
PT3	decadência (noun)
PT780	preso (noun)
PT508	canalha (noun)
PT2900	diferente (adjective)
PT171	bicho (noun)
PT2701	fofoca (noun)
PT1059	gays (noun)
PT183	estupro (noun)
PT2920	fascista (adjective)
PT104	brincadeira (noun)
PT3028	feia (adjective)
PT2037	imoral (noun)
PT124	agressivo (adjective)
PT477	idiota (adjective)
PT3188	café (adjective)
PT3195	bater (noun)
PT2546	assassinos (noun)
PT2802	bebê (noun)
PT2175	vestiário (noun)
PT1752	não conta (noun)
PT555	nojento (noun)
PT766	mau (adjective)
PT829	cachorra (noun)
PT2096	penis (noun)
PT2251	agente (noun)
PT2527	terrorista (noun)
PT2178	pia (noun)
PT2634	incomodar (verb)
PT553	porco (noun)
PT1495	ética (noun)
PT2922	sapo (noun)
PT2095	pilha (noun)
PT2595	urubu (noun)
PT2918	errado (adjective)
PT2743	bravo (adjective)
PT3092	tortura (noun)
PT947	problema (noun)
PT719	egoísta (noun)
PT2818	moreno (adjective)
PT1890	gente (noun)
PT501	grupo (noun)
PT269	atraso (noun)
PT2376	escorpião (noun)
PT2224	mula (noun)
PT217	burro (noun)
PT500	círculo (noun)
PT156	bichinho (noun)
PT50	professor (noun)
PT930	pénis (noun)
PT1340	desgosto (noun)
PT1826	john (noun)
PT1771	fazer amor (verb)
PT2680	sabe tudo (noun)
PT2108	piça (noun)
PT2027	intolerância (noun)
PT2964	forte (adjective)
PT640	tédio (noun)
PT1438	anã (noun)
PT2868	isolado (adjective)
PT1767	transar (verb)
PT3219	sinto (noun)
PT1042	viado (noun)
PT1945	garota (noun)
PT978	prof (noun)
PT1966	desativar (noun)
PT2829	egoísta (adjective)
PT931	rola (noun)
PT903	secretário (noun)
PT435	falsidade (noun)
PT1477	falo (noun)
PT1777	comer (verb)
PT1345	hipocrisia (noun)
PT2254	polícia (noun)
PT1012	maldito (noun)
PT2962	miserável (adjective)
PT46	academia (noun)
PT597	erro (noun)
PT693	empresários (noun)
PT219	ignorante (noun)
PT2823	chinesa (adjective)
PT2489	pretos (noun)
PT2539	assassinato (noun)
PT588	corno (noun)
PT1778	ilegal (adjective)
PT1617	rebanho (noun)
PT3018	pobres (adjective)
PT927	pau (noun)
PT2995	classe média (adjective)
PT2810	animal (adjective)
PT933	vara (noun)
PT516	bandidos (noun)
PT1987	sem sentido (noun)
PT1618	falso (adjective)
PT892	parentes (noun)
PT2931	râ (noun)
PT1304	bosta (noun)
PT2041	senhoras (noun)
PT1600	peixe (noun)
PT2249	tira (noun)
PT76	amor próprio (noun)
PT2901	diferentes (adjective)
PT2580	geral (adjective)
PT1991	miseria (noun)
PT2589	cobra (noun)
PT2700	fofocar (verb)
PT2803	bebé (noun)
PT22	abusivo (noun)
PT1670	ira (noun)
PT482	infantil (adjective)
PT1317	culpado (adjective)
PT2871	ranço (adjective)
PT1016	coelho (noun)
PT646	gado (noun)
PT2657	morrer (verb)
PT471	mentiroso (noun)
PT1621	bobo-da-corte (noun)
PT2329	mal (adjective)
PT410	rapariga (noun)
PT33	abuso (noun)
PT2574	infeliz (noun)
PT765	ruim (adjective)
PT473	carregador (noun)
PT1236	rejeição (noun)
PT617	fera (noun)
PT1060	sapatão (noun)
