ES3304	homicidios (noun)
ES142	tonterías (noun)
ES849	líder (noun)
ES1506	raja (noun)
ES1310	homosexual (noun)
ES3667	economista (noun)
ES553	caos (noun)
ES3868	patético (adjective)
ES1634	saqueo (noun)
ES129	chiste (noun)
ES725	lío (noun)
ES2437	pobre (noun)
ES811	vaca (noun)
ES798	aburrida (noun)
ES424	defensor (noun)
ES3854	lento (adjective)
ES1814	enano (noun)
ES2650	maestro (noun)
ES364	huevos (noun)
ES2709	asesina (noun)
ES539	mentira (noun)
ES3928	terroristas (noun)
ES1736	fin (noun)
ES3859	tonta (adjective)
ES3781	robar (verb)
ES405	barbaridad (noun)
ES1729	ano (noun)
ES1184	gallo (noun)
ES52	academia (noun)
ES2565	muñeca (noun)
ES3242	raza (noun)
ES773	boludo (noun)
ES1765	tras (noun)
ES2338	conocer (verb)
ES253	corto (adjective)
ES2402	robo (noun)
ES1595	fraude (noun)
ES624	bandidos (noun)
ES3369	arruinar (verb)
ES2556	cantante (noun)
ES992	bajo (adjective)
ES1186	problema (noun)
ES243	vaso (noun)
ES40	abuso (noun)
ES248	tontería (noun)
ES666	ejecutivo (noun)
ES2846	baños (noun)
ES3486	chisme (noun)
ES44	agente (noun)
ES3385	ricos (noun)
ES633	chivo (noun)
ES397	salvaje (noun)
ES1771	gato (noun)
ES2610	incapacidad (noun)
ES122	burla (noun)
ES3300	asesinado (noun)
ES433	abogados (noun)
ES419	ministro (noun)
ES1701	falso (noun)
ES1182	diablo (noun)
ES1581	dama (noun)
ES2638	sencillo (adjective)
ES3349	don (noun)
ES472	prima (noun)
ES89	amor propio (noun)
ES156	borra (noun)
ES4154	violento (noun)
ES3040	ratas (noun)
ES1091	gentuza (noun)
ES2659	escritor (noun)
ES602	banda (noun)
ES3524	bravo (adjective)
ES3609	ciego (adjective)
ES2201	fascistas (noun)
ES3003	fiesta (noun)
ES149	paja (noun)
ES3364	confundir (verb)
ES586	infantil (adjective)
ES1121	familia (noun)
ES1490	niño (noun)
ES3351	payaso (noun)
ES3379	recibir (noun)
ES3805	fuerte (adjective)
ES2843	baño (noun)
ES2786	indignación (noun)
ES1830	criminales (noun)
ES3329	normal (adjective)
ES755	fantasma (noun)
ES585	imbécil (adjective)
ES1703	hipocresia (noun)
ES59	facultad (noun)
ES926	descaro (noun)
ES888	empresario (noun)
ES215	bestia (noun)
ES3358	verme (noun)
ES2926	policía (noun)
ES3644	adolescente (adjective)
ES1808	decenas (noun)
ES878	campesinos (noun)
ES675	cerdo (noun)
ES1699	hipócrita (noun)
ES2928	paco (noun)
ES3136	tonteria (noun)
ES442	perro (noun)
ES817	toro (noun)
ES392	bárbara (noun)
ES3162	pastor (noun)
ES1573	sacrificio (noun)
ES2792	enojada (noun)
ES3572	sabido (adjective)
ES374	pelotas (noun)
ES5	vago (noun)
ES3849	capricho (noun)
ES3239	blanco (noun)
ES1688	horror (noun)
ES3885	inteligente (adjective)
ES3801	miserable (adjective)
ES362	cojones (noun)
ES1499	chucha (noun)
ES462	primo (noun)
ES1610	querida (noun)
ES3375	negociar (verb)
ES2426	putas (noun)
ES4004	ave (noun)
ES2927	oficial (noun)
ES428	portavoz (noun)
ES2664	inmoral (adjective)
ES3710	ladron (noun)
ES3001	brutal (adjective)
ES1501	punta (noun)
ES2438	los que no tienen (noun)
ES3402	engañar (verb)
ES3284	terrorista (noun)
ES1708	fondo (noun)
ES1174	carajo (noun)
ES806	ganado (noun)
ES3624	falsa (adjective)
ES3727	diferente (adjective)
ES502	puta (noun)
ES2350	ilegal (adjective)
ES989	malo (adjective)
ES2345	joder (verb)
ES913	clase media (noun)
ES3737	sucia (adjective)
ES3750	fascista (adjective)
ES3435	papa (noun)
ES1807	muchas (noun)
ES1639	simple (noun)
ES1800	cantidad (noun)
ES1691	asco (noun)
ES1219	docente (noun)
ES1101	can (noun)
ES584	bobo (adjective)
ES3002	salvaje (adjective)
ES2503	pueblo (noun)
ES2424	john (noun)
ES53	académicos (noun)
ES2582	bicho (noun)
ES182	movimiento (noun)
ES1311	gay (noun)
ES1128	secretario (noun)
ES801	aburrido (noun)
ES3855	idiota (adjective)
ES455	excepto (noun)
ES886	empresarial (noun)
ES2577	cerrado (adjective)
ES3202	negra (noun)
ES756	discriminación (noun)
ES1594	decepción (noun)
ES3643	juvenil (adjective)
ES3711	robar (noun)
ES1109	clan (noun)
ES255	burro (noun)
ES1204	profesores (noun)
ES3326	común (adjective)
ES627	delincuente (noun)
ES1034	débil (noun)
ES3174	caracol (noun)
ES3642	violenta (adjective)
ES3297	asesinó (noun)
ES1057	puto (noun)
ES881	empresarios (noun)
ES2527	pintura (noun)
ES2790	enojado (noun)
ES854	café (noun)
ES4155	violenta (noun)
ES3419	quedarse (verb)
ES125	truco (noun)
ES2929	policías (noun)
ES2773	envidia (noun)
ES1023	sitio (noun)
ES2939	mafiosos (noun)
ES358	bola (noun)
ES1893	triste (adjective)
ES3462	agredir (verb)
ES2982	parásitos (noun)
