RO2756	copil (noun)
RO2742	politician (noun)
RO1967	ignoranță (noun)
RO2631	cartofi (noun)
RO1272	înșelăciune (noun)
RO1358	fals (noun)
RO1455	educator (noun)
RO2588	urla (verb)
RO2433	cioara (noun)
RO2796	asistent (noun)
RO3026	stupid (adjective)
RO1507	nenorocit (noun)
RO1572	fascistă (noun)
RO2885	false (adjective)
RO883	impostor (noun)
RO1319	crime (noun)
RO3048	violator (noun)
RO2163	lav (noun)
RO3009	săracă (adjective)
RO948	pulă (noun)
RO440	prostituată (noun)
RO2460	din asia (noun)
RO850	idioți (noun)
RO262	asin (noun)
RO2061	insectă (noun)
RO2158	wc (noun)
RO3169	violență (noun)
RO2983	lent (adjective)
RO1312	crimă (noun)
RO55	facultate (noun)
RO663	urât (noun)
RO2484	gâscă (noun)
RO61	teoretic (adjective)
RO703	businessman (noun)
RO1544	pește (noun)
RO1259	dame (noun)
RO1672	bob (noun)
RO27	abuzuri (noun)
RO244	rahat (noun)
RO958	probleme (noun)
RO2931	puternic (adjective)
RO2501	asasinat (noun)
RO1773	lovitură (noun)
RO2719	wank (noun)
RO3019	agil (adjective)
RO39	abuz (noun)
RO4	lătra (verb)
RO1951	nevoie (noun)
RO701	afaceri (noun)
RO1422	pete (noun)
RO3008	săraci (adjective)
RO1353	silă (noun)
RO2275	comună (noun)
RO1531	neam (noun)
RO2513	slayer (noun)
RO2854	bătaia (noun)
RO1491	decență (noun)
RO2509	omor (noun)
RO1058	gay (noun)
RO495	palavră (noun)
RO3187	romani (noun)
RO1317	crima (noun)
RO2291	petrecere (noun)
RO1234	păsărică (noun)
RO2146	toaleta (noun)
RO904	rău (noun)
RO1418	portarul (noun)
RO2990	normal (adjective)
RO2772	maro (adjective)
RO2806	juvenil (adjective)
RO232	prost (noun)
RO748	aroganță (noun)
RO581	bou (noun)
RO1943	mizerie (noun)
RO3190	romi (noun)
RO2518	roșie (noun)
RO3159	larvă (noun)
RO3007	politic (adjective)
RO1512	nenorocit (adjective)
RO959	problemă (noun)
RO2211	sugar (noun)
RO2753	bebe (noun)
RO1504	negru (adjective)
RO2743	banal (adjective)
RO1087	lașă (noun)
RO1961	ignorant (adjective)
RO616	strica (noun)
RO979	casteism (noun)
RO2344	scorpion (noun)
RO2038	tristeţe (adjective)
RO2458	hispanic (noun)
RO2603	rage (verb)
RO542	primitiv (noun)
RO1517	față (noun)
RO161	armată (noun)
RO2597	ajuns (noun)
RO2536	obicei (adjective)
RO2319	propagandist (noun)
RO160	mulțime (noun)
RO1645	furie (noun)
RO85	amor (noun)
RO497	mincinos (noun)
RO691	Ţăran (noun)
RO957	cocoș (noun)
RO2746	pui (noun)
RO1013	dracu (noun)
RO3197	Țigani (noun)
RO2860	diferite (adjective)
RO2077	bloc (noun)
RO2481	gâsca (noun)
RO2013	pofta (noun)
RO2754	copii (noun)
RO1552	amantă (noun)
RO847	mămăligă (noun)
RO2929	medieval (adjective)
RO3193	tigani (noun)
RO742	bulgari (noun)
RO1081	trădător (noun)
RO2946	împuțit (adjective)
RO2747	cocoş (noun)
RO2435	cioară (noun)
RO757	volumul (noun)
RO1683	la cheie (noun)
RO1468	infracțiuni (noun)
RO2143	toaletă (noun)
RO1765	șmecher (adjective)
RO1849	mase (noun)
RO1784	pradă (noun)
RO183	creatură (noun)
RO2347	canalizare (noun)
RO376	sol (noun)
RO1602	pescar (noun)
RO1820	același sex (noun)
RO2932	tare (adjective)
RO1976	fast (noun)
RO3167	violenţă (noun)
RO1739	ilegal (adjective)
RO2141	combinație (noun)
RO963	obișnuiți (noun)
RO810	gașcă (noun)
RO1145	sete (noun)
RO902	câinele (noun)
RO1176	echipaj (noun)
RO1011	eros (noun)
RO927	secretar (noun)
RO636	bestie (noun)
RO2008	pseudo (noun)
RO1049	ciudat (noun)
RO574	porc (noun)
RO667	vaca (noun)
RO1627	mason (noun)
RO2599	tortura (verb)
RO3175	angajată (noun)
RO799	rău (adjective)
RO675	boii (noun)
RO2120	prosti (verb)
RO3125	pasare (noun)
RO3029	urât (adjective)
RO2744	fals (adjective)
RO2694	obișnuit (adjective)
RO1426	zece (noun)
RO995	varza (noun)
RO908	circ (noun)
RO513	bandă (noun)
RO2462	latino (noun)
RO677	șef (noun)
RO754	masă (noun)
RO2941	sluga (noun)
RO2785	mândru (adjective)
RO3090	suferință (noun)
RO1235	păsarică (noun)
RO3088	chin (noun)
RO3028	gust (adjective)
RO599	șantaj (noun)
RO900	câinii (noun)
RO2309	satelit (noun)
RO3002	corupt (adjective)
RO2397	puzzle (noun)
RO1262	doamnă (noun)
RO983	prof (noun)
RO1064	twink (noun)
RO3127	aves (noun)
RO2220	polițist (noun)
RO381	avocat (noun)
RO180	faună (noun)
RO1894	tipă (noun)
RO774	vagabond (noun)
RO115	glumă (noun)
RO3001	stricat (adjective)
RO118	banc (noun)
RO3020	inteligent (adjective)
RO391	cățel (noun)
RO1232	pasarica (noun)
RO672	boi (noun)
RO141	prostie (noun)
RO3171	violent (noun)
RO467	dandi (noun)
RO1295	conspirator (noun)
RO2223	ofițer (noun)
RO520	ceată (noun)
RO844	slăbit (noun)
RO2289	violent (adjective)
RO427	naiv (noun)
RO2769	orb (adjective)
RO1465	nebun (adjective)
RO2406	vedetă (noun)
RO2975	sărac (adjective)
RO934	capră (noun)
RO1982	instructor (noun)
RO1354	scârbă (noun)
RO951	miel (noun)
RO2600	implora (verb)
RO1618	dependent (noun)
RO2506	moarte (noun)
RO340	gangster (noun)
RO1553	amanta (noun)
RO442	curvă (noun)
RO2092	homosexual (adjective)
RO2160	privată (noun)
RO1213	hibrid (noun)
RO1413	oaie (noun)
RO919	trib (noun)
RO798	cayman (noun)
RO541	țap (noun)
RO1342	grunge (noun)
RO327	coi (noun)
RO976	rang (noun)
RO373	avocatul (noun)
RO1086	laș (noun)
RO999	grămadă (noun)
RO475	haos (noun)
RO666	plictisitor (noun)
RO1787	captură (noun)
RO2598	chinui (verb)
RO3024	repede (adjective)
RO961	necaz (noun)
RO42	factor (noun)
RO1946	sărăcie (noun)
RO1950	lipsă (noun)
RO231	tâmpit (noun)
RO302	bordel (noun)
RO1016	fuck (noun)
RO909	clan (noun)
RO1705	spectator (noun)
RO2781	standard (adjective)
RO1444	sclav (noun)
RO608	intrare (noun)
RO1757	porci (noun)
RO410	respinge (noun)
RO3170	violente (noun)
RO901	caine (noun)
RO1777	furtul (noun)
RO2491	terorist (noun)
RO334	avar (adjective)
RO914	clann (noun)
RO550	răutate (noun)
RO420	stupid (noun)
RO668	vacă (noun)
RO264	măgari (noun)
RO1779	furat (noun)
RO746	mândrie (noun)
RO2489	brent (noun)
RO2084	puţă (noun)
RO137	agresiv (adjective)
RO950	sculă (noun)
RO837	casino (noun)
RO952	puță (noun)
RO1801	john (noun)
RO1441	rob (noun)
RO1430	zeci (noun)
RO662	plictiseala (noun)
RO665	plictiseală (noun)
RO1578	exact (noun)
RO184	animale (noun)
RO1851	popor (noun)
RO148	zel (noun)
RO2502	uciderea (noun)
RO1771	condamna (noun)
RO1866	treabă (noun)
RO2122	purta (verb)
RO1323	criminali (noun)
RO2039	tristă (adjective)
RO2418	hoț (noun)
RO2760	bebeluș (noun)
RO1542	fanatic (noun)
RO2859	diferit (adjective)
RO505	prost (adjective)
RO1031	dracului (noun)
RO1596	intermediar (noun)
RO3172	forță (noun)
RO2800	laș (adjective)
RO1896	păpușă (noun)
RO1231	pizdă (noun)
RO1106	gunoi (noun)
RO2420	hoţ (noun)
RO2378	prostia (noun)
RO579	cur (noun)
RO2933	gabor (noun)
RO1714	mediator (noun)
RO235	idiot (noun)
RO2042	trist (adjective)
RO1923	handicap (noun)
RO741	bulgarii (noun)
RO1947	săraci (noun)
RO1221	novice (noun)
RO3041	violentă (adjective)
RO2604	fura (verb)
RO1643	furia (noun)
RO2693	tradițional (adjective)
RO1788	jaf (noun)
RO1057	homosexual (noun)
RO1887	cântăreț (noun)
RO2650	predica (verb)
RO1054	queer (noun)
RO2119	duce (verb)
RO563	mogul (noun)
RO2996	disperat (adjective)
RO3198	Ţigani (noun)
RO2310	par (noun)
RO3006	politică (adjective)
RO2203	mul (noun)
RO2111	iute (adjective)
RO805	bot (noun)
RO819	prins (noun)
RO2911	omniscient (noun)
RO2115	nervos (adjective)
RO2161	baie (noun)
RO1146	poftă (noun)
RO1023	futut (noun)
RO2974	modest (adjective)
RO1181	nimic (noun)
RO2720	laba (noun)
RO1805	-nu au (noun)
RO1446	nan (noun)
RO2525	homunculus (noun)
RO3043	chestie (noun)
RO2205	rat (noun)
RO3184	romă (noun)
