FA2862	جعلی (adjective)
FA3114	سطحی (noun)
FA3036	ابله (adjective)
FA2335	بخش (noun)
FA2119	ناراضی (adjective)
FA164	غیرت (noun)
FA1434	غلام (noun)
FA1834	غریب (noun)
FA953	صندلی (noun)
FA1368	پایه (noun)
FA2917	نجس (adjective)
FA3294	گا (noun)
FA2204	دستشویی (noun)
FA1616	اعتیاد (noun)
FA1165	شلوغی (noun)
FA572	گر (noun)
FA1792	غارت (noun)
FA1944	قفس (noun)
FA490	احمق (adjective)
FA8	تنبل (noun)
FA2623	کنه (noun)
FA2044	نادانی (noun)
FA1603	اختلال (noun)
FA1986	وصله (noun)
FA564	گل (noun)
FA2650	عادی (adjective)
FA931	عادی (noun)
FA2897	بهخاطر (noun)
FA1995	نقص (noun)
FA1414	بسیار (noun)
FA956	استاد (noun)
FA1049	مخبر (noun)
FA904	بز (noun)
FA2766	گدا (noun)
FA3040	احمقانه (adjective)
FA2931	عقب افتاده (adjective)
FA2850	مرغ (noun)
FA66	نظری (adjective)
FA3243	شدت (noun)
FA1204	حذف (noun)
FA1960	زمزمه (noun)
FA1923	سرپرست (noun)
FA1620	معتاد (noun)
FA241	دیوانه (noun)
FA235	سر (noun)
FA243	خنگ (noun)
FA1955	كفتار (noun)
FA450	شخص (noun)
FA532	شیطانی (noun)
FA484	جعل (noun)
FA1742	ارتجاع (noun)
FA1180	پسرم (noun)
FA13	تنبلي (noun)
FA1786	چپاول (noun)
FA2317	بي ادبي (noun)
FA2376	آثار (noun)
FA1964	بچه (noun)
FA1022	انسان (noun)
FA1264	خاک (noun)
FA47	دانشگاه (noun)
FA629	اشتباه کار (noun)
FA1028	خوشحال (noun)
FA2021	فقر (noun)
FA1224	فريب (noun)
FA2357	ماهواره (noun)
FA2090	شبه (noun)
FA291	حرص (noun)
FA1899	يهودي (noun)
FA2885	کنترل (noun)
FA598	مسئول (noun)
FA1511	خانواده (noun)
FA1329	منافق (noun)
FA1416	تعداد زیادی (noun)
FA769	بد (adjective)
FA3054	فقیر (adjective)
FA2375	باستانی (noun)
FA1196	روایت (noun)
FA1226	فریب (noun)
FA2055	توهین (noun)
FA3002	لاغر (adjective)
FA986	لعنتی (noun)
FA1027	ادم (noun)
FA513	جنایی (noun)
FA3147	شكنجه (noun)
FA2437	کوچک (noun)
FA2374	اثر (noun)
FA3053	سیاسی (adjective)
FA1782	سرقت (noun)
FA190	حیوان (noun)
FA1279	تقصیر (noun)
FA3231	پولی (adjective)
FA900	بز، (noun)
FA2805	دانا (adjective)
FA2118	تاسف (adjective)
FA3145	شکنجه (noun)
FA3032	احمقانه (noun)
FA1190	خيار (noun)
FA2869	دفاع (noun)
FA662	قهوه اي (noun)
FA594	متعهد (noun)
FA762	توده (noun)
FA1943	خانه (noun)
FA1201	رد کردن (noun)
FA255	بیشعور (noun)
FA2768	شاکی (noun)
FA833	تهمت (noun)
FA1096	لاس (noun)
FA659	قهوه ای (noun)
FA2277	مافيا (noun)
FA1341	مقابل (noun)
FA2058	معلمان (noun)
FA4	تنبلی (noun)
FA783	زندانیان (noun)
FA922	کیر (noun)
FA3062	پست (adjective)
FA2048	سختی (noun)
FA2852	طفل (noun)
FA600	دیوث (noun)
FA2268	مجرم (noun)
FA2649	همیشگی (adjective)
FA1054	ترسو (noun)
FA656	مدیر (noun)
FA1576	دقیق (noun)
FA827	سلیطه (noun)
FA1367	دم (noun)
FA324	خايه (noun)
FA1242	صیغه (noun)
FA360	طرفدار (noun)
FA527	حرف (noun)
FA2718	مردن (verb)
FA1602	جعلی (noun)
FA856	انبوه (noun)
FA972	جمعیت (noun)
FA72	حماقت (noun)
FA2043	جهالت (noun)
FA774	معده (noun)
FA2856	کور (adjective)
FA893	کارمند (noun)
FA3112	مغرور (adjective)
FA546	مشكي (noun)
FA1599	سند (noun)
FA3238	اسیر (noun)
FA3111	قاطع (adjective)
FA427	فاحشه (noun)
FA577	عوضي (noun)
FA548	سياه (noun)
FA1919	مردم (noun)
FA3001	نزار (adjective)
FA2851	کودک (noun)
FA2063	مدرس (noun)
FA1537	کس‌کش (noun)
FA775	شکم (noun)
FA1914	اسرائیلی (noun)
FA39	دلال (noun)
FA1614	نادان (noun)
FA1372	کون (noun)
FA387	بارون (noun)
FA1912	یهود (noun)
FA593	تهدید (noun)
FA1612	گله (noun)
FA341	روستایی (noun)
FA2104	تنبل (adjective)
FA377	وكيل (noun)
FA2393	فاضلاب‌‌ (noun)
FA2162	حسادت، (noun)
FA1666	فاشيسم (noun)
FA1010	کونی (noun)
FA1967	جوجه (noun)
FA1176	معشوق (noun)
FA1954	کفتار، (noun)
FA3060	قادر (adjective)
FA50	علمی (noun)
FA542	مشکی (noun)
FA1389	روباه (noun)
FA1670	فاشیسم (noun)
FA785	کاروان (noun)
FA1331	ريا (noun)
FA1161	ترکیبی (noun)
FA1413	شلاق (noun)
FA1320	پوست (noun)
FA771	زشت (adjective)
FA815	ناتوان (noun)
FA1835	فقیر (noun)
FA491	متعصب (noun)
FA1605	ترشی (noun)
FA543	سیاهی (noun)
FA770	بدبخت (adjective)
FA481	شرح (noun)
FA1339	اساس (noun)
FA447	دروغ (noun)
FA2969	آشفته (adjective)
FA2273	پلیس (noun)
FA1278	جنایات (noun)
FA1202	بی ارزش (noun)
FA2178	عصبانی (adjective)
FA1481	اخلاقي (noun)
FA480	حکایت (noun)
FA18	بی تفاوتی، (noun)
FA2977	سخت (adjective)
FA2714	مزاحم (noun)
FA2311	انگل (noun)
FA3123	تروریسم (noun)
FA1496	بی ادب (adjective)
FA193	حيوان (noun)
FA860	سگ (noun)
FA899	بُز (noun)
FA249	احمق (noun)
FA957	پروفسور (noun)
FA703	جسارت (noun)
FA2073	نویسنده (noun)
FA351	مشاور (noun)
FA401	تحریم (noun)
FA2315	بی ادب (noun)
FA549	سیاه (noun)
FA2974	عالی (adjective)
FA998	بدنی (noun)
FA1343	باسن (noun)
FA1913	يهود (noun)
FA1014	گی (noun)
FA1784	دزد (noun)
FA2274	افسر (noun)
FA3269	خائن (noun)
FA1166	اجتماع (noun)
FA2728	سیب زمینی، (noun)
FA753	پست (noun)
FA1983	بخشی (adjective)
FA399	بجز (noun)
FA380	مدعی (noun)
FA1044	چهره (noun)
FA2615	تروریستی (noun)
FA389	بارونی (noun)
FA2370	موش (noun)
FA1568	فاشیست (noun)
FA917	پستی (noun)
FA2785	کثیف (adjective)
FA1447	مربی (noun)
FA355	طرفداران (noun)
FA1783	دزدی (noun)
FA946	نسل (noun)
FA147	ترکیب (noun)
FA339	وحشی (noun)
FA3247	خشونت (noun)
FA1720	اشتغال (noun)
FA1421	ده ها (noun)
FA654	گاو (noun)
FA366	مشورت (noun)
FA2724	سيب زميني (noun)
FA784	قطار (noun)
FA331	بالاست (noun)
FA2669	دلقك (noun)
FA192	حيوانات (noun)
FA479	افسانه (noun)
FA1	ذلت (noun)
FA3009	علم (noun)
FA456	شیخ (noun)
FA1056	نامردی (noun)
FA361	وکیل (noun)
FA2807	دقیق (adjective)
FA2617	تروريست (noun)
FA1053	فاضلاب (noun)
FA1535	جاكش (noun)
FA1970	ایدئولوژی (noun)
FA2855	سياه (adjective)
FA1424	تن (noun)
FA1015	گي (noun)
FA874	زند (noun)
FA26	ماه (noun)
FA2975	قوی (adjective)
FA1925	رئیس روحانی (noun)
FA1251	ندیم (noun)
FA1167	نوچه (noun)
FA429	جاکش (noun)
FA2586	سفید، (noun)
FA1725	پشه (noun)
FA2064	معلم (noun)
FA1311	روغن (noun)
FA2347	وحشی (adjective)
FA2616	تروریست (noun)
FA1055	نامرد (noun)
FA857	کف (noun)
FA171	دسته (noun)
FA2077	هرزه (adjective)
FA222	تجاوز (noun)
FA1350	پشت (noun)
FA1206	خسته (noun)
FA1793	استخر (noun)
FA1301	دیپلمات (noun)
FA1036	قیافه (noun)
FA167	بی سواد (noun)
FA1006	پری (noun)
FA1435	مزدور (noun)
FA1478	اخلاقی (noun)
FA1965	دختر (noun)
FA2034	فقير (noun)
FA379	فقیه (noun)
FA2751	جزئي (noun)
FA889	قبیله (noun)
FA1080	ساس (noun)
FA265	الاغ (noun)
FA2452	گوسفند (noun)
FA981	فاک (noun)
FA3058	هوشمند (adjective)
FA2622	كنه (noun)
FA1281	جنایت (noun)
FA1183	چاک (noun)
FA3296	گو (noun)
FA323	تخم (noun)
FA814	ضعیف (noun)
FA610	بد (noun)
FA2261	خوره (noun)
FA926	خروس (noun)
FA348	فروشنده (noun)
FA578	مادر (noun)
FA3000	یهودی (adjective)
FA1902	یهودی (noun)
FA268	خر (noun)
FA722	حجم (noun)
FA138	مسخره (noun)
FA969	کرم (noun)
FA1280	جرم (noun)
FA1571	1 سریع (noun)
FA1657	اواره (noun)
FA1381	كون (noun)
FA1412	فراوان (noun)
FA892	كارمند (noun)
FA2121	قاتل (noun)
FA405	گول (noun)
FA284	از (noun)
FA2339	شهر (noun)
FA643	خستگی (noun)
FA826	کس (noun)
FA2981	سوسک، (noun)
FA720	تنه (noun)
FA1168	تازه کار (noun)
FA2333	محله (noun)
FA671	تجارت (noun)
FA102	غرور (noun)
FA605	گیر (noun)
FA169	بیسوادی (noun)
FA520	برادر (noun)
FA160	اشغال (noun)
FA2230	مغول (noun)
FA2241	پروانه (noun)
FA2674	كرم (noun)
FA1721	ناظر (noun)
FA1724	جاسوس (noun)
FA288	طمع (noun)
FA698	منت (noun)
FA2107	وضع (noun)
FA1094	تنها (noun)
FA1997	مانع (noun)
FA1864	همجنس (noun)
FA1454	گناه (noun)
FA1008	دسته‌ (noun)
FA2682	اشتباه کردن (verb)
FA782	اسير (noun)
FA1493	شر (noun)
FA2980	سوسک (noun)
FA2313	بی ادبی (noun)
FA2171	عصبانی (noun)
FA534	فساد (noun)
FA2456	بره (noun)
FA58	هيأت علمي (noun)
FA2651	معمول (adjective)
FA2702	پر کردن (verb)
FA2859	قهوه ای (adjective)
FA566	فعلی (noun)
FA1529	خرد (noun)
FA2038	بی کاری (noun)
FA2338	اهل (noun)
FA709	فیس (noun)
FA1780	دزدي (noun)
FA477	داستان (noun)
FA2008	ناتوانی (noun)
FA1730	واسطه (noun)
FA1427	اوباش (noun)
FA1921	قوم (noun)
FA989	فاك (noun)
FA1194	فرقه (noun)
FA2041	بی خبری (noun)
FA3194	پَرَندِه (noun)
FA869	ویس (noun)
FA943	طبقه (noun)
FA3199	پرنده (noun)
FA1480	اخلاق (noun)
FA540	فتنه (noun)
FA2748	خواستار (adjective)
FA2165	حسادت (noun)
FA828	عوضی (noun)
FA3034	جاهل (adjective)
FA2625	قتل (noun)
FA413	کنده (noun)
FA363	مدافع (noun)
FA172	گروه (noun)
FA1191	خیار، (noun)
FA492	تعصب (noun)
FA2042	جهل (noun)
