IS1149	sitjandi (noun)
IS2126	víg (noun)
IS393	outlaw (noun)
IS905	rusl (noun)
IS116	veru (noun)
IS1815	fluga (noun)
IS2598	kynferðisbrota (noun)
IS2641	pyndingum (noun)
IS806	lektor (noun)
IS1554	kofi (noun)
IS83	grín (noun)
IS1498	john (noun)
IS2089	asíu (noun)
IS2447	froskur (noun)
IS728	ættum (noun)
IS1270	pimps (noun)
IS773	vandræði (noun)
IS596	illmenni (noun)
IS1766	muss (noun)
IS2172	hlusta á (verb)
IS280	fáviti (noun)
IS135	nauðgað (noun)
IS2332	kjúklingur (noun)
IS165	veit ekkert (noun)
IS952	uglan (noun)
IS247	lögmaður (noun)
IS1636	vanþekking (noun)
IS620	hópur (noun)
IS854	samkynhneigður (noun)
IS1935	stolt (noun)
IS1088	refsiverð (noun)
IS2188	ormur (noun)
IS160	dumbass (noun)
IS702	pakk (noun)
IS1380	leggöng (noun)
IS136	nauðgara (noun)
IS263	útilokun (noun)
IS2544	pólitíska (adjective)
IS1730	skordýr (noun)
IS2199	semja (verb)
IS1084	glæpur (noun)
IS2562	aumur (adjective)
IS2343	barn (noun)
IS1859	mafia (noun)
IS849	gay (noun)
IS1297	hrekkur (noun)
IS80	spaug (noun)
IS907	rósn (noun)
IS1927	slá (noun)
IS413	svartur (noun)
IS2347	blindur (adjective)
IS589	hobo (noun)
IS2446	froskar (noun)
IS2092	black (noun)
IS2543	pólitísk (adjective)
IS2707	brennandi (noun)
IS673	Ærumeiðingar (noun)
IS997	nýliði (noun)
IS217	bandit (noun)
IS1838	nerdy (noun)
IS2134	morði (noun)
IS654	heigull (noun)
IS1325	fló (noun)
IS2354	kínverskur (adjective)
IS390	glæpamaður (noun)
IS1169	aries (noun)
IS118	kvikindi (noun)
IS134	nauðgun (noun)
IS50	þroskahömlun (noun)
IS1914	baunir (noun)
IS844	hinsegin (noun)
IS2564	bloodhound (noun)
IS1439	ríða (verb)
IS2295	reið (adjective)
IS2041	slug (noun)
IS1235	illt (noun)
IS2712	ofríki (noun)
IS1543	heimilislaus (noun)
IS1040	svik (noun)
IS1080	brot (noun)
IS1183	tonn (noun)
IS825	fuck (noun)
IS2027	rolla (noun)
IS759	dónaskap (noun)
IS1701	skáldskapur (noun)
IS1678	losta (noun)
IS1497	vændi (noun)
IS845	faggot (noun)
IS2402	rán (noun)
IS780	algengari (noun)
IS232	kaupmaður (noun)
IS2533	venjulegum (adjective)
IS109	áll (noun)
IS887	skrap (noun)
IS2211	biðja (verb)
IS1606	rassgat (noun)
IS2685	samsæriskenning (noun)
IS723	clann (noun)
IS626	fangi (noun)
IS2344	svartur (adjective)
IS734	ætt (noun)
IS310	dandy (noun)
IS795	caste (noun)
IS234	talsmaður (noun)
IS1015	gúrkur (noun)
IS125	skepna (noun)
IS2185	trúður (noun)
IS579	magn (noun)
IS1558	skúr (noun)
IS1433	sofa saman (verb)
IS1454	galti (noun)
IS1664	lady (noun)
IS1849	lögguna (noun)
IS1295	fascista (noun)
IS1568	hyena (noun)
IS2162	algengur (adjective)
IS1031	dame (noun)
IS1991	deli (noun)
IS309	lygi (noun)
IS2256	beggar (noun)
IS2078	svart fólk (noun)
IS2226	murphy (noun)
IS41	starfsmaður (noun)
IS436	nú (noun)
IS2023	kind (noun)
IS1025	sló (noun)
IS2174	okur (noun)
IS2703	tæla (verb)
IS1365	fasismi (noun)
IS902	sori (noun)
IS57	bison (noun)
IS1334	fíkill (noun)
IS1355	heift (noun)
IS463	cuckold (noun)
IS2542	pólitískur (adjective)
IS294	gjall (noun)
IS42	kennara (noun)
IS2121	merkið (noun)
IS268	mjúka (noun)
IS1332	jester (noun)
IS1612	fjarstæða (noun)
IS768	andskoti (noun)
IS2147	drepa (noun)
IS900	salli (noun)
IS2616	hryðjuverk (noun)
IS1637	fáfræði (noun)
IS1753	öfund (noun)
IS740	geitur (noun)
IS1410	kisa (noun)
IS2599	kynferðisofbeldi (noun)
IS376	þröngsýni (noun)
IS1346	leiður (noun)
IS1751	samkynhneigður (adjective)
IS1905	partí (noun)
IS2529	heimska (adjective)
IS2651	crossdresser (noun)
IS2575	ljótur (adjective)
IS2224	kartöflur (noun)
IS244	lögmanna (noun)
IS851	hommi (noun)
IS1170	dyravörður (noun)
IS129	nauðga (noun)
IS1616	bull (noun)
IS771	vandamál (noun)
IS34	þáttur (noun)
IS681	ósvífni (noun)
IS1352	reiði (noun)
IS1638	þekkingarleysi (noun)
IS1851	lögregla (noun)
IS1613	vitleysa (noun)
IS2518	asnalegur (adjective)
IS669	meiðyrði (noun)
IS1762	reiður (noun)
IS1472	taka (noun)
IS2679	rautt spjald (noun)
IS255	baron (noun)
IS2415	mismunandi (adjective)
IS650	outcast (noun)
IS2189	ormar (noun)
IS1900	sókn (noun)
IS766	djöfull (noun)
IS1709	sorgmæddur (adjective)
IS1796	lav (noun)
IS371	blár (adjective)
IS1135	buns (noun)
IS2139	killer (noun)
IS2350	brúnn (adjective)
IS117	dýr (noun)
IS2340	börn (noun)
