TH1010	ถึงแก่กรรม (verb)
TH1085	ขี้ขลาด (adjective)
TH761	ความอิจฉา (noun)
TH335	ควย (noun)
TH696	อาจารย์ (noun)
TH723	เรื่องเท็จ (noun)
TH248	ควาย (noun)
TH139	โสเภณี (noun)
TH472	ก้น (noun)
TH294	คาสิโน (noun)
TH450	อีหนู (noun)
TH1131	คนไม่เก่ง (noun)
TH199	อันธพาล (noun)
TH851	ความภูมิใจ (noun)
TH342	เด็กเปรต (noun)
TH20	รั้น (adjective)
TH1124	คนรู้มาก (noun)
TH692	ความไม่รู้ (noun)
TH499	นักการศึกษา (noun)
TH411	คนพิการ (noun)
TH688	ประตูหลัง (noun)
TH614	รวม เพศ (verb)
TH523	หน้า (noun)
TH336	ไข่ (noun)
TH1192	ที่ซื้อได้ (adjective)
TH802	งวง (noun)
TH816	มาเฟีย (noun)
TH656	คนไร้บ้าน (noun)
TH1179	การทรมาน (noun)
TH880	ทาก (noun)
TH1128	เหม็น (adjective)
TH174	คนโกง (noun)
TH674	น้องนาง (noun)
TH109	น้องหมา (noun)
TH183	ผู้ร้าย (noun)
TH1105	แตกต่าง (adjective)
TH424	เด็กชาย (noun)
TH502	พนง. (noun)
TH957	สับสน (verb)
TH460	คนไม่เต็ม (noun)
TH875	แกะ (noun)
TH322	เผ่า (noun)
TH980	ขอร้อง (verb)
TH513	หอยทาก (noun)
TH544	กสิกร (noun)
TH757	รักร่วมเพศ (adjective)
TH173	คนพาล (noun)
TH683	ลูกลิง (noun)
TH503	พนักงาน (noun)
TH504	ผู้คลั่งไคล้ (noun)
TH1108	เปื้อน (adjective)
TH363	แอส (noun)
TH1046	โกรธ (adjective)
TH554	กลิ่นเหม็น (noun)
TH540	กิ๊ก (noun)
TH100	ความโหดเหี้ยม (noun)
TH403	ความโง่เขลา (noun)
TH743	แม่สื่อ (noun)
TH47	ปลาไหล (noun)
TH561	ฝูงนก (noun)
TH825	วัว (noun)
TH697	ครูบาอาจารย์ (noun)
TH122	ผู้เคราะห์ร้าย (noun)
TH1178	ความทุกข์ทรมาน (noun)
TH410	ผู้พิการ (noun)
TH767	ความโกรธแค้น (noun)
TH2	เห่า (verb)
TH841	ความชั่ว (noun)
TH21	ดื้อ (adjective)
TH835	นกแก้ว (noun)
TH1002	จากไป (verb)
TH36	เรื่องไร้สาระ (noun)
TH420	ลูกผสม (noun)
TH739	ผู้จัดการร้าน (noun)
TH1200	คนขายชาติ (noun)
TH1067	สีดำ (adjective)
TH449	อนุภรรยา (noun)
TH1011	เข้าโลง (verb)
TH333	ดอ (noun)
TH749	อวัยวะเพศชาย (noun)
TH289	ฉลามขาว (noun)
TH493	คนแคระ (noun)
TH1186	ปักษา (noun)
TH736	แมง (noun)
TH555	ปลา (noun)
TH146	โกหก (noun)
TH1106	ต่าง (adjective)
TH753	สมคบคิด (verb)
TH381	แม่วัว (noun)
TH516	จริยธรรม (noun)
TH942	แอบฟัง (verb)
TH1144	โง่ๆ (adjective)
TH114	บารอน (noun)
TH810	เจ้าหน้าที่ตำรวจ (noun)
TH107	ทนาย (noun)
TH852	ความภาคภูมิใจ (noun)
TH972	ต่อรอง (verb)
TH439	คุณผู้หญิง (noun)
TH1060	เด็กทารก (noun)
TH812	ตร. (noun)
TH1057	เด็กน้อย (noun)
TH312	หมาบ้าน (noun)
TH521	เป็นทุกข์ (adjective)
TH1134	หมาจิ้งจอก (noun)
TH1115	กบ (noun)
TH379	ตัวเมีย (noun)
TH759	ลักเพศ (adjective)
TH1013	น้ำเน่า (adjective)
TH59	การข่มขืน (noun)
TH221	คนผิด (noun)
TH278	แย่ (adjective)
TH197	คนเลว (noun)
TH1161	ขี้เหร่ (adjective)
TH8	การทารุณกรรม (noun)
TH611	เอา (verb)
TH395	ขยะ (noun)
TH533	แมงดา (noun)
TH401	แมลง (noun)
TH970	กาฝาก (noun)
TH126	กะหรี่ (noun)
TH306	การพูดให้ร้าย (noun)
TH232	ความเบื่อหน่าย (noun)
TH804	เนิร์ด (noun)
TH247	คนชั้นกลาง (noun)
TH974	ขอทาน (noun)
TH1047	บ้าคลั่ง (adjective)
TH1033	นินทา (verb)
TH170	กลุ่มคน (noun)
TH914	ห่าน (noun)
TH428	จิ๋ม (noun)
TH326	แพะ (noun)
TH1180	ทรมาน (verb)
TH1018	ยกย่อง (verb)
TH1166	ปกขาว (adjective)
TH733	ฆาตกร (noun)
TH928	มะเขือเทศ (noun)
TH636	คนจน (noun)
TH1081	ผศ. (noun)
TH785	สุขา (noun)
TH378	สาย (noun)
TH473	บั้นท้าย (noun)
TH930	ผู้พิการทางสายตา (noun)
TH936	คนโชคร้าย (noun)
TH1003	ล้ม (verb)
TH735	เจ้าหนี้ (noun)
TH30	ลูกสมุน (noun)
TH800	มอสซาเรลล่าชีส (noun)
TH653	ประชาชี (noun)
TH892	หัวขโมย (noun)
TH796	ยุง (noun)
TH231	คนขี้เบื่อ (noun)
TH716	ไม่สุภาพ (adjective)
TH950	แร้ง (noun)
TH367	สิบโท (noun)
TH1062	เด็กอ่อน (noun)
TH627	การขโมย (noun)
TH528	วงศ์วาน (noun)
TH1117	คางคก (noun)
TH969	เพื่อนกิน (noun)
TH803	เด็กเนิร์ด (noun)
TH1068	ดำ (adjective)
TH965	ทำให้เสียหาย (verb)
TH977	หยอกล้อ (verb)
TH234	นาย (noun)
TH847	ลูกหมู (noun)
TH747	กอง (noun)
TH629	โจรกรรม (noun)
TH1071	น้ำตาล (adjective)
TH1024	ปะ (verb)
TH447	เมียน้อย (noun)
TH1148	ยากจน (adjective)
TH929	คนตาบอด (noun)
TH559	หมัด (noun)
TH845	ถั่วลันเตา (noun)
TH423	เด็กหนุ่ม (noun)
TH1040	คนขี้แย (noun)
TH436	คนชอบแกล้ง (noun)
TH789	โถส้วม (noun)
TH387	ความขลาด (noun)
TH1032	ที่ไม่ปกติ (adjective)
TH171	วง (noun)
TH469	ความไม่ชอบ (noun)
TH1133	จิ้งจอก (noun)
TH168	แก๊งค์ (noun)
TH832	ความหยาบคาย (noun)
TH316	ชาวจีน (noun)
TH1164	ไม่สามารถ (adjective)
TH1078	ปลอมแปลง (adjective)
TH207	สัปเหร่อ (noun)
TH295	วรรณะ (noun)
TH50	สัตว์ (noun)
TH32	ผู้ช่วย (noun)
TH1034	ซุบซิบ (verb)
TH694	อ. (noun)
TH34	ก้าวร้าว (adjective)
TH1049	การชักว่าว (noun)
TH269	คนขี้เกียจ (noun)
TH1004	สวรรคต (verb)
TH285	นักโทษ (noun)
TH623	หมูตอน (noun)
TH1074	ยาจก (noun)
TH62	กระโหลก (noun)
