ID1321	karyawan (noun)
ID1038	menggoda (noun)
ID1131	madam (noun)
ID726	perut (noun)
ID27	penganiayaan (noun)
ID188	binatang (noun)
ID943	aneh (noun)
ID2431	menelan (verb)
ID2854	ideologi (adjective)
ID515	raja (noun)
ID1727	ideologi (noun)
ID2190	yu (noun)
ID3042	korup (noun)
ID1329	penggemar (noun)
ID1734	sempit (adjective)
ID603	pembunuh (noun)
ID2728	sepi (adjective)
ID2533	keras (adjective)
ID875	masalah (noun)
ID1382	songong (adjective)
ID325	peguam (noun)
ID2494	rawan (adjective)
ID100	bandel (adjective)
ID1246	belakang (noun)
ID1638	john (noun)
ID2053	polisi (noun)
ID2835	maung (adjective)
ID3054	kencang (noun)
ID404	orang (noun)
ID1639	wts (noun)
ID2850	kasihan (adjective)
ID123	umat (noun)
ID1264	kandang (noun)
ID552	haram (noun)
ID2573	pandangan (noun)
ID164	semangat (noun)
ID862	burung (noun)
ID641	perang (noun)
ID1153	kekasih (noun)
ID323	utusan khusus (noun)
ID1470	lawak (noun)
ID595	kejam (noun)
ID1469	badut (noun)
ID2830	sombong (noun)
ID1136	perempuan (noun)
ID1084	calon (noun)
ID2529	memperbaiki (verb)
ID2923	seru (adjective)
ID481	golongan (noun)
ID890	kepuasan (noun)
ID1949	cemburu (noun)
ID537	skr (noun)
ID2374	terlanjur (verb)
ID47	wakil (noun)
