VI614	khử bọt (noun)
VI199	hòn dái (noun)
VI727	đụ (noun)
VI1013	cửa bảo vệ (noun)
VI365	nghịch ngợm (noun)
VI1763	mục đồng (noun)
VI1726	nước thải (noun)
VI683	thường dân (noun)
VI32	học viện (noun)
VI372	đen (noun)
VI1459	cô giáo (noun)
VI1231	người nói nhiều (noun)
VI337	lũ (noun)
VI1243	người xem (noun)
VI860	tân binh (noun)
VI1209	đậu rộng (noun)
VI1678	xứ (noun)
VI136	bình nhỏ (noun)
VI599	phỉ báng (noun)
VI1602	bướm (noun)
VI2254	bạo lực (noun)
VI1418	tật (noun)
VI1686	ác (adjective)
VI1036	người làm công (noun)
VI1242	người nhìn lên (noun)
VI2076	con cóc (noun)
VI1965	chí (noun)
VI274	điếm (noun)
VI1326	john (noun)
VI1455	hướng dẫn (noun)
VI465	gia súc (noun)
VI1067	tài tử (noun)
VI1054	tội (noun)
VI1000	cũi (noun)
VI1934	nhà giáo (noun)
VI1044	giáo sư (noun)
VI907	vợ lẽ (noun)
VI698	đẳng cấp (noun)
VI2277	dục vọng (noun)
VI998	đuôi (noun)
VI694	sự tự mản (noun)
VI731	làm tình (noun)
VI981	sau (noun)
VI2128	thời trung cổ (adjective)
VI1677	giáo dân (noun)
VI1301	đê tiện (noun)
VI2250	khờ dại (noun)
VI1457	dạy (noun)
VI2025	điều khiển (noun)
VI1973	tức (adjective)
VI654	tộc (noun)
VI1071	đức (noun)
VI554	bụng (noun)
VI1450	sự tự phụ (noun)
VI88	phụ (noun)
VI1673	ký sinh (noun)
VI974	đít (noun)
VI1483	ham muốn (noun)
VI586	bỏ bơ vơ (noun)
VI424	dơ bẩn (noun)
VI2143	chính trị (adjective)
VI282	xỉ (noun)
VI2261	bỏ đạo (noun)
VI1020	hàng chục (noun)
VI1707	người ăn chơi (noun)
VI1860	sát nhân (noun)
VI1898	hề (noun)
VI529	tầm thường (noun)
VI2139	màu đỏ trống (noun)
VI1528	dương vật (noun)
VI37	giảng viên (noun)
VI775	hèn nhát (noun)
VI910	vợ lẻ (noun)
VI550	xấu (adjective)
VI107	lươn (noun)
VI77	đùa (noun)
VI1261	không có tài khoản (noun)
VI1740	vi trùng (noun)
VI1364	quần chúng (noun)
VI1026	bè (noun)
VI1853	khủng bố (noun)
VI10	thờ ơ (noun)
VI252	ngăn (noun)
VI1068	a ma tơ (noun)
VI1897	người hề (noun)
VI631	cún (noun)
VI35	học tập (noun)
VI455	không đúng (noun)
VI1082	tội nhân (noun)
VI819	cả tin (noun)
VI1966	rận (noun)
VI700	giáo sư (noun)
VI1843	ngỗng (noun)
VI1529	buồi (noun)
VI1818	đen (adjective)
VI63	kê gian (noun)
VI2251	cận thần (noun)
VI1312	ăn cắp (noun)
VI990	đỉnh (noun)
VI1098	gia đình (noun)
VI1891	rắn (noun)
VI1025	còn cả đống (noun)
VI1228	bảo vệ nhà tù (noun)
VI2245	giòi (noun)
VI219	thương gia (noun)
VI1379	việc nhà (noun)
VI1771	người bối rối (noun)
VI1718	tu từ (noun)
VI1478	giả (noun)
VI1743	vi trùng (noun)
VI1136	tống (noun)
VI227	tư vấn (noun)
VI1822	người cầu hôn (noun)
VI396	khốn (noun)
VI2127	do thái (adjective)
VI1980	đạo văn (noun)
VI2144	nghèo (adjective)
VI2094	Đỉa (noun)
VI1703	niềm tự hào (noun)
VI1170	bao quy đầu (noun)
VI1565	hỗn hợp (noun)
VI1573	vệ sinh cơ sở (noun)
VI1789	bí (noun)
VI1378	giữ nhà (noun)
VI1293	lợn (noun)
VI1052	trọng tội (noun)
VI185	nhà chứa đi (noun)
VI1721	cướp (noun)
VI978	cơ bản (noun)
VI1213	anh đậu (noun)
VI1521	hạt dẻ (noun)
VI1785	người tác nhỏ (noun)
VI204	hoàn (noun)
VI1836	công nghệ (noun)
VI2062	sai (adjective)
VI603	bôi nhọ (noun)
VI1089	hoang phí (noun)
VI1598	muôi (noun)
VI720	kéo đến (noun)
VI1377	ăn quá nhiều (noun)
VI1886	không may (noun)
VI1270	quan hệ tình dục (verb)
VI744	phóng viên (noun)
VI1042	giáo dục (noun)
VI1984	Đạo văn (noun)
VI80	hôn tạp (noun)
VI413	cắm sừng (noun)
VI852	lai (noun)
VI2101	gián (noun)
VI1218	rộng đậu (noun)
VI1964	bộ chấy (noun)
VI225	những người ủng hộ (noun)
VI1033	một (noun)
VI809	Ái (noun)
VI1611	la (noun)
VI212	nhà quê (noun)
VI997	mông (noun)
VI2176	hời hợt (noun)
VI336	ban nhạc (noun)
VI1997	bé (noun)
VI876	bè đảng (noun)
VI748	say sưa (noun)
VI1230	cai tù (noun)
VI1490	không hạnh phúc (adjective)
VI1263	phản động (noun)
VI1910	người ăn xin (noun)
VI285	dâm (noun)
VI1674	xã (noun)
VI1828	trắng (noun)
VI1382	lều (noun)
VI970	xa (noun)
VI206	du côn (noun)
VI1419	vô (noun)
VI422	làm hư (noun)
VI2248	chịu thua (noun)
VI2007	trung quốc (adjective)
VI1348	Đồng tính (noun)
VI1029	tiền my (noun)
VI1838	trại thuê nhà (noun)
VI1125	nhà nông (noun)
VI1433	nghèo (noun)
VI217	người bán (noun)
VI2220	đúng địa (noun)
VI1085	cuu cai (noun)
VI163	ass (noun)
VI1361	đàn (noun)
VI463	con bò cái (noun)
VI1489	không may (adjective)
VI1079	ác (noun)
VI1663	hột cỏ (noun)
VI1661	thô lỗ (noun)
VI1269	làm tình (verb)
VI961	che đậy (noun)
VI1692	đậu nhà máy (noun)
VI1081	người có tội (noun)
VI896	người tô lên (noun)
VI160	lừa (noun)
VI520	kiêu căng (noun)
VI767	tướng (noun)
VI189	thổ (noun)
VI60	thô tục (noun)
VI1397	rên rỉ (noun)
VI592	khờ (noun)
VI682	vấn đề (noun)
VI507	trung lưu (noun)
VI350	tội phạm (noun)
VI880	lựa chọn (noun)
VI2104	con gián (noun)
VI1016	vi phạm (noun)
VI1307	trộm (noun)
VI1944	người lợi dụng (noun)
VI1542	giận (noun)
VI1354	do thái (noun)
VI870	lồn (noun)
VI1018	đống (noun)
VI2004	người ăn xin (noun)
VI1499	người cho vay (noun)
VI2026	kế toán (noun)
VI1090	dành cho tất cả (noun)
VI1709	chuột (noun)
VI1946	tin đồn (noun)
VI90	xâm lược (adjective)
VI1893	kền kền (noun)
VI1807	thằng nhọ (noun)
VI240	thích chó (noun)
VI1730	nửa giống (noun)
VI487	tá điền (noun)
VI25	lạm dụng (noun)
VI1265	phản động (noun)
VI1632	ma phi a (noun)
VI1108	ma cô (noun)
VI277	nhà thổ (noun)
VI980	gần (noun)
VI2014	vận động (noun)
VI561	đường xe (noun)
VI1474	lady (noun)
VI1048	nhân viên (noun)
VI1959	con chí (noun)
VI317	thoi người nào (noun)
VI1274	địt (verb)
VI741	hạ sỉ (noun)
VI39	viện sĩ (noun)
VI810	tham ái (noun)
VI1005	tham ăn (noun)
VI299	nói dối (noun)
VI198	hòn dái (noun)
VI1991	gà (noun)
VI1454	thầy giáo (noun)
VI823	cú (noun)
VI808	không gạt (noun)
VI1597	muỗi (noun)
VI1343	bê đê (noun)
VI639	cẩu (noun)
VI477	nâu (noun)
VI2133	ngu (noun)
VI341	đám (noun)
VI773	hèn nhát (noun)
VI551	dở (adjective)
VI1028	điểm (noun)
VI1375	nhà sơn (noun)
VI178	người hay nói nhiều (noun)
VI1221	âm đạo (noun)
VI119	vật (noun)
VI1458	giáo viên (noun)
VI1296	heo (noun)
VI1107	cò tình dục (noun)
VI883	từ chối (noun)
VI673	hôn loạn (noun)
VI170	tham lam (noun)
VI1574	nhà vệ sinh (noun)
VI1252	đi giữa (noun)
VI272	điếm (noun)
VI1902	sâu (noun)
VI772	nhát gan (noun)
VI984	bụng (noun)
VI1366	giám mục (noun)
VI459	chán (noun)
VI1688	đậu xanh (noun)
VI1633	mafia (noun)
VI1171	hôi (noun)
VI1075	đắn (noun)
VI1691	hạt đậu (noun)
VI1422	phá hỏng (noun)
VI1498	vay tiền (noun)
VI950	cái bô (noun)
VI1105	người làm mối (noun)
VI1183	nhăn mặt (noun)
VI363	phép ma (noun)
VI210	dã man (noun)
VI875	dưa leo (noun)
VI912	cận thần (noun)
VI1430	bần hàn (noun)
VI339	đoàn (noun)
VI1974	giận (adjective)
VI27	tố (noun)
VI1137	chính xác (noun)
VI188	thể thao nhà (noun)
VI607	vu khống (noun)
VI1904	nói nhịu (noun)
VI1614	mõm (noun)
VI905	nhân tình (noun)
VI12	thầy cầm nến (noun)
VI560	tù nhân (noun)
VI742	nhà báo (noun)
VI1460	nhà giáo (noun)
VI1506	côn trùng (noun)
VI408	người quyết định (noun)
VI1892	kên kên (noun)
VI1512	sự lạm công (noun)
VI1329	người nghèo (noun)
VI1825	châu á (noun)
VI232	người đề nghị (noun)
VI486	nông dân (noun)
VI294	trai bao (noun)
VI1189	cơ sở (noun)
VI58	con lười (noun)
VI1532	đồng tính (adjective)
VI862	phù hợp (noun)
VI1548	mess (noun)
VI1017	tải (noun)
VI1271	ái ân (verb)
VI286	Đĩ đực (noun)
VI1803	mọi (noun)
VI1821	người cầu hôn (noun)
VI2229	thẻ vàng (noun)
VI257	một đoạn (noun)
VI557	phe đảng (noun)
VI426	lầm lổi (noun)
VI1051	điên (adjective)
VI590	kiểu sức (noun)
VI1112	má mì (noun)
VI1900	giun (noun)
VI2049	khác nhau (adjective)
VI2154	bạo lực (adjective)
VI1308	trộm (noun)
VI275	đĩ (noun)
VI1911	người ăn cắp (noun)
VI1062	ốc (noun)
VI1194	buồn (noun)
VI1064	nghiệp dư (noun)
VI2252	xấu (noun)
VI1151	cá (noun)
VI472	bò (noun)
VI796	lỗi giường (noun)
VI414	cuckold (noun)
VI1796	tự ái (noun)
VI836	con sấu (noun)
VI1253	trung gian (noun)
VI1388	hối hả (noun)
VI1186	chính thống (noun)
VI1185	chủ yếu (noun)
VI453	thú tính (noun)
VI493	doanh nhân (noun)
VI193	nhà chứa (noun)
VI2093	đỉa (noun)
VI55	tình yêu tự (noun)
VI2276	lán (noun)
VI693	tự mãn (noun)
VI1706	tuyên truyền (noun)
VI892	thị nư (noun)
VI845	sấu (noun)
VI1038	người lùn (noun)
VI1	hạ tiện (noun)
VI818	bỏ rơi (noun)
VI1862	giết (noun)
VI1211	đậu tằm (noun)
VI1515	lại nói chuyện (noun)
VI370	Đen (noun)
VI729	fuck (noun)
VI2083	ăn cắp (verb)
VI374	tướng quân (noun)
VI17	lạm của công ty (noun)
VI2199	qua tủ (noun)
VI382	vua tư bản (noun)
VI258	dễ dãi (noun)
VI1619	người làm lổi (noun)
VI387	người không cẩn thận (noun)
VI34	học thuật (noun)
VI533	lang thang (noun)
VI1275	đéo (verb)
VI1680	vẹt (noun)
VI334	băng đảng (noun)
VI967	giả (noun)
VI1530	chim (noun)
VI2	sủa (verb)
VI2064	cóc (noun)
VI340	bọn (noun)
