PL200	zwierzęta (noun)
PL1598	przestępstwo (noun)
PL584	siatka (noun)
PL418	hiena (noun)
PL1259	dziennikarz (noun)
PL1693	tył (noun)
PL1003	suka (noun)
PL105	niezłomny (adjective)
PL1147	zaraza (noun)
PL3782	ptak (noun)
PL139	dowcip (noun)
PL2532	morderca (noun)
PL390	obrońca (noun)
PL1304	morda (noun)
PL145	żart (noun)
PL1872	rodziny (noun)
PL3319	usprawiedliwienie (noun)
PL497	szmata (noun)
PL3272	pyra (noun)
PL3678	złośliwy (adjective)
PL1932	wystarczy jeden (noun)
PL1233	pierdolony (noun)
PL331	jajo (noun)
PL2668	toalety (noun)
PL2036	pasja (noun)
PL893	zły (adjective)
PL647	świnia (noun)
PL3460	typowy (adjective)
PL311	burdelu (noun)
PL2586	interes (noun)
PL3241	zniknąć (verb)
PL386	adwokatów (noun)
PL1754	wyniki (noun)
PL532	chaos (noun)
PL3245	zginąć (verb)
PL2592	zazdrość (noun)
PL1303	twarz (noun)
PL1278	geje (noun)
PL3359	gnida (noun)
PL3196	banan (noun)
PL1355	śmieci (noun)
PL1678	dusza (noun)
PL2523	leżeć (noun)
PL3690	raper (noun)
PL2058	faszyzmu (noun)
PL3338	dziad (noun)
PL3686	absurd (noun)
PL1243	ruchanie (noun)
PL1539	oszustwa (noun)
PL2506	kłamca (noun)
PL3579	żaba (noun)
PL3040	black (noun)
PL3391	dumny (adjective)
PL3735	tortur (noun)
PL1596	przestępców (noun)
PL1056	tupet (noun)
PL1361	odpady (noun)
PL1918	rolników (noun)
PL389	minister (noun)
PL762	krowy (noun)
PL2942	ograniczenie (noun)
PL1142	pyta (noun)
PL1459	rookie (noun)
PL2343	ideologia (noun)
PL3103	mordowanie (noun)
PL1660	niechęć (noun)
PL3440	kary (adjective)
PL1577	naiwny (adjective)
PL144	kawał (noun)
PL2458	pan (noun)
PL3680	inteligentny (adjective)
PL3838	przemocy (noun)
PL3269	ziemniaki (noun)
PL3665	ładować (noun)
PL560	durny (adjective)
PL430	frajer (noun)
PL2867	cześć (noun)
PL1406	sowy (noun)
PL911	kasta (noun)
PL2331	hieny (noun)
PL1007	rura (noun)
PL1461	zgodności (noun)
PL1720	budy (noun)
PL1963	ryba (noun)
PL2353	ograniczony (adjective)
PL3099	morderstwo (noun)
PL1283	homo (noun)
PL1718	buda (noun)
PL2892	retoryczne (noun)
PL1282	lesbijka (noun)
PL772	szef (noun)
PL212	zwierzę (noun)
PL1224	jebanie (noun)
PL480	dziewczynka (noun)
PL2796	pasożyty (noun)
PL1500	dama (noun)
PL3091	morderców (noun)
PL197	kreatura (noun)
PL102	mocny (adjective)
PL668	chuj (noun)
PL2676	kibel (noun)
PL251	głupek (noun)
PL799	biznesmen (noun)
PL224	łeb (noun)
PL3564	fałszywe (adjective)
PL2105	komar (noun)
PL1144	wał (noun)
PL3425	bobo (noun)
PL590	grupa (noun)
PL2293	masy (noun)
PL3566	żaby (noun)
PL3737	tortury (noun)
PL987	tchórz (noun)
PL3444	brązowy (adjective)
PL1841	zło (noun)
PL3329	uwaga (noun)
PL1805	ustawienie (noun)
PL2470	pisarz (noun)
PL3053	pierdoła (noun)
PL1746	wiele (noun)
PL1452	rzesza (noun)
PL1808	podniesienie (noun)
PL247	duda (noun)
PL2140	kochać się (verb)
PL3331	komentarz (noun)
PL1146	cholera (noun)
PL170	ogień (noun)
PL3121	zabijanie (noun)
PL3698	seksualnie (noun)
PL1524	śmiać się (verb)
PL1747	dziesiątki (noun)
PL2868	dobre imię (noun)
PL3254	odejść (verb)
PL1188	profesorów (noun)
PL2882	szczur (noun)
PL2848	świnka (noun)
PL1668	fałszywy (noun)
PL2871	honor (noun)
PL1087	rodzina (noun)
PL3585	kraść (verb)
PL3324	tłumaczenie (noun)
PL2665	stół (noun)
PL2853	kół (noun)
PL3858	judasz (noun)
PL478	dziwka (noun)
PL2254	homoseksualizm (noun)
PL2246	homoseksualistów (noun)
PL396	prawników (noun)
PL997	debilizm (noun)
PL3715	terrorystów (noun)
PL2511	lipa (noun)
PL207	zwierząt (noun)
PL3110	mord (noun)
PL1610	gówno (noun)
PL1066	psa (noun)
PL785	brąz (noun)
PL166	kat (noun)
PL2057	faszyzm (noun)
PL494	żużel (noun)
PL3437	dziecko (noun)
PL643	bydlę (noun)
PL2299	malarz (noun)
PL395	zwolennik (noun)
PL3115	zabójstwa (noun)
PL1743	rzeka (noun)
PL2531	zabójca (noun)
PL599	bandytów (noun)
PL2493	panie (noun)
PL1241	zapomnieć (noun)
PL2831	przyjęcie (noun)
PL2341	dziewczyna (noun)
PL1305	papa (noun)
PL3250	przejść (verb)
PL824	bezczelność (noun)
PL3025	czarny (noun)
PL640	król (noun)
PL1044	oszust (noun)
PL957	ścierwo (noun)
PL1263	baba (noun)
PL3895	bandyty (noun)
PL3420	kurczaka (noun)
PL2588	członek (noun)
PL2150	nielegalny (adjective)
PL2099	kibic (noun)
PL2285	Żydzi (noun)
PL2675	wc (noun)
PL436	baran (noun)
PL3252	zabić się (verb)
PL906	gęba (noun)
PL1114	koza (noun)
PL1603	łamanie prawa (noun)
PL1536	oszustwo (noun)
PL2280	Żyd (noun)
PL898	mały (adjective)
PL3251	paść (verb)
PL2406	ubóstwo (noun)
PL3082	terrorysta (noun)
PL1415	brygada (noun)
PL328	bzdury (noun)
