LV2092	neglīts (adjective)
LV558	maita (noun)
LV1848	grifs (noun)
LV1886	kartupelis (noun)
LV1947	vistas (noun)
LV1386	kustību traucējumiem (noun)
LV307	stulba (adjective)
LV876	demagogs (noun)
LV1336	Žīdi (noun)
LV132	muļķis (noun)
LV2135	mokas (noun)
LV616	cilts (noun)
LV331	aizliegtā (noun)
LV140	idiots (noun)
LV1536	lav (noun)
LV1186	pupas (noun)
LV2030	varde (noun)
LV31	akadēmisko (noun)
LV261	prostitūta (noun)
LV1355	būda (noun)
LV1572	kodes (noun)
LV1168	fašismu (noun)
LV1602	mafija (noun)
LV482	egoistiski (noun)
LV1806	brent (noun)
LV1615	vērsis (noun)
LV735	homoseksuāls (noun)
LV1665	nabaga cilvēki (noun)
LV24	faktors (noun)
LV1500	skaudība (noun)
LV329	ļaundaris (noun)
LV1711	mikrobu (noun)
LV1092	lauksaimnieks (noun)
LV165	alkatība (noun)
LV529	slikti (adjective)
LV2034	zagt (verb)
LV1170	fašisti (noun)
LV155	ēzeļi (noun)
LV1462	slepkava (noun)
LV911	nodarījumu (noun)
LV1476	kukaiņi (noun)
LV130	muļķība (noun)
LV350	melns (noun)
LV1027	darbinieks (noun)
LV1831	nogalināšanu (noun)
LV1418	nežēlība (noun)
LV452	brūns (noun)
LV217	ministrs (noun)
LV324	negodīgi (noun)
LV699	drūzmēties (noun)
LV1457	skumjš (adjective)
LV1296	prostitūtas (noun)
LV1399	muļķīgi (noun)
LV949	pakaļa (noun)
LV1987	grāmatvedis (noun)
LV738	geju (noun)
LV1002	slodzes (noun)
LV300	melot (noun)
LV2228	romi (noun)
LV351	karalis (noun)
LV1634	parazītiem (noun)
LV1072	radi (noun)
LV1879	kartupeļu (noun)
LV481	egoisms (noun)
LV7	apātija (noun)
LV2045	dēles (noun)
LV1960	mazulis (noun)
LV848	gurķi (noun)
LV288	dude (noun)
LV946	liekulība (noun)
LV1392	invalīdu (noun)
LV2235	zulu (noun)
LV464	uzņēmēja (noun)
LV965	vēdera (noun)
LV39	idiotisms (noun)
LV533	zemisks (adjective)
LV57	spītīgs (adjective)
LV655	gailis (noun)
LV1460	nelaimīgs (adjective)
LV1951	cālis (noun)
LV2002	uzbrukums (noun)
LV1958	bērnu (noun)
LV1119	zivju pārdevēja (noun)
LV233	barons (noun)
LV2185	konspirācijas teorijas (noun)
LV515	nelietis (noun)
LV35	pasniedzējs (noun)
LV567	kretīns (noun)
LV342	ļauns (noun)
LV1723	aitu (noun)
LV1788	cūku (noun)
LV137	muļķe (noun)
LV2183	sazvērestības teorija (noun)
LV1264	cuka (noun)
LV1824	nogalināšana (noun)
LV1497	penis (noun)
LV1495	dick (noun)
LV1627	rube (noun)
LV957	gūžas (noun)
LV1763	nigga (noun)
LV1022	pedagogs (noun)
LV2047	dēle (noun)
LV674	kasta (noun)
LV1131	āksts (noun)
LV2119	iedomīgs (adjective)
LV1918	uts (noun)
LV1969	nabags (noun)
LV328	noziedznieks (noun)
LV175	atpalicība (noun)
LV847	gurķis (noun)
LV863	muižniece (noun)
LV568	garīgi (noun)
LV1595	policisti (noun)
LV1088	saimnieks (noun)
LV1068	ģimenes (noun)
LV500	git (noun)
LV1225	starpnieks (noun)
LV796	pūce (noun)
LV1334	Žīds (noun)
LV1026	darbinieku (noun)
LV1594	virsnieks (noun)
LV202	laupītājs (noun)
LV2056	tarakāni (noun)
LV440	govs (noun)
LV527	slikts (adjective)
LV365	cūka (noun)
LV1682	retorisks (noun)
LV919	sūds (noun)
LV347	melnā krāsa (noun)
LV1571	naktstaurenis (noun)
LV1146	skatiens (noun)
LV1585	nerd (noun)
LV1854	klauns (noun)
LV1443	dāmas (noun)
LV1728	gani (noun)
LV787	koķete (noun)
LV1000	desmitiem (noun)
LV1281	zagšana (noun)
LV1155	dusmas (noun)
LV2168	putni (noun)
LV539	kliķe (noun)
LV229	sunītis (noun)
LV1452	melis (noun)
LV447	brūnā (noun)
LV998	rādītāji (noun)
LV1496	falls (noun)
LV1246	iepazīt (verb)
LV1066	invalīds (noun)
LV1	pazemojums (noun)
LV2141	spīdzināšanu (noun)
LV507	klaiņot (noun)
LV1166	fašisms (noun)
LV1859	tārpi (noun)
LV1877	rācenis (noun)
LV2206	vardarbība (noun)
LV1532	tualete (noun)
LV782	alkas (noun)
LV1823	slepkavības (noun)
LV120	izvaro (noun)
LV3	slinkums (noun)
LV1968	brūns (adjective)
LV1725	aita (noun)
LV1664	slikts (noun)
LV1784	āzijas (noun)
LV1780	sūcējs (noun)
LV321	banda (noun)
LV1389	invaliditāte (noun)
LV1670	lepnums (noun)
LV2207	vardarbību (noun)
LV901	noziegumi (noun)
LV1785	balts (noun)
LV2118	lepns (adjective)
LV1658	zirņi (noun)
LV34	fakultātes (noun)
LV903	noziedzība (noun)
LV1976	aizstāvēšana (noun)
LV1456	bēdīgs (adjective)
LV2126	teroristiem (noun)
LV2029	vardes (noun)
LV1696	kanalizācijas (noun)
LV1695	notekūdeņu (noun)
LV1769	nēģeris (noun)
LV216	advokāts (noun)
LV1111	smaka (noun)
LV1415	nezināšana (noun)
LV1828	slayer (noun)
LV1047	morāli (noun)
LV971	zobs (noun)
LV385	uzņēmējs (noun)
LV1494	dzimumloceklis (noun)
LV1101	precīzs (noun)
LV1459	žēl (adjective)
LV349	melna krāsa (noun)
LV1425	skolotāja (noun)
LV1561	odi (noun)
LV1396	pakaļu (noun)
LV939	riebums (noun)
LV1308	gejiem (noun)
LV27	akadēmiskās (noun)
LV1970	ķīniešu (adjective)
LV1337	ebrejs (noun)
LV1435	krāpnieks (noun)
LV940	nepatīkama (noun)
LV1428	mācību atbalstu (noun)
LV438	vēršu (noun)
LV943	liekulīgi (noun)
LV1199	vagīna (noun)
LV460	zemnieku (noun)
LV958	pretējās (noun)
LV1083	tur sieviete (noun)
LV1938	plaģiāts (noun)
LV1043	amatieri (noun)
LV1917	utis (noun)
LV1637	parazīti (noun)
LV1672	propagandists (noun)
LV2166	putns (noun)
LV299	liellopu (noun)
LV1632	pāķis (noun)
LV1825	slepkavas (noun)
LV1833	ķirbis (noun)
LV1388	invalīdiem (noun)
LV698	pūlis (noun)
LV1773	negro (noun)
LV82	agresīvs (adjective)
LV514	Ļaundaris (noun)
LV1098	fašistu (noun)
LV15	ļaunprātīgi (noun)
LV116	dzīvnieks (noun)
LV1245	pisties (verb)
LV1965	melns (adjective)
LV1442	lady (noun)
LV2093	vardarbīgu (adjective)
LV1096	zemnieks (noun)
LV131	stulbums (noun)
LV1778	nēģeri (noun)
LV657	nepatikšanas (noun)
LV2070	ebreju (adjective)
LV121	izvarošana (noun)
LV1528	maisījums (noun)
LV705	fuck (noun)
LV981	maizītes (noun)
LV808	kroplis (noun)
LV281	meli (noun)
LV1966	akls (adjective)
LV2182	sazvērestības teorijām (noun)
LV560	kazino (noun)
LV122	izvarošanas (noun)
LV1949	vista (noun)
LV688	profesora (noun)
LV512	mob (noun)
LV1840	neveiksmīgs (noun)
LV323	blēdis (noun)
LV1319	viendzimuma (noun)
LV1963	jaundzimušajiem (noun)
LV1567	kode (noun)
LV1050	pieklājība (noun)
LV1044	morāle (noun)
LV346	ļaunums (noun)
LV1259	cūkas (noun)
LV1562	odiem (noun)
LV1826	slepkavību (noun)
LV138	duraks (noun)
LV1103	izspiest (noun)
LV1985	kontrolieris (noun)
LV2016	viltus (adjective)
LV1414	nekompetents (noun)
LV305	sargs (noun)
LV1393	atslēgt (noun)
LV100	zutis (noun)
LV1584	purna (noun)
LV2086	politisks (adjective)
LV739	twink (noun)
LV111	būtne (noun)
LV908	noziegums (noun)
LV378	nelikumīgs (noun)
LV459	zemnieki (noun)
LV546	vagons (noun)
LV429	garlaicīgi (noun)
LV77	atliekas (noun)
LV1356	nojume (noun)
LV731	geji (noun)
LV149	zināt neko (noun)
LV366	cur (noun)
LV1581	mūļi (noun)
LV2217	nodevējs (noun)
LV1787	latino (noun)
LV2167	putnu (noun)
LV2221	romu (noun)
LV687	prof (noun)
LV1885	tupeņi (noun)
LV112	dzīvnieku (noun)
LV1499	homoseksuāls (adjective)
LV2139	mocīt (noun)
LV856	noraidīt (noun)
LV1626	rupjš (noun)
LV1332	ebreji (noun)
LV294	bedu (noun)
LV536	iekšas (noun)
LV1335	Ēbreji (noun)
LV631	kaza (noun)
LV437	govis (noun)
LV2208	vardarbības (noun)
LV1398	blēņas (noun)
LV2178	dzelteno kartīti (noun)
LV783	tanha (noun)
LV2071	viduslaiku (adjective)
LV1001	daudz (noun)
LV316	bandas (noun)
LV1807	teroristu (noun)
LV1827	slepkavoja (noun)
LV692	kāposti (noun)
LV652	pimpis (noun)
LV884	mīļākais (noun)
LV16	pārkāpumiem (noun)
LV941	riebumu (noun)
LV1444	pseido (noun)
LV1929	pikts (adjective)
LV2134	agonija (noun)
LV1934	viltīgs (adjective)
LV1651	puse (noun)
LV291	haoss (noun)
LV1247	ņemties (verb)
LV716	zaķis (noun)
LV715	truši (noun)
LV960	dirsa (noun)
LV1411	nabadzībā (noun)
LV188	cheapskate (noun)
LV789	priekša (noun)
LV1108	smirdēt (noun)
LV714	zaķi (noun)
LV1218	skatītājs (noun)
LV967	pēcpuse (noun)
LV1169	fašists (noun)
LV1953	cāļi (noun)
LV1678	žurkām (noun)
LV2091	stulbs (adjective)
LV872	maldinošu (noun)
LV1475	kukainis (noun)
LV1318	homoseksualitāte (noun)
LV225	jurists (noun)
LV962	sānu (noun)
LV2179	konspirāciju teorija (noun)
LV1224	ods (noun)
LV703	eros (noun)
LV537	pulciņš (noun)
LV1057	ļaunumu (noun)
LV333	āzis (noun)
LV871	viltu (noun)
LV499	apjomu (noun)
LV865	dame (noun)
LV1687	retoriski (noun)
LV633	Āzis (noun)
LV147	dumbass (noun)
LV1298	prostitūcija (noun)
LV969	astes (noun)
LV1331	ebreju (noun)
LV1387	invaliditāti (noun)
LV2063	Šakāļi (noun)
LV511	nedarīt neko (noun)
LV2224	Čigāns (noun)
LV695	kāposts (noun)
LV1704	haizivs (noun)
LV240	lieguma (noun)
LV2087	nabags (adjective)
LV798	pūces (noun)
LV1458	skumji (adjective)
LV2075	dumjš (noun)
LV626	kazas (noun)
LV136	vientiesis (noun)
LV1408	trūkums (noun)
LV145	stulbenis (noun)
LV2227	Čigāni (noun)
LV1734	lode (noun)
LV685	profesori (noun)
LV1100	ātri vienu (noun)
LV1653	ļauns (adjective)
LV1531	tualetes (noun)
LV1433	rakstītājs (noun)
LV710	izdrāzt (noun)
