JA1552	生意気 (noun)
JA4038	邪 (noun)
JA2138	適応 (noun)
JA315	団 (noun)
JA4906	海賊 (noun)
JA1727	普通の人 (noun)
JA4641	死ぬ (verb)
JA864	滅茶苦茶 (noun)
JA3668	集まり (noun)
JA1849	レス (noun)
JA3610	気の毒 (adjective)
JA4407	殺 (noun)
JA2755	臭い (noun)
JA1018	おしゃべり (noun)
JA2343	苦手 (noun)
JA4397	殺害 (noun)
JA2569	致命的 (adjective)
JA981	人外 (noun)
JA3876	おたく (noun)
JA868	カオス (noun)
JA3707	怒 (noun)
JA2440	負荷 (noun)
JA3697	うらやましい (adjective)
JA1482	チキン (noun)
JA3014	寝る (verb)
JA2189	拒否 (noun)
JA4594	消える (verb)
JA5339	愚痴 (noun)
JA4716	きつい (adjective)
JA3391	貧困 (noun)
JA3031	ブタ (noun)
JA732	禁止 (noun)
JA5083	不自由 (adjective)
JA1050	ブラック (noun)
JA2533	素人 (noun)
JA4765	不自然 (adjective)
JA3918	警官 (noun)
JA4078	柱 (noun)
JA4081	ボーイ (noun)
JA3877	オタク (noun)
JA3700	羨ましい (adjective)
JA1058	大物 (noun)
JA1127	カッ (noun)
JA2244	愛 人 (noun)
JA84	研究者 (noun)
JA5283	大変 (adjective)
JA2396	尾 (noun)
JA4982	ねね (noun)
JA4826	強引 (adjective)
JA5271	吸血鬼 (noun)
JA4364	ガン (noun)
JA61	代理店 (noun)
JA5205	蛙 (noun)
JA195	固い (adjective)
JA1239	リーダー (noun)
JA2260	大臣 (noun)
JA5415	かわいそう (adjective)
JA5455	不味い (adjective)
JA2999	やる (verb)
JA956	グループ (noun)
JA5204	カエル (noun)
JA3773	トイレ (noun)
JA2269	青い (adjective)
JA1726	問題 (noun)
JA4845	猛烈 (adjective)
JA2600	過ごす - すべて (noun)
JA3422	不明 (adjective)
JA715	犬 (noun)
JA2403	牙 (noun)
JA5026	中華 (adjective)
JA4174	サメ (noun)
JA2316	ジャック (noun)
JA3852	カ (noun)
JA1241	長 (noun)
JA1035	真っ黒 (noun)
JA321	うなぎ (noun)
JA3581	偽り (noun)
JA1863	面 (noun)
JA840	うそ (noun)
JA1768	キャベツ (noun)
JA904	足りない (adjective)
JA959	群れ (noun)
JA2491	サラリーマン (noun)
JA1250	茶色 (noun)
JA4382	だに (noun)
JA1606	狗 (noun)
JA4846	異例 (adjective)
JA3687	嫉妬 (noun)
JA44	悪用 (noun)
JA3730	乱れ (noun)
JA4897	賢い (adjective)
JA1476	泣き虫 (noun)
JA4025	酷い (adjective)
JA1078	ハーフ (noun)
JA3653	店主 (noun)
JA3848	教訓 (noun)
JA2446	多く (noun)
JA407	半端 (noun)
JA298	熱意 (noun)
JA4987	ベビー (noun)
JA2008	ふる (noun)
JA2694	農家 (noun)
JA2549	モラル (noun)
JA2149	カブ (noun)
JA1242	大将 (noun)
JA3638	昆虫 (noun)
JA398	バカ (noun)
JA2202	貴女 (noun)
JA1379	ヴィラン (noun)
JA5012	ダーク (adjective)
JA5160	別 (adjective)
JA2525	勃起 (noun)
JA700	主義者 (noun)
JA314	隊 (noun)
JA4302	勝手 (adjective)
JA2265	未熟 (adjective)
JA4104	プライド (noun)
JA5190	壮大 (noun)
JA3149	貧乏 (noun)
JA952	暴力団 (noun)
JA2668	女 (noun)
JA860	めちゃくちゃ (noun)
JA3961	絵師 (noun)
JA443	抜け (noun)
JA1325	誇り (noun)
JA2863	無用 (noun)
JA1812	ウサギ (noun)
JA1414	クリーク (noun)
JA5698	暴力 (noun)
JA2385	ケツ (noun)
JA4770	噂 (noun)
JA1708	ちんぽ (noun)
JA2545	道徳 (noun)
JA2445	たくさん (noun)
JA5421	情けない (adjective)
JA2906	モル (noun)
JA4981	やや (noun)
JA837	虚偽 (noun)
JA2502	従業員 (noun)
JA2538	アマ (noun)
JA5692	加害 (noun)
JA3032	豚 (noun)
JA5461	醜い (adjective)
JA2319	つまらない (noun)
JA1556	悪口 (noun)
JA286	攻撃的 (adjective)
JA564	ケチ (noun)
JA2179	きゅうり (noun)
JA2543	倫理 (noun)
JA1419	党 (noun)
JA4408	殺す (noun)
JA1817	兎 (noun)
JA3314	障害 (noun)
JA3704	怒り (noun)
JA3023	不法 (adjective)
JA5142	捕獲 (noun)
JA4127	遺物 (noun)
JA237	信者 (noun)
JA3425	無知 (adjective)
JA1630	族 (noun)
JA3853	蚊 (noun)
JA5470	無力 (adjective)
JA2351	嫌い (noun)
JA2160	まんこ (noun)
JA1617	中国人 (noun)
JA2390	ヒップ (noun)
JA3224	家事 (noun)
JA3986	失礼 (noun)
JA1717	玩具 (noun)
JA1207	無惨 (noun)
JA5015	真っ黒 (adjective)
JA1692	下品 (noun)
JA1940	ごみ (noun)
JA3022	違法 (adjective)
JA2211	奥様 (noun)
JA954	連中 (noun)
JA2974	仲介 (noun)
JA2387	腹 (noun)
JA4076	ポール (noun)
JA2737	強要 (noun)
JA717	わんこ (noun)
JA2205	レディ (noun)
JA1652	店員 (noun)
JA4828	強気 (adjective)
JA4050	邪 (adjective)
JA2291	犯罪 (noun)
JA1232	上司 (noun)
JA5509	自慢 (adjective)
JA1631	一家 (noun)
JA1642	一族 (noun)
JA3374	金欠 (noun)
JA3210	塗装 (noun)
JA1382	悪役 (noun)
JA545	強欲 (noun)
JA2606	障害者 (noun)
JA394	あほ (noun)
JA4201	羊 (noun)
JA5127	誘拐 (noun)
JA507	穴 (noun)
JA1314	自慢 (noun)
JA3076	盗難 (noun)
JA3871	ラバ (noun)
JA1515	雌 (noun)
JA1410	口 (noun)
JA3914	刑事 (noun)
JA1741	自己満足 (noun)
JA1464	カジノ (noun)
JA3907	警察官 (noun)
JA3859	ガ (noun)
JA4400	キラー (noun)
JA3025	欲 (noun)
JA979	犯人 (noun)
JA1245	茶 (noun)
JA1093	野郎 (noun)
JA858	混沌 (noun)
JA4281	チビ (noun)
JA4307	一方的 (adjective)
JA2758	匂い (noun)
JA2628	紐 (noun)
JA2375	しり (noun)
JA4871	偉そう (adjective)
JA5294	ゴキブリ (noun)
JA2161	へへ (noun)
JA764	糞 (noun)
JA2082	群 (noun)
JA1252	ブラウン (noun)
JA5469	できない (adjective)
JA856	混乱 (noun)
JA3039	ぶた (noun)
JA3903	加害者 (noun)
JA465	ばか (noun)
JA5080	暴力的 (adjective)
JA2270	初心 (adjective)
JA5561	拷問 (noun)
JA3605	不運 (adjective)
JA5642	陰謀論 (noun)
JA1235	監督 (noun)
JA631	玉 (noun)
JA5393	当たり前 (adjective)
JA1428	派閥 (noun)
JA5550	苦 (noun)
JA4843	激しい (adjective)
JA1644	民族 (noun)
JA2902	臭い (adjective)
JA4040	悪さ (noun)
JA1611	イヌ (noun)
JA1109	脅迫 (noun)
JA3439	師匠 (noun)
JA3390	困窮 (noun)
JA3163	同性 (noun)
JA253	いたずら (noun)
JA4168	ふか (noun)
JA1897	喋る (verb)
JA1174	下手 (noun)
JA2156	坊や (noun)
JA1166	鬼畜 (noun)
JA4487	叩く (verb)
JA285	積極的 (adjective)
JA3583	無能 (adjective)
JA5016	黒い (adjective)
JA4867	傲慢 (adjective)
JA2577	悲しい (adjective)
JA3927	マフィア (noun)
JA67	アカデミー (noun)
JA5435	貧困 (adjective)
JA49	エージェント (noun)
JA5044	いい気 (adjective)
JA1705	おちんちん (noun)
JA4371	テロ (noun)
JA3016	抱く (verb)
JA955	仲間 (noun)
JA4888	鋭い (adjective)
JA912	あほ (adjective)
JA3357	無意味 (noun)
JA1794	セックス (noun)
JA4951	鶏肉 (noun)
JA1236	指導者 (noun)
JA2398	尻 (noun)
JA3926	警察 (noun)
JA3965	絵描き (noun)
JA82	学者 (noun)
JA2117	新米 (noun)
JA5544	苦しみ (noun)
JA1981	欲求 (noun)
JA1213	退屈 (noun)
JA4836	強烈 (adjective)
JA296	情熱 (noun)
JA625	卵 (noun)
JA5454	味 (adjective)
JA2204	お嬢様 (noun)
JA5023	褐色 (adjective)
JA3243	小屋 (noun)
JA4126	聖遺物 (noun)
JA3408	無能 (noun)
JA903	ばか (adjective)
JA4122	ネズミ (noun)
JA5399	鮭 、 (noun)
JA5621	とり (noun)
JA2782	捏造 (noun)
JA4887	シャープ (adjective)
JA4754	萎える (verb)
JA1322	傲慢 (noun)
JA1397	まずい (adjective)
JA3516	エッチ (adjective)
JA3290	狭い (adjective)
JA2449	トン (noun)
JA1220	うし (noun)
JA1722	課題 (noun)
JA718	わんちゃん (noun)
JA5541	試練 (noun)
JA4648	ポテト (noun)
