EN4735	bird (noun)
EN620	mean (noun)
EN4368	theft (noun)
EN1019	beef (noun)
EN4600	jews' (noun)
EN3247	seat (noun)
EN7533	grind (noun)
EN3069	crimes (noun)
EN1484	boss (noun)
EN2323	screw (noun)
EN7547	smart (adjective)
EN1099	lot (noun)
EN2243	chair (noun)
EN5684	party (noun)
EN2590	waste (noun)
EN5916	sheep (noun)
EN4185	bush (noun)
EN1163	(0, 0, 0) (noun)
EN1856	casino (noun)
EN5061	sad (adjective)
EN1303	asshole (noun)
EN4286	have it off (verb)
EN2098	tribe (noun)
EN781	minister (noun)
EN2247	prof. (noun)
EN4341	plug (noun)
EN444	raped (noun)
EN3675	evil (noun)
EN2353	fuck (noun)
EN3254	bottom (noun)
EN3890	mess (noun)
EN6688	pass (verb)
EN6994	bastard (adjective)
EN4418	hoe (noun)
EN1884	sissy (noun)
EN699	egg (noun)
EN7352	swipe (verb)
EN4736	ideology (noun)
EN4266	fuck (verb)
EN3142	disgusting (noun)
EN7876	🐥 (noun)
EN1055	stupid (adjective)
EN6200	white (noun)
EN2164	🐐 (noun)
EN2646	tease (noun)
EN777	advocate (noun)
EN6822	demanding (adjective)
EN802	lawyer (noun)
EN1781	vile (adjective)
EN4274	get it on (verb)
EN6402	terrorist (noun)
EN113	academia (noun)
EN2437	queen (noun)
EN4963	cheat (noun)
EN1523	brown (noun)
EN1376	rip (noun)
EN6846	comment (noun)
EN6210	hispanic (noun)
EN4381	swag (noun)
EN3468	mad (adjective)
EN1091	pack (noun)
EN1227	dog (noun)
EN6638	pray (verb)
EN5463	police man (noun)
EN8001	coffee (adjective)
EN4909	incompetent (noun)
EN916	slut (noun)
EN4272	make out (verb)
EN2072	🐶 (noun)
EN2872	ma'am (noun)
EN5199	anger (noun)
EN1762	bus (noun)
EN1782	ugly (adjective)
EN5	bay (verb)
EN3021	offense (noun)
EN6548	clowns (noun)
EN3092	criminal (adjective)
EN5896	squirt (noun)
EN966	dudes (noun)
EN7552	unable (adjective)
EN2877	dame (noun)
EN4643	painting (noun)
EN4287	have it away (verb)
EN6824	storm (verb)
EN3696	face (noun)
EN4285	know (verb)
EN516	idiot (noun)
EN6664	scam (verb)
EN812	lawyers (noun)
EN2194	tool (noun)
EN4772	monkey (noun)
EN7315	fascist (adjective)
EN420	animals (noun)
EN7290	dirty (adjective)
EN79	abuse (noun)
EN7501	middle-class (adjective)
EN4045	rage (noun)
EN6841	academic (adjective)
EN2364	what the fuck? (noun)
EN684	ball (noun)
EN861	mark (noun)
EN5483	mafia (noun)
EN4351	stealing (noun)
EN7672	proud (adjective)
EN6211	race (noun)
EN5754	puppy (noun)
EN1298	bastard (noun)
EN5461	police officers (noun)
EN4729	babe (noun)
EN8181	traitor (noun)
EN2744	hybrid (noun)
EN5478	officer (noun)
EN4383	prize (noun)
EN5786	rhetoric (noun)
EN6194	asian (noun)
EN763	trading (noun)
EN2332	fucking (noun)
EN2377	fuck! (noun)
EN7763	t word (noun)
EN3889	fix (noun)
EN7747	torture (noun)
EN3724	folk (noun)
EN1211	king (noun)
EN1789	trap (noun)
EN2857	reject (noun)
EN513	fool (noun)
EN6459	killer (noun)
EN7134	yellow (adjective)
EN6901	angry (adjective)
EN7349	hook (verb)
EN6748	potato (noun)
EN7144	red (adjective)
EN6779	raven (verb)
EN4283	jazz (verb)
EN732	savage (noun)
EN1165	black (noun)
EN7512	ordinary (adjective)
EN3422	tons (noun)
EN1494	leader (noun)
EN795	attorney (noun)
EN2198	cock (noun)
EN7412	muscle (noun)
EN3802	farmer (noun)
EN3643	ethics (noun)
EN7142	violent (adjective)
EN4889	poverty (noun)
EN5680	brutal (adjective)
EN6658	binge (verb)
EN703	greedy (adjective)
EN122	academic (noun)
EN543	ass (noun)
EN7685	terrorists (noun)
EN7055	babies (noun)
EN2783	crossed (noun)
EN1443	boring (noun)
EN5306	bathroom (noun)
EN330	aggressive (adjective)
EN4043	fury (noun)
EN3952	mason (noun)
EN1880	caste (noun)
EN2815	pussy (noun)
EN4277	bang (verb)
EN2795	rookie (noun)
EN4314	🐷 (noun)
EN2206	trouble (noun)
EN4628	homeless (noun)
EN1057	dumb (adjective)
EN3723	sept (noun)
EN6924	sharp (adjective)
EN1481	head (noun)
EN338	rubbish (noun)
EN5176	scheme (verb)
EN5454	lewd (noun)
EN8021	violent (noun)
EN402	creature (noun)
EN4946	teacher (noun)
EN1487	chief (noun)
EN2070	dogs (noun)
EN602	greed (noun)
EN2676	crew (noun)
EN5012	lazy (adjective)
EN2929	misleading (noun)
EN3925	joker (noun)
EN3223	tail (noun)
EN1907	idiots (noun)
EN367	army (noun)
EN6542	don (noun)
EN1687	volume (noun)
EN7502	silly (noun)
EN5709	baddest (noun)
EN4789	disability (noun)
EN4387	loot (noun)
EN5166	peñis (noun)
EN4733	chick (noun)
EN4918	innocent (adjective)
EN7361	steal (verb)
EN2200	devil (noun)
EN1235	pig (noun)
EN365	movement (noun)
EN3463	employee (noun)
EN2482	twink (noun)
EN2577	garbage (noun)
EN6689	go (verb)
EN7087	brown (adjective)
EN6992	stock (adjective)
EN3426	dozens (noun)
EN5682	fell (adjective)
EN98	agent (noun)
EN1862	establishment (noun)
EN3977	degree (noun)
EN6641	beg (verb)
EN6466	kill (noun)
EN4288	bed (verb)
EN3603	properly (noun)
EN3860	ray (noun)
EN306	trick (noun)
EN7396	poor (adjective)
EN1297	shit (noun)
EN7664	last man (noun)
EN5699	badly (noun)
EN4734	skirt (noun)
EN3961	the south (noun)
EN7278	different (adjective)
EN4377	steal (noun)
EN1056	silly (adjective)
EN666	nut (noun)
EN1485	director (noun)
EN2642	madness (noun)
EN6449	murders (noun)
EN6786	worship (verb)
EN5677	savage (adjective)
EN7397	pathetic (adjective)
EN453	assault (noun)
EN2376	fuckin (noun)
EN896	whore (noun)
EN7770	torture (verb)
EN6510	usual (adjective)
EN3956	quarter (noun)
EN1262	rat (noun)
EN7360	bag (verb)
EN7359	pocket (verb)
EN3686	black (adjective)
EN6610	quest (verb)
EN1078	ring (noun)
