FI61	edustaja (noun)
FI70	korkeakoulujen (noun)
FI1299	kummallinen (noun)
FI4053	drag (noun)
FI3525	kana (noun)
FI1526	kurkku (noun)
FI2525	laiska (adjective)
FI1542	hylätä (noun)
FI3293	pettää (verb)
FI719	mulkku (noun)
FI987	kopla (noun)
FI2879	planeetta (noun)
FI190	into (noun)
FI599	joukko (noun)
FI1223	apulaisprofessori (noun)
FI3800	vahva (adjective)
FI3701	likainen (adjective)
FI295	sekopää (noun)
FI3489	viisas (adjective)
FI726	kiristetään (noun)
FI2886	köyhiä (noun)
FI4029	hoax (noun)
FI710	rotta (noun)
FI3892	fiksu (adjective)
FI3136	murha (noun)
FI1049	ämmä (noun)
FI1848	moraali (noun)
FI348	ahneus (noun)
FI2922	johtaja (noun)
FI191	vauhti (noun)
FI3729	keino- (adjective)
FI1864	paha (noun)
FI949	pahis (noun)
FI578	valehdella (noun)
FI3586	dosentti (noun)
FI3393	akateeminen (adjective)
FI2322	juutalaiset (noun)
FI1512	poika (noun)
FI4045	salaliittoteoria (noun)
FI980	läpi (noun)
FI3603	nuori (adjective)
FI2202	siat (noun)
FI51	hyväksikäyttö (noun)
FI3168	tavallinen (adjective)
FI550	vale (noun)
FI3465	myrsky- (adjective)
FI2884	huono (noun)
FI2863	julma (adjective)
FI614	piiri (noun)
FI2780	poliisi (noun)
FI1454	rampa (noun)
FI3461	uhkaava (adjective)
FI2226	älykäs (adjective)
FI141	kannattaja (noun)
FI3745	sammakko (noun)
FI263	kuula (noun)
FI3205	hämmentää (verb)
FI3045	itsekäs (adjective)
FI2443	köyhyys (noun)
FI817	tylsää (noun)
FI2215	kavala (adjective)
FI1283	pupu (noun)
FI1228	professori (noun)
FI970	paha (adjective)
FI3578	yleinen (adjective)
FI2326	massat (noun)
FI2359	kota (noun)
FI880	keskiluokka (noun)
FI3352	kunnioittaa (verb)
FI727	kiristys (noun)
FI1763	kymmeniä (noun)
FI3733	fasistinen (adjective)
FI3882	poliittinen (adjective)
FI537	huijari (noun)
FI1571	huijaus (noun)
FI3051	neekeri (noun)
FI236	eläin (noun)
FI3257	seurakunnan (adjective)
FI3763	varastaa (verb)
FI3254	neuvotella (verb)
FI585	valehtelija (noun)
FI597	jengit (noun)
FI3322	kuolla (verb)
FI2357	maja (noun)
FI3605	alaikäinen (adjective)
FI1413	halu (noun)
FI1760	porter (noun)
FI500	uhri (noun)
FI1675	epämiellyttävä (noun)
FI284	hölmö (noun)
FI3681	eri (adjective)
FI2685	wc (noun)
FI1712	itse (noun)
FI2611	kateellinen (adjective)
FI3563	ruskea (adjective)
FI3488	hyvä (adjective)
FI1051	loukkaavaa (noun)
FI3806	gorilla (noun)
FI1823	rikosta (noun)
FI1225	opettaja (noun)
FI3659	ryöstö (noun)
FI3559	sokea (adjective)
FI2431	nonsense (noun)
FI3574	kiinan (adjective)
FI4068	korruptoitunut (noun)
FI1408	hinku (noun)
FI549	valhe (noun)
FI2508	lady (noun)
FI3512	vanhentunut (adjective)
FI1219	jati (noun)
FI2432	järjetön (noun)
FI3833	juutalainen (adjective)
FI714	kusipää (noun)
FI1122	heimo (noun)
FI1039	hidastaa (noun)
FI179	roska (noun)
FI2620	viha (noun)
FI3852	hulluutta (noun)
FI3584	opettajan (adjective)
FI3458	aktiivinen (adjective)
FI1264	perseen (noun)
FI337	perse (noun)
FI1187	ongelmia (noun)
FI3268	ahdistaa (verb)
FI617	poppoo (noun)
FI1962	kala (noun)
FI742	leijona (noun)
FI3513	vanhanaikainen (adjective)
FI2624	vihainen (noun)
FI2499	ilkeä (adjective)
FI2179	panna (verb)
FI2914	retoriikkaa (noun)
FI2541	väärä (adjective)
FI2329	kansa (noun)
FI1188	vastus (noun)
FI2885	köyhät (noun)
FI3482	ylimielinen (adjective)
FI2605	homo (adjective)
FI700	nyk (noun)
FI2544	valitettavaa (adjective)
FI1322	naama (noun)
FI3640	yksinäinen (adjective)
FI1656	saku (noun)
FI2166	yhtyä (verb)
FI912	määrä (noun)
FI2410	apina (noun)
FI2609	kateus (noun)
FI2435	järjetöntä (noun)
FI2862	raju (adjective)
FI3895	ruma (adjective)
FI1328	kasvot (noun)
FI2865	pahaa (adjective)
FI3626	nainen (noun)
FI2246	saalis (noun)
FI1865	pahuus (noun)
FI873	homo (noun)
FI1230	emeritusprofessori (noun)
FI1958	haju (noun)
FI971	kurja (adjective)
FI3863	typerää (adjective)
FI2185	laiton (adjective)
FI3997	crossdresser (noun)
FI3487	taitava (adjective)
FI1847	moraalin (noun)
FI3639	ulkopuolinen (adjective)
FI1266	vittu (noun)
FI2118	katsoja (noun)
FI256	älykkyys (noun)
FI2621	kiukku (noun)
FI2995	paino (noun)
FI1624	rikoksia (noun)
FI277	tyhmyys (noun)
FI386	paskaa (noun)
FI613	ryhmä (noun)
FI1415	hulluus (noun)
FI3575	toimisto- (adjective)
FI1908	paljastus (noun)
FI444	asianajaja (noun)
FI673	teollisuuden (noun)
FI1535	junto (noun)
FI1489	hybridi (noun)
FI1820	törkeästä (noun)
FI1817	hullu (adjective)
FI2424	invalidiliitto (noun)
FI4	haukkua (verb)
FI2174	maata (verb)
FI3329	peruna (noun)
FI3840	riittämätön (adjective)
FI1871	synkkä (adjective)
FI1803	työntekijä (noun)
FI3188	isä (noun)
FI902	bulgaria (noun)
FI285	idiootti (noun)
FI147	naurettava (noun)
FI171	aggressiivinen (adjective)
FI4052	kuningatar (noun)
FI2860	väkivaltainen (adjective)
FI2452	vilpitön (adjective)
FI3130	rasti (noun)
FI875	heppu (noun)
FI1929	maanviljelijä (noun)
FI1771	tonnia (noun)
FI1241	professorit (noun)
FI878	keskiluokan (noun)
FI1099	koirien (noun)
FI596	jengi (noun)
FI2476	ohjaaja (noun)
FI2546	epäonnistunut (adjective)
FI2010	virhe (noun)
FI3325	perunat (noun)
FI326	tiedä mitään (noun)
FI3151	tappaminen (noun)
FI746	moka (noun)
FI2276	köyhä (noun)
FI88	henkisesti (noun)
