id	lemma	pos	synset	synset_lemma	definition	example
IT3901	crepare	verb	Synset('omw-iwn-00358431-v')	"['decedere', 'passare a miglior vita', 'andare in cielo', 'andare al Creatore', ""andare all'altro mondo"", 'andare', 'finire', 'trapassare', 'crepare', 'schiantare', 'mancare', 'dipartirsi', 'morire']"	venir meno, morire	[]
IT335	ignorante	adjective	Synset('omw-iwn-01949740-a')	['ignorante', 'incolto']	privo di cultura	[]
IT335	ignorante	adjective	Synset('omw-iwn-01336837-a')	['asinesco', 'ignorante', 'insipiente']	mentalmente limitato	[]
IT364	buffone	noun	Synset('omw-iwn-09930876-n')	['pagliaccio', 'buffone']	chi parla o agisce da pagliaccio	[]
IT2050	criminalità	noun	Synset('omw-iwn-13991346-n')	['delittuosità', 'criminosità', 'criminalità']	l'essere criminale	[]
IT2050	criminalità	noun	Synset('omw-iwn-08245172-n')	"['organizzazione criminale', 'associazione criminale', ""criminalita' organizzata"", 'criminalità']"	associazione criminale, l'insieme dei malviventi	[]
IT115	duro	adjective	Synset('omw-iwn-00744916-a')	['arduo', 'difficile', 'duro', 'impegnativo']	che necessita di un grosso sforzo per essere compreso o trattato o superato	[]
IT115	duro	adjective	Synset('omw-iwn-01150915-a')	['duro']	detto di materiale che resiste alla pressione, al taglio, alla deformazione	[]
IT4486	sufficiente	adjective	Synset('omw-iwn-01891109-a')	['sufficiente', 'sostenuto', 'sussiegoso']	detto di chi manifesta un senso di superiorità indisponente	[]
IT1110	capo	noun	Synset('omw-iwn-01318381-n')	['capo']	un singolo individuo di animali da allevamento	[]
IT1110	capo	noun	Synset('omw-iwn-06783768-n')	['capo', 'capitolo']	la suddivisione di un testo	[]
IT1110	capo	noun	Synset('omw-iwn-06396142-n')	['capo', 'capitolo']	la suddivisione di un testo	[]
IT1110	capo	noun	Synset('omw-iwn-08663860-n')	['tetto', 'culmine', 'vertice', 'capo', 'sommo', 'sommità', 'picco', 'vetta', 'cima']	cima, sommità	[]
IT1110	capo	noun	Synset('omw-iwn-09233715-n')	['capo', 'promontorio']	striscia di terra che si proietta in mare	[]
IT1110	capo	noun	Synset('omw-iwn-05538625-n')	['capo', 'testa', 'zucca', 'chiorba', 'capoccia', 'cranio']	negli uomini e negli animali, la parte del corpo che contiene il cervello e i principali organi di senso	[]
IT1110	capo	noun	Synset('omw-iwn-03501614-n')	['capocchia', 'capo']	estremità tondeggiante di qualcosa	[]
IT1546	maschio	noun	Synset('omw-iwn-01321230-n')	['maschio']	animale maschio capace di riprodursi	[]
IT1546	maschio	noun	Synset('omw-iwn-03968293-n')	['maschio']	pezzo fatto per entrare ad incastro in un altro	[]
IT1546	maschio	noun	Synset('omw-iwn-10287213-n')	['uomo', 'maschio']	essere umano di sesso maschile	[]
IT2498	pagliaccio	noun	Synset('omw-iwn-09930876-n')	['pagliaccio', 'buffone']	chi parla o agisce da pagliaccio	[]
IT1310	ignobile	adjective	Synset('omw-iwn-01227546-a')	['infamante', 'disonorevole', 'ignobile', 'vergognoso', 'obbrobrioso']	che è causa di vergogna	[]
IT4485	sostenuto	adjective	Synset('omw-iwn-01891109-a')	['sufficiente', 'sostenuto', 'sussiegoso']	detto di chi manifesta un senso di superiorità indisponente	[]
IT1601	concorso	noun	Synset('omw-iwn-01205702-n')	['concorso']	il collaborare in qlco	[]
IT1601	concorso	noun	Synset('omw-iwn-07456188-n')	['duello', 'concorso', 'confronto', 'competizione', 'prova', 'gara']	atto, sforzo di due o più concorrenti per vincersi, superarsi a vicenda	[]
IT1963	amante	noun	Synset('omw-iwn-09622302-n')	['amoroso', 'amadore', 'innamorato', 'amante', 'amatore']	chi ama	[]
IT1963	amante	noun	Synset('omw-iwn-10077593-n')	['aficionado', 'fan', 'amatore', 'amante', 'appassionato']	chi ama qualcosa	[]
IT772	favola	noun	Synset('omw-iwn-07222581-n')	['fiaba', 'favola', 'fantasia', 'fantasticheria', 'fola']	narrazione con personaggi immaginari	[]
IT772	favola	noun	Synset('omw-iwn-06757057-n')	['bubbola', 'balla', 'favola', 'pispola', 'panzana', 'storia', 'fandonia', 'frottola']	bugia smaccata	[]
IT551	ministro	noun	Synset('omw-iwn-10320863-n')	['ministro']	Chi fa parte del governo con la responsabilità di un dicastero	[]
IT551	ministro	noun	Synset('omw-iwn-09770472-n')	['ministro']	chi cura l'amministrazione di qualcosa	[]
IT2752	roba	noun	Synset('omw-iwn-03748886-n')	['roba', 'prodotto', 'merce', 'articolo']	qualunque bene mobile, economicamente utile, destinato alla vendita	[]
IT2752	roba	noun	Synset('omw-iwn-13262335-n')	['roba']	merci clandestine o rubate	[]
IT2752	roba	noun	Synset('omw-iwn-04345288-n')	['roba']	termine generico che indica un insieme indiffrenziato di oggetti	[]
IT4350	ideologico	adjective	Synset('omw-iwn-00012932-a')	['ideologico']	dell'ideologia	[]
IT2019	delitto	noun	Synset('omw-iwn-00766234-n')	['reato', 'misfatto', 'crimine', 'delitto']	atto commesso in violazione di norme legali e morali	[]
IT3782	errore	noun	Synset('omw-iwn-06769392-n')	['sbaglio', 'fallo', 'errore']	il risultato dell'errare, la cosa sbagliata	[]
IT3154	asta	noun	Synset('omw-iwn-04270891-n')	['asta', 'lancia']	arma di offesa costituita da un'asta munita alla cima di un ferro appuntito	[]
IT3154	asta	noun	Synset('omw-iwn-03976657-n')	['stanga', 'palo', 'asta']	barra di materiale vario	[]
IT3154	asta	noun	Synset('omw-iwn-00092366-n')	['asta']	procedimento di vendita al miglior offerente	[]
IT3154	asta	noun	Synset('omw-iwn-02883004-n')	['asta', 'bompresso']	albero che sporge obliquamente oltre la prora dei velieri	[]
IT3459	stanga	noun	Synset('omw-iwn-03976657-n')	['stanga', 'palo', 'asta']	barra di materiale vario	[]
IT209	spazzatura	noun	Synset('omw-iwn-00252307-n')	['spazzatura']		[]
IT209	spazzatura	noun	Synset('omw-iwn-14857497-n')	['sporcizia', 'scarto', 'spazzatura', 'immondizia', 'pattume', 'rifiuto']	spazzatura	[]
IT1215	famiglia	noun	Synset('omw-iwn-08078020-n')	['famiglia']	i congiunti da vincoli di sangue	[]
IT1215	famiglia	noun	Synset('omw-iwn-07970721-n')	['casato', 'ascendenza', 'prosapia', 'genia', 'ceppo', 'razza', 'schiatta', 'lignaggio', 'casata', 'stirpe', 'famiglia', 'gente']	l'insieme delle famiglie con uno stesso capostipite	[]
IT1215	famiglia	noun	Synset('omw-iwn-08107499-n')	['classe', 'ordine', 'famiglia']	il complesso di piante o animali che appartengono a generi simili	[]
IT751	mercato	noun	Synset('omw-iwn-08424951-n')	['piazza', 'mercato']	il complesso dei compratori di determinati prodotti o servizi	[]
IT751	mercato	noun	Synset('omw-iwn-01097292-n')	['mercato']	attività economica, complesso delle contrattazioni svolte da venditori ed acquirenti	[]
IT151	fedele	noun	Synset('omw-iwn-09628382-n')	['fedele', 'credente', 'religioso']	chi è seguace di una fede religiosa	[]
IT245	esercito	noun	Synset('omw-iwn-08191230-n')	['armata', 'forze armate', 'esercito']	forze militari, armate	[]
IT1878	adolescente	noun	Synset('omw-iwn-09871229-n')	['teen ager', 'sbarbatello', 'scugnizzo', 'giovincello', 'giovinetto', 'adolescente', 'ragazzo']	persona in età adolescenziale	[]
IT573	difesa	noun	Synset('omw-iwn-08064523-n')	['avvocato difensore', 'difesa']	avvocato difensore	[]
IT573	difesa	noun	Synset('omw-iwn-00817680-n')	['tutela', 'difesa', 'protezione']	l'atto di proteggere	[]
IT573	difesa	noun	Synset('omw-iwn-00954311-n')	['difesa']	azione militare atta a difendere	[]
IT573	difesa	noun	Synset('omw-iwn-08081403-n')	['difesa']	nei giochi di squadra, il gruppo dei giocatori che svolgono un ruolo difensivo	[]
IT1222	manzo	noun	Synset('omw-iwn-02403231-n')	['manzo']	bovino giovane	[]
IT1222	manzo	noun	Synset('omw-iwn-07663592-n')	['manzo']	la carne di manzo	[]
IT3689	minuto	noun	Synset('omw-iwn-15234764-n')	['primo', 'minuto primo', 'minuto']	unità di misura temporale	[]
IT3689	minuto	noun	Synset('omw-iwn-05820462-n')	['minuto', 'minuzia']	cosa di poco conto	[]
IT3689	minuto	noun	Synset('omw-iwn-15244650-n')	['minuto', 'punto', 'secondo', 'istante', 'attimo', 'momento']	una porzione limitata e molto breve di tempo	[]
IT2822	popolazione	noun	Synset('omw-iwn-08223802-n')	['popolazione']	l'insieme degli abitanti di un luogo	[]
IT788	bugiardo	noun	Synset('omw-iwn-10256537-n')	['bugiardo', 'mentitore']	chi dice bugie	[]
IT3646	nero	adjective	Synset('omw-iwn-00176838-a')	['scoraggiante', 'nero', 'sconfortante']	che toglie ogni coraggio	[]
IT3646	nero	adjective	Synset('omw-iwn-00392812-a')	['nero']	che ha il colore più scuro che esiste	[]
IT3646	nero	adjective	Synset('omw-iwn-00241952-a')	['nero', 'negro']	che è caratteristico della popolazione negroide	[]
IT2606	ufficiale	noun	Synset('omw-iwn-10317007-n')	['ufficiale']	militare che ricopre un grado, da sottotenente, o da guardiamarina, in su	[]
IT2606	ufficiale	noun	Synset('omw-iwn-10372373-n')	['uficiale', 'ufiziale', 'uffiziale', 'pubblico ufficiale', 'ufficiale']	chi ricopre un pubblico ufficio	[]
IT3079	incapacità	noun	Synset('omw-iwn-05644922-n')	['incapacità', 'inabilità']		[]
IT3331	colpevole	noun	Synset('omw-iwn-10417168-n')	['responsabile', 'reo', 'colpevole']	chi ha comportamenti punibili per legge	[]
IT3151	mazza	noun	Synset('omw-iwn-02949202-n')	['mazza']	bastone da passeggio o per altri usi, spesso con grosso pomo all'estremità superiore	[]
IT3151	mazza	noun	Synset('omw-iwn-02799175-n')	['mazza']	bastone usato nel baseball	[]
IT1662	ragazzo	noun	Synset('omw-iwn-09871229-n')	['teen ager', 'sbarbatello', 'scugnizzo', 'giovincello', 'giovinetto', 'adolescente', 'ragazzo']	persona in età adolescenziale	[]
IT1662	ragazzo	noun	Synset('omw-iwn-09871364-n')	['boy', 'moroso', 'bello', 'boy-friend', 'ragazzo']	l'innamorato, il fidanzato	[]
IT4288	fascista	adjective	Synset('omw-iwn-02920769-a')	['fascista']	del fascismo	[]
IT4119	piccolo	noun	Synset('omw-iwn-01321579-n')	['cucciolo', 'piccolo']	animale giovane, nato da poco	[]
IT2972	ano	noun	Synset('omw-iwn-05538016-n')	['ano']	orifizio all'estremità terminale dell'intestino retto	[]
IT1900	patata	noun	Synset('omw-iwn-07710616-n')	['patata']	tubero della pianta omonima	[]
IT2735	ladro	noun	Synset('omw-iwn-10707804-n')	['ladro']	chi ruba	[]
IT3414	economia	noun	Synset('omw-iwn-00192613-n')	['economia', 'risparmio']	il risparmiare	[]
IT3414	economia	noun	Synset('omw-iwn-06149484-n')	['economia']	scienza che studia come impiegare i beni a disposizione	[]
IT282	stupro	noun	Synset('omw-iwn-00774107-n')	['violenza carnale', 'stupro']	crimine violento contro la persona	[]
IT282	stupro	noun	Synset('omw-iwn-00773402-n')	['violenza carnale', 'stupro']	crimine violento contro la persona	[]
IT3649	uomo	noun	Synset('omw-iwn-10287213-n')	['uomo', 'maschio']	essere umano di sesso maschile	[]
IT3649	uomo	noun	Synset('omw-iwn-10288516-n')	['uomo']	marito, compagno della donna	[]
IT3649	uomo	noun	Synset('omw-iwn-02472293-n')	['uomo']	mammifero superiore caratterizzato dalla posizione eretta, dal linguaggio articolato dal relativamente grande sviluppo del cervello e da elevate attività psichiche	[]
IT670	troia	noun	Synset('omw-iwn-10485440-n')	['donnina allegra', 'baiadera', 'donnaccia', 'donna di malaffare', 'peripatetica', 'troia', 'zoccola', 'mignotta', 'passeggiatrice', 'bagascia', 'baldracca', 'battona', 'puttana', 'meretrice', 'prostituta', 'donnina', 'squillo', 'call girl', 'donna di vita', 'donna di strada']	donna che si guadagna da vivere prostituendosi	[]
IT670	troia	noun	Synset('omw-iwn-08788887-n')	['troia', 'Ilio']		[]
IT153	complice	noun	Synset('omw-iwn-09759875-n')	['complice', 'corresponsabile', 'correo']	chi aiuta altri a commettere un delitto o un'azione disonesta	[]
IT2988	miseria	noun	Synset('omw-iwn-14493145-n')	['necessità', 'miseria', 'angustia', 'stento', 'inopia', 'indigenza', 'strettezza', 'povertà', 'ristrettezza']	povertà	[]
IT2988	miseria	noun	Synset('omw-iwn-13988663-n')	['miseria', 'infelicità']	l'essere infelice	[]
IT2988	miseria	noun	Synset('omw-iwn-12606545-n')	['miseria']	pianta erbacea sempreverde con fusto ricadente	[]
IT4152	comune	adjective	Synset('omw-iwn-00970610-a')	['comune', 'ordinario']	che non esce dalla cosuetudine, dalla norma	[]
IT4152	comune	adjective	Synset('omw-iwn-00666058-a')	['comune', 'corrente', 'diffuso']	comune, diffuso, usato abitualmente	[]
IT1772	ritrovato	noun	Synset('omw-iwn-05621178-n')	['ritrovato', 'accorgimento', 'espediente']	modo per raggiungere un fine	[]
IT1772	ritrovato	noun	Synset('omw-iwn-07068844-n')	['ritrovato', 'accorgimento', 'espediente']	modo per raggiungere un fine	[]
IT382	ignorante	noun	Synset('omw-iwn-10198958-n')	['somaro', 'ignorante', 'asino']	una persona ignorante	[]
IT3355	cosa	nostra	Synset('omw-iwn-07289831-n')	['cosa']	fatto	[]
IT3355	cosa	nostra	Synset('omw-iwn-13943968-n')	['cosa']	fatto, situazione, avvenimento	[]
IT3355	cosa	nostra	Synset('omw-iwn-00034479-n')	['cosa']	fatto, situazione, avvenimento	[]
IT3355	cosa	nostra	Synset('omw-iwn-06723908-n')	['cosa']	ogni detto	[]
IT3355	cosa	nostra	Synset('omw-iwn-00002684-n')	['oggetto', 'cosa']	oggetto materiale, concreto	[]
IT3355	cosa	nostra	Synset('omw-iwn-04486445-n')	['cosa', 'causa']	causa, scopo	[]
IT3355	cosa	nostra	Synset('omw-iwn-04617289-n')	['cosa']	qualità	[]
IT2027	crimine	noun	Synset('omw-iwn-00766234-n')	['reato', 'misfatto', 'crimine', 'delitto']	atto commesso in violazione di norme legali e morali	[]
IT1259	branco	noun	Synset('omw-iwn-08183046-n')	['branco']	gruppo di persone o cose(dispregiativo)	[]
IT3108	triste	adjective	Synset('omw-iwn-01361863-a')	['triste']	che provoca dispiacere	[]
IT3108	triste	adjective	Synset('omw-iwn-01366277-a')	['triste']	che infonde tristezza	[]
IT89	idiozia	noun	Synset('omw-iwn-05645597-n')	['idiozia', 'stupidità', 'imbecillità']	l'essere stupido, il mostrare scarsa intelligenza	[]
IT89	idiozia	noun	Synset('omw-iwn-06611998-n')	['idiozia', 'strafalcione', 'sfarfallone', 'asinata', 'asinità', 'asineria']	atto, discorso da sciocco	[]
IT60	operatore	noun	Synset('omw-iwn-13786413-n')	['operatore']	simbolo usato in matematica per indicare una certa operazione	[]
IT60	operatore	noun	Synset('omw-iwn-10378412-n')	['operatore']	chi è addetto a far funzionare macchine, impianti ecc	[]
IT60	operatore	noun	Synset('omw-iwn-10378780-n')	['operatore']	persona che lavora in un dato settore	[]
IT4662	rom	noun	Synset('omw-iwn-04058239-n')	['ROM']		[]
IT1212	mole	noun	Synset('omw-iwn-05025413-n')	['mole', 'quantità']	una grande quantità	[]
IT1212	mole	noun	Synset('omw-iwn-13724081-n')	['mole']	unità di misura del SI	[]
IT1212	mole	noun	Synset('omw-iwn-05103946-n')	['mole', 'grandezza', 'grossezza']	ampia misura	[]
IT4404	corrente	adjective	Synset('omw-iwn-00666058-a')	['comune', 'corrente', 'diffuso']	comune, diffuso, usato abitualmente	[]
IT4404	corrente	adjective	Synset('omw-iwn-02261746-a')	['fluido', 'corrente', 'scorrevole']	scorrevole, fluido, che scorre facilmente	[]
IT4105	banale	adjective	Synset('omw-iwn-01673946-a')	['banale']	che è comune, privo di originalità	[]
IT199	processo	noun	Synset('omw-iwn-00029677-n')	['processo']	svolgimento, sviluppo successivo di fatti o di fenomeni concatenati tra loro	[]
IT199	processo	noun	Synset('omw-iwn-06556692-n')	['processo']	istruzione di una causa giudiziaria	[]
IT2856	mestiere	noun	Synset('omw-iwn-00580961-n')	['faccenda', 'mestiere']	lavori domestici	[]
IT2856	mestiere	noun	Synset('omw-iwn-05638063-n')	['mestiere', 'tecnica', 'arte']	attività umana che si basa sull'abilità individuale e su un complesso di regole e conoscenze tecniche ad essa necessarie	[]
IT3904	mancare	verb	Synset('omw-iwn-00358431-v')	"['decedere', 'passare a miglior vita', 'andare in cielo', 'andare al Creatore', ""andare all'altro mondo"", 'andare', 'finire', 'trapassare', 'crepare', 'schiantare', 'mancare', 'dipartirsi', 'morire']"	venir meno, morire	[]
IT3904	mancare	verb	Synset('omw-iwn-01805523-v')	['mancare']	essere privo di qlco	[]
IT3904	mancare	verb	Synset('omw-iwn-02632353-v')	['difettare', 'mancare']	non bastare, non essere sufficiente	[]
IT3904	mancare	verb	Synset('omw-iwn-02613672-v')	['mancare']	essere assente, non esserci, essere lontano (detto di persona)	[]
IT1706	vile	noun	Synset('omw-iwn-09614047-n')	['codardo', 'vigliacco', 'vile', 'pusillanime']	persona che non ha coraggio	[]
IT4117	bambina	noun	Synset('omw-iwn-09992837-n')	['figlia', 'figliola', 'bambina']	il figlio femmina	[]
IT4117	bambina	noun	Synset('omw-iwn-10084295-n')	['bambina']	la donna nel periodo che va dalla nascita e all'inizio della fanciullezza	[]
IT1494	commesso	noun	Synset('omw-iwn-10726786-n')	['rappresentante di commercio', 'viaggiatore di commercio', 'commesso viaggiatore', 'viaggiatore', 'rappresentante', 'commesso', 'agente di commercio']	chi promuove qualcosa a nome di altri	[]
IT1494	commesso	noun	Synset('omw-iwn-09928451-n')	['commesso']		[]
IT3429	compagnia	noun	Synset('omw-iwn-08187033-n')	['troupe', 'compagnia']	Insieme di registi, attori, tecnici di uno spettacolo cinematografico o televisivo	[]
IT3429	compagnia	noun	Synset('omw-iwn-08058098-n')	['società', 'impresa', 'azienda', 'ditta', 'compagnia']	azienda	[]
IT3429	compagnia	noun	Synset('omw-iwn-08184861-n')	['brigata', 'comitiva', 'compagnia']	persone riunite per un viaggio, una gita una festa e simili	[]
IT4385	scarso	adjective	Synset('omw-iwn-02336904-a')	['esiguo', 'povero', 'scarso', 'insufficiente', 'gramo']	piccolo, scarso	[]
IT764	carne	noun	Synset('omw-iwn-05217168-n')	['carne']		[]
IT764	carne	noun	Synset('omw-iwn-07649854-n')	['carne']	carne degli animali di cui l'uomo si ciba	[]
IT764	carne	noun	Synset('omw-iwn-05268112-n')	['carne']	parte del corpo costituita dai tessuti molli	[]
IT943	ricatto	noun	Synset('omw-iwn-00784598-n')	['ricatto']		[]
IT3460	palo	noun	Synset('omw-iwn-03443149-n')	['palo']		[]
IT3460	palo	noun	Synset('omw-iwn-03976657-n')	['stanga', 'palo', 'asta']	barra di materiale vario	[]
IT3243	mix	noun	Synset('omw-iwn-14586258-n')	['mistura', 'miscellanea', 'mix', 'agglomerato', 'amalgama', 'pasticcio', 'impasto', 'mistione', 'mescola', 'melange', 'composto', 'miscela', 'misto', 'miscuglio', 'mescolanza', 'pastone']	mescolanza di due o più sostanze	[]
IT3259	bagno	noun	Synset('omw-iwn-00257770-n')	['bagno']	il bagnare o il bagnarsi	[]
IT3173	gay	adjective	Synset('omw-iwn-01201422-a')	['gay', 'omoerotico', 'omofilo', 'omosessuale']	detto di chi prova attrazione per persone dello stesso sesso	[]
IT2276	vile	adjective	Synset('omw-iwn-00264776-a')	['pusillanime', 'pavido', 'vile', 'codardo', 'vigliacco']	detto di chi manca di coraggio	[]
IT4118	bambino	noun	Synset('omw-iwn-10624074-n')	['figlio', 'figliolo', 'bambino']	il figlio maschio	[]
IT3008	bisogno	noun	Synset('omw-iwn-14449126-n')	['bisogna', 'bisogno']	mancanza di qlco	[]
IT2143	cuccia	noun	Synset('omw-iwn-03610524-n')	['cuccia']	un riparo per un cane	[]
IT1315	bocca	noun	Synset('omw-iwn-05302499-n')	['bocca']	cavità orale	[]
IT2487	ipocrita	adjective	Synset('omw-iwn-00584403-a')	['insincero', 'falso', 'igannevole', 'ipocrita', 'finto']	di persona che è falsa, ipocrita	[]
IT2072	abominio	noun	Synset('omw-iwn-14441230-n')	['obbrobrio', 'infamia', 'abominio']	condizione o azione di grande vergogna o disonore	[]
IT2857	governo	noun	Synset('omw-iwn-08050678-n')	['consiglio dei ministri', 'esecutivo', 'governo']	il governo, chi ha il potere esecutivo	[]
IT2857	governo	noun	Synset('omw-iwn-05909585-n')	['governo', 'regime', 'forma di governo']	forma di governo	[]
IT2857	governo	noun	Synset('omw-iwn-01124794-n')	['governo']	il governare in senso politico	[]
IT1609	affluenza	noun	Synset('omw-iwn-00147091-n')	['afflusso', 'affluenza']	l'affluire di persone	[]
IT1609	affluenza	noun	Synset('omw-iwn-00329227-n')	['ondata', 'onda', 'affluenza', 'afflusso']	l'affluire di liquidi o cose	[]
IT1771	arte	noun	Synset('omw-iwn-02743547-n')	['arte']	l'insieme delle cose prodotte dall'attività artistica	[]
IT1771	arte	noun	Synset('omw-iwn-05638063-n')	['mestiere', 'tecnica', 'arte']	attività umana che si basa sull'abilità individuale e su un complesso di regole e conoscenze tecniche ad essa necessarie	[]
IT2999	necessità	noun	Synset('omw-iwn-14450691-n')	['obbligazione', 'necessità']	in filosofia, qualità di ciò che non può non essere	[]
IT2999	necessità	noun	Synset('omw-iwn-14493145-n')	['necessità', 'miseria', 'angustia', 'stento', 'inopia', 'indigenza', 'strettezza', 'povertà', 'ristrettezza']	povertà	[]
IT1495	capra	noun	Synset('omw-iwn-02416964-n')	['capra']	mammifero ruminante dal pelo lungo e liscio, allevato per il latte, la carne e il vello,  ma che si trova anche allo stato selvatico nelle zone montuose	[]
IT834	giro	noun	Synset('omw-iwn-15287830-n')	['ciclo', 'giro']	intervallo, periodo di tempo durante il quale si ripresenta un certo evento o una certa sequenza di eventi	[]
IT834	giro	noun	Synset('omw-iwn-01113867-n')	['commercio', 'giro', 'traffico']	traffico di beni	[]
IT834	giro	noun	Synset('omw-iwn-00345454-n')	['volta', 'cerchio', 'giro', 'giravolta']	girare su se stessi	[]
IT834	giro	noun	Synset('omw-iwn-06495625-n')	['mondo', 'giro', 'cerchia', 'ambiente']	ambiente, cerchia, giro	[]
IT3482	ratto	noun	Synset('omw-iwn-02331046-n')	['topo di fogna', 'ratto di chiavica', 'surmulotto', 'surmolotto', 'ratto']	mammifero roditore affine al topo, ma più grande, abitatore di luoghi umidi e bui, dannoso sia per la voracità che per le malattie che può trasmettere	[]
IT4645	forza	noun	Synset('omw-iwn-11458624-n')	['Potenza', 'energia', 'forza']	capacità di un sistema di sviluppare lavoro	[]
IT4645	forza	noun	Synset('omw-iwn-05035353-n')	['solidità', 'Potenza', 'nerbo', 'possa', 'robustezza', 'gagliardia', 'vigore', 'forza']	forza, robustezza	[]
IT4645	forza	noun	Synset('omw-iwn-08404549-n')	['forza', 'contingente']	gruppo militare	[]
IT4645	forza	noun	Synset('omw-iwn-11452218-n')	['Potenza', 'energia', 'forza']	capacità di un sistema di sviluppare lavoro	[]
IT1062	ignoranza	noun	Synset('omw-iwn-04817564-n')	['incultura', 'ignoranza', 'rozzezza']		[]
IT3666	bianco	noun	Synset('omw-iwn-04960729-n')	['bianco']		[]
