ID,Lemma,POS,Synset_ID,Synset_Lemma (?),Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
EL1611,αγενής,ADJ,,"['χαμηλόφρων', 'ταπεινής σειράς', 'λαϊκός']","Άτομο χαμηλής κοινωνικής καταγωγής, χαρακτηρισμένο ως κατώτερο με μειωτική διάθεση",,username username username Σήμερα σε μία καφετέρια με σέρβιρε ένας αλλοδαπός σερβιτόρος. Δεν είχε ιδέα από σέρβις και τα Ελληνικά του ήταν τόσο φτωχά που φαινόταν αγενής. Είμαι σίγουρος ότι είχε στείλει βιογραφικό από Πακιστάν και μετά από συνέντευξη επιλέχτηκε μεταξύ πολλών άλλων για τη θέση...,,dmc,,,"['ignoble', 'base-born', 'low-born', 'plebeian']",ignoble : person of low birth,Person,1.07,0.5
EL114,αγράμματος,ADJ,,"['αμόρφωτος', 'ακαλλιέργητος', 'αναλφάβητος', 'χωριάτης']",άνθρωπος που δεν γνωρίζει ανάγνωση και γραφή ή θεωρείται πνευματικά ακαλλιέργητος,,"Πλεύρης: ""Όσοι εισέρχονται στη χώρα υποχρεούνται με ισχυρή σύσταση να κάνουν τεστ μπλα μπλα"". Τι σημαίνει ""υποχρεούνται με ισχυρή σύσταση"", ρε αγράμματοι;",,ddp,,,"['illiterate', 'uneducated', 'unschooled', 'ignorant']",person who is illiterate or seen as uneducated,Person,1.15,1.02
EL114,αγράμματος,ADJ,,"['κακογραμμένο', 'ανορθόγραφο', 'πρόχειρο', 'επιπόλαιο']","Κείμενο ή γραπτό μήνυμα γεμάτο ορθογραφικά σφάλματα ή συντακτικές αδεξιότητες, το οποίο προκαλεί ενόχληση ή δυσπιστία στον αναγνώστη.",,«…μοιάζει με ένα αγράμματο κείμενο γραμμένο από έναν μεθυσμένο μετά το ρεβεγιόν· το παρατηρεί και κάποιος άλλος;»,,ddp,,,"['ungrammatical', 'poorly written', 'error-filled', 'sloppy']",poorly written text : error-ridden piece of writing,Behavioral Trait,1.15,
EL252,άγριος,ADJ,,"['βάρβαρος', 'σκληρός', 'τραμπούκος', 'αγροίκος']","Xαρακτηρισμός για άτομο βίαιο, απρόβλεπτο ή χωρίς κοινωνικούς τρόπους",,username username Πιστεψε με ειναι λιγο αγριοι,,dmc,,,"['savage', 'rough', 'brutal', 'barbaric']","label for violent, uncivilized person",Person,0.51,0.44
EL252,άγριος,ADJ,,"['σκληρός', 'αγροίκος', 'ανήμερος', 'ωμός']","Συμπεριφορά ή κίνηση που χαρακτηρίζεται από σκληρότητα και επιθετικότητα, αγνοώντας τους αποδεκτούς κοινωνικούς τρόπους",,Πιάσε αυτή την Αράλια και μίλα της άγρια.,,dmc,,,"['ferocious', 'fierce', 'unruly', 'violent']","behaviour which is violent, unpredictable, and lacking the restraints of civilized conduct",Behavioral_Trait,0.51,0.39
EL252,άγριος,ADJ,,"['αδάμαστος', 'ελεύθερος', 'φυσικός', 'ακαλλιέργητος']","Ζώο, φυτό ή προϊόν που ζει ή αναπτύσσεται ελεύθερα στη φύση, δίχως εξημέρωση ή καλλιέργεια∙ η χρήση συχνάζει σε οικολογικά, γαστρονομικά και λαϊκά κείμενα",,Σαν άγριο μπουλντόγκ.,,dmc,,,"['wild', 'feral', 'untamed', 'natural']",wild : organism that grows or lives outside human control,Behavioral Trait,0.51,0.37
EL252,άγριος,ADJ,,"['σφοδρός', 'ορμητικός', 'βίαιος', 'ακραίος']","Φαινόμενο ή γεγονός που εκδηλώνεται με μεγάλη σφοδρότητα ή υπερβολική ένταση και ξεφεύγει από το συνηθισμένο, συχνό σε δημοσιογραφικά και μεταφορικά συμφραζόμενα",,"Όταν σε ρίξουν σ' ένα βαθύ άγριο ποτάμι και το περάσεις κολυμπώντας, με κίνδυνο εκατό φορές την ώρα να πνιγείς, στάσου στην όχθη και σφύριζε γλυκά ένα τραγουδάκι.",,dmc,,,"['fierce', 'harsh', 'violent', 'intense']",fierce : event or state marked by extreme intensity or violence,Behavioral Trait,0.51,0.47
EL257,αγριότητα,NOUN,,"['βαρβαρότητα', 'σκληρότητα', 'ωμότητα']",Kατάσταση βίαιης και απάνθρωπης συμπεριφοράς,,"Αγία Παρασκευή: 18χρονοι Ρομά χτύπησαν με αγριότητα και λήστεψαν ηλικιωμένο. Μια απ'τις πολλές καθημερινές ειδήσεις στο ελλαδιστάν!Που είναι εδω τα #metooGR ,οι πορείες κ τα συναφή?Προσέχετε,ηλικιωμένοι και μή,τι ψηφίζετε!!! #Ελλάδα #κοινωνια",,ddp,,,"['cruelty', 'barbarity', 'brutality']","condition of cruel, inhuman behavior",Behavioral Trait,0.49,1.24
EL257,αγριότητα,NOUN,,"['ωμότητα', 'κακοποίηση', 'θηριωδία']",Συγκεκριμένη πράξη βίας ή βαρβαρότητας,,Πιπιλή: Να θυμηθούμε τι γινόταν με τις αγριότητες του ΣΥΡΙΖΑ του 4%,,ddp,,,"['atrocity', 'outrage', 'savagery']",particular act of violence or brutality,Event,0.49,0.59
EL253,αγροίκος,NOUN,,"['χωριάτης', 'χοντροκομμένος', 'ακατέργαστος', 'άξεστος']","Άτομο αγενές, χωρίς τρόπους και κοινωνική λεπτότητα",,"Εδώ έκαναν ήρωα τον θρασύδειλο γιο της Ντίνας της κουφής που σκότωνε κόσμο χωρίς λόγο πισώπλατα, δεν θα θα αποθέωναν έναν αγροικο τύποις γιατρο που προτείνει στους ασθενείς φάρμακα για άλογα; #mpeee",,ddp,,,"['boor', 'lout', 'uncouth person', 'churl']","boorish, uncouth person",Person,1.06,0.8
EL253,αγροίκος,NOUN,,"['άξεστη συμπεριφορά', 'αγενές φέρσιμο', 'χοντροκοπιά', 'τραχύτητα']",Λόγος ή πράξη χωρίς λεπτότητα και χωρίς σεβασμό στους κανόνες ευγένειας,,«Η αγροίκα συμπεριφορά της δυσκόλεψε την απόλαυση του φαγητού.»,,ddp,,,"['boorishness', 'rudeness', 'crudeness', 'roughness']",boorish behaviour : coarse act lacking manners,Behavioral Trait,1.06,
EL877,αγυρτεία,NOUN,,"['απατεωνιά', 'μαϊμουδιά', 'λαμογιά', 'κομπίνα']",Συνεχής άσκηση εξαπάτησης με ψεύτικες υποσχέσεις ή τεχνάσματα,,"Εισοδηματίες, κεφαλαιούχοι - επενδυτές. Αστοί με τίτλους αγυρτίας, ηθικολόγοι υποκριτές. Μεταμφιεσμένοι παρθένες της εγκράτειας, απατεώνες..",,ddp,,,"['charlatanism', 'fraud', 'scam', 'trickery']",habitual practice of fraud and trickery,Repetitive_Action,1.01,1.31
EL871,αγύρτης,NOUN,,"['απατεώνας', 'κομπογιαννίτης', 'μαϊμού', 'λαμόγιο']",Άτομο που εξαπατά άλλους προσποιούμενο ειδικές γνώσεις ή δυνάμεις,,"Προσοχή στους αγύρτες και τους ψευδοπροφήτες που παρασύρουν τους πιστούς, προειδοποιεί η Εκκλησία της Ελλάδος",,cds,,,"['charlatan', 'fraudster', 'quack', 'con artist']",person who deceives by posing as expert or healer,Person,1.07,1.09
EL836,αδερφή,NOUN,,"['μοναχή', 'καλόγρια']",Γυναίκα που έχει αφιερωθεί σε μοναχικό βίο σε χριστιανικό τάγμα,,"«Η αδερφή μου, είναι μοναχή. Είναι μια αντάρτισσα…»",,om,,,"['nun', 'sister (religious)', 'monastic']",nun : woman living under religious vows,Person,0.43,
EL836,αδερφή,NOUN,,"['πούστης', 'γκέι', 'λουλού', 'τρελλή']",Υβριστικός όρος που χρησιμοποιείται για ομοφυλόφιλο άνδρα,,"Η συζήτηση δεν συνεχίστηκε, διότι η δίκιά μου θα έβγαλε το συμπέρασμα ότι ή ήμουν απένταρος ή αδερφή.",,om,,,"['faggot', 'queer', 'gay man (slur)', 'poof']",slur for a homosexual man,Person,0.43,1.15
EL1158,αδηφαγία,NOUN,,"['λαιμαργία', 'καταβροχθισμός', 'φαγοπότι']",Έξη υπερβολικής κατανάλωσης φαγητού χωρίς μέτρο,,"Πήγαν τα ρεμάλια και δώσανε 130 εκ για να φτιάξουν το φωτοβολταῑκό στην Κοζάνη, μια περιοχή με 20% ηλιοφάνεια τον χρόνο, αντί να το φτιάξουν στην Πελοπόννησο ή στην Κρήτη. Το αντίστοιχο στην Ισπανία στοίχισε 40. Δεν έχει πάτο η αδηφαγία τους #κυβερνηση_συμμορια",,svp,,,"['gluttony', 'voracity', 'overeating']",habit of excessive food consumption,Repetitive_Action,0.49,1.24
EL2258,αδηφάγος,ADJ,,"['λαιμάργος', 'φαγάς', 'καταβροχθιστής']",Άνθρωπος που τρώει υπερβολικά και λαίμαργα,,Δεν άντεξαν άλλο οι αχυρόμπαλες και τρέχουν να ξεφύγουν από τα αδηφάγα γιδοψηφοφόρια Μπεεεεε ???????????????????? #τι_ψηφισατε_ρε_γιδοψηφοφοροι #ΝΔ_ΑΠΑΤΕΩΝΕΣ #ΝΔ_ΠΡΟΔΟΤΕΣ #θα_τα_πούμε_στην_καλπη???? #λαθρομεταναστες #λαθροεισβολεις #ξέφραγο_αμπέλι #Αντικατασταση_Πληθυσμων #απελασεις_τωρα,,svp,,,"['glutton', 'voracious eater', 'hog']",person who eats excessively and greedily,Person,1.09,1.33
EL2258,αδηφάγος,ADJ,,"['αρπακτικός', 'ανεξέλεγκτα άπληστος', 'αχόρταγος']","Ιδιότητα οργανισμών ή αφηρημένων οντοτήτων που απορροφούν πόρους αδιάκοπα, προκαλώντας φθορά ή κοινωνική ζημιά.",,«Το αδηφάγο τέρας της γραφειοκρατίας.»,,svp,,,"['rapacious', 'predatory', 'insatiable', 'devouring']",rapacious : entity consuming resources insatiably,Behavioral Trait,1.09,
EL1378,αδιάκριτος,ADJ,,"['περίεργος', 'παρεμβατικός', 'κουτσομπόλης']","Άτομο που εισβάλλει σε ξένες υποθέσεις και ρωτά ό,τι δεν το αφορά",,username δεν είμαι τόσο αδιακριτη...:),,qas,,,"['nosy', 'prying', 'meddlesome', 'intrusive']",person who pries into matters that are not his,Person,0.46,0.4
EL1378,αδιάκριτος,ADJ,,"['παρεμβατικός', 'ενοχλητικός', 'άκομψος', 'αμήχανος']","Ερώτηση, βλέμμα ή επίσκεψη που παραβιάζει προσωπικά όρια και θεωρείται αγενής στον δημόσιο ή οικογενειακό λόγο",,"Ποτε θα σταματησετε να ρωτατε (αδιακριτα) ζευγαρια ""ποτε θα κανετε παιδια, τι περιμενετε?""... Καποιους τους πληγωνετε πολυ!!",,qas,,,"['intrusive', 'prying', 'personal', 'impertinent']",intrusive : remark or act invading someone’s privacy,Behavioral Trait,0.46,0.46
EL1378,αδιάκριτος,ADJ,,"['αλόγιστος', 'τυφλός', 'γενικευμένος', 'ακατάσχετος']","Δράση ή επίθεση που πλήττει αλόγιστα, χωρίς στόχευση σε στρατιωτικούς στόχους και συχνά καταγγέλλεται ως παραβίαση ανθρωπίνου δικαίο",,Η συλλογή μεταδεδομένων από την NSA είναι πιο αδιάκριτη από τις παραδοσιακές υποκλοπές,,qas,,,"['indiscriminate', 'wholesale', 'blanket', 'random']",indiscriminate : action carried out without distinction among targets,Behavioral Trait,0.46,0.58
EL1649,αδιαλλαξία,NOUN,,"['ακαμψία', 'στενοκεφαλιά', 'δογματισμός', 'ανελαστικότητα']",Σταθερή άρνηση συμβιβασμού ή αποδοχής άλλης άποψης,,"«Πολιτική αδιαλλαξίας, πολιτική των άκρων.»",,svp,,,"['intransigence', 'rigidity', 'dogmatism', 'stubbornness']",persistent refusal to compromise,Behavioral_Trait,0.48,
EL1649,αδιαλλαξία,NOUN,,"['πείσματα', 'ακαμψίες', 'εμμονές', 'μισαλλοδοξίες']","Συγκεκριμένες πράξεις άκαμπτης άρνησης, που φανερώνουν πείσμα και οδηγούν σε αδιέξοδο",,Α.Δημητριάδης: «Η απραξία της κυβέρνησης έφερε το Βαρώσι στο πιάτο της αδιαλλαξίας της Τουρκίας»,,svp,,,"['obstinate acts', 'hard-line moves', 'deadlocks', 'stalemates']",acts of intransigence : uncompromising deeds,Event,0.48,0.54
EL13,αδιαφορία,NOUN,,"['απάθεια', 'νιρβάνα', 'ψυχρότητα', 'ανενδοίαστη στάση']",Στάση ανθρώπου ή φορέα που δεν ανταποκρίνεται σε όσα συμβαίνουν γύρω του και αποφεύγει να αναλάβει οποιαδήποτε ευθύνη,,"«Θα μου πείτε, επιτέλους, τι σημαίνουν όλα αυτά; Η σιωπή και η αδιαφορία μου της έχουν σπάσει τα νεύρα και φωνάζει.",,svp,,,"['indifference', 'apathy', 'detachment', 'unconcern']",indifference : lack of concern or care,State,0.34,0.4
EL1047,αδίκημα,NOUN,,"['παράβαση', 'έγκλημα', 'αξιόποινη πράξη', 'παρανομία']",Πράξη που παραβιάζει τον νόμο και επισύρει ποινή,,username Πες μα ρε ερευνητικέ δημοσιοκαφρε για ποια αδικήματα τον καταζητούσε η Ιντερπόλ.,,cds,,,"['offense', 'crime', 'violation', 'unlawful act']",act that breaches the law and is punishable,Event,0.43,1.16
EL1165,αδικοπραξία,NOUN,,"['αδίκημα', 'παρανομία', 'παρέκκλιση']",παράνομη ενέργεια που προκαλεί ζημιά σε άλλον,,«…η αδικοπραξία του οδηγού του ζημιογόνου οχήματος εξακολούθησε να έχει γι’ αυτόν επιζήμιες συνέπειες…»,,re,,,"['offense', 'misconduct', 'tort']",wrongful act causing harm to another,Event,0.52,
EL1215,αδράνεια,NOUN,,"['απραξία', 'νάρκη', 'ακινησία', 'ραθυμία']",κατάσταση έλλειψης δράσης ή αντίδρασης,,Δεν υπάρχει τίποτα χειρότερο από την αδράνεια της αναμονής όταν ασχολείσαι με μια υπόθεση.,,svp,,,"['inertia', 'idleness', 'stillness', 'apathy']",state of inactivity or lack of response,State,0.16,0.23
EL1585,αδυσώπητος,ADJ,,"['ανελέητος', 'αμείλικτος', 'αμνησικέρδος', 'σκληρός']","Άτομο χωρίς έλεος που δεν κάνει καμία υποχώρηση, επιδεικνύοντας σκληρότητα απέναντι σε άλλους",,username εσύ την 'έδωσες στεγνά?' Αδυσώπητος ο τουιτερόκοσμος!...,,an,,,"['ruthless', 'merciless', 'relentless', 'pitiless']",ruthless person : merciless and relentless,Person,1.02,1.03
EL1585,αδυσώπητος,ADJ,,"['ανελέητος', 'αμείλικτος', 'αμειδής', 'αδιάλλακτος']","Ιδιότητα φαινομένου ή δύναμης που δρα αμείλικτα, χωρίς δυνατότητα αναστολής",,username Η πραγματικότητα είναι αδυσώπητη με η χωρίς μνημόνιο η Ελλάδα θα πρέπει να μηδενίσει το έλλειμμα και να κάνει μεταρρυθμίσεις.,,an,,,"['relentless', 'unrelenting', 'inexorable', 'implacable']",relentless force : harsh and unstoppable,Behavioral_Trait,1.02,0.42
EL1563,αερολόγημα,NOUN,,"['κενόλογο', 'μπούρδα', 'παραμύθι']","Κούφια, αβάσιμη δήλωση χωρίς περιεχόμενο ή αποδείξεις, η οποία εκφέρεται για εντυπωσιασμό",,"«…είτε είναι ένα αερολόγημα κενό περιεχομένου είτε κάτι εύστροφο, το Facebook μας έδωσε βήμα να το ποστάρουμε»",,ddp,,,"['nonsense', 'hot air', 'empty talk']",empty statement lacking substance,Event,0.44,
EL2215,αερολογία,NOUN,,"['φλυαρία', 'παραθεωρία', 'μπούρδες', 'μπλαμπλα']","Λόγος χωρίς αποδείξεις ή ουσία, που εκφέρεται για εντυπωσιασμό και θεωρείται κενός",,"Slum Dunk μεγαλύτερες αερολογίες απο το τελευταίο δεν έχω δει στη ζωή μου, έλα Χριστέ και Κύριε , αφιέρωσα 3 λεπτά απο τη ζωή μου έτσι ... #paobc #sdna #slumdunk",,pr,,,"['blather', 'windbaggery', 'prattle', 'babble']",habitual idle talk without substance,Event,0.41,0.59
EL1071,αηδία,NOUN,,"['αποστροφή', 'απέχθεια', 'σιχασιά', 'βδελυγμία']",έντονο συναίσθημα αποστροφής και αποφοράς,,"Βγάζω από το συρτάρι μου δυο ασπιρίνες και τις καταπίνω με τον παγωμένο καφέ, που μου φέρνει αηδία.",,svp,,,"['disgust', 'revulsion', 'loathing', 'nausea']",strong feeling of disgust and revulsion,State,1.02,0.43
EL1071,αηδία,NOUN,,"['σιχαμάρα', 'αηδιαστικός τύπος', 'βδέλυγμα']",Προσβλητικός χαρακτηρισμός για άτομο που προκαλεί έντονη αποστροφή,,Ζηλιαρης μέχρι αηδία! #survivorGR #sixamenios,,svp,,,"['disgusting person', 'eyesore', 'creep']",disgusting person : someone that evokes revulsion,Person,1.02,0.54
EL1071,αηδία,NOUN,,"['αίσχος', 'σιχαμάρα', 'χάλι', 'βδέλυγμα']","Υλικό ή άυλο πράγμα που προκαλεί έντονη αποστροφή ή θεωρείται εξαιρετικά άσχημο από τον ομιλητή, συνήθως σε οικείο-επικριτικό ύφος",,τι αηδιες ειν' αυτες που λες.,,svp,,,"['disgusting thing', 'abomination', 'atrocity', 'gross stuff']",disgusting thing : something that evokes revulsion,Behavioral_Trait,1.02,0.6
EL1411,αθέμιτος,ADJ,,"['παράνομος', 'ανήθικος', 'απερίτρεπτος', 'υπόγειος']",χαρακτηρισμός πράξης που παραβιάζει ηθικούς ή νομικούς κανόνες,,Έγινε τέτοια δημοσκόπηση και δε βρέθηκε ένας πολίτης σ αυτή τη χώρα να μυνησει το κανάλι για προσβολή νεκρού και για αθέμιτη αποκόμμιση κέρδους?,,cds,,,"['illicit', 'unfair', 'unlawful', 'underhand']",quality of an act that violates moral or legal rules,Behavioral_Trait,0.51,0.47
EL2464,άθλιος,ADJ,,"['παλιάνθρωπος', 'ελεεινός', 'κάθαρμα']","Άτομο με εξαιρετικά κακή ή ανάλγητη συμπεριφορά, που προκαλεί αποδοκιμασία",,username ίυου ούτε να γράψω το όνομά του του άθλιου,,cds,,,"['wretched', 'lousy', 'miserable', 'pathetic']",derogatory term for someone with very poor quality or morals,Person,0.49,1.02
EL2464,άθλιος,ADJ,,"['χάλι', 'σκουπίδι', 'χρεπάκι']","Πράγμα (φαγητό, έργο, προϊόν) τόσο κακό που γεννά αποστροφή",,Γι' αυτό κρατήστε τις άθλιες απόψεις σας για τον εαυτό σας κι αφήστε τους ανθρώπους να είναι όπως είναι. Και να τους σέβεστε για την ψυχή τους και όχι για το σώμα τους. Όσο χοντρό ή αδύνατο να είναι.,,cds,,,"['lousy stuff', 'trash', 'dud']",awful thing,Object,0.49,0.54
EL2464,άθλιος,ADJ,,"['εξαθλίωση', 'μιζέρια', 'κατάντια']","Συνθήκη μεγάλης κακοδαιμονίας ή υποβάθμισης· περιγράφει επίπεδο ζωής, χώρων ή οργανισμών.",,E-Radio.gr Blog Ηγουμενίτσα: Δικαστήριο αθώωσε δραπέτες λόγω άθλιων συνθηκών κράτησης,,cds,,,"['wretchedness', 'squalor']",miserable state,State,0.49,0.43
EL1,αθλιότητα,NOUN,,"['εξαθλίωση', 'ένδεια', 'κακομοιριά', 'βρωμιά']",κατάσταση μεγάλης εξαθλίωσης ή ηθικής κατάπτωσης,,Γνωστός και ως «ο άγιος των ελληνικών γραμμάτων»… Με ζωή σε… κατάσταση αθλιότητας,,dmc,,,"['squalor', 'wretchedness', 'misery', 'degeneracy']",condition of extreme squalor or moral decline,State,1.02,0.36
EL1,αθλιότητα,NOUN,,"['ελεεινότητα', 'απρέπεια', 'χαμέρπεια']",Έλλειψη αξιοπρέπειας που χαρακτηρίζει λόγους ή συμπεριφορές,,"Πώς μπορούσα... Ύστερα από πολλές ώρες, έτσι για κόντρα, στην αθλιότητα που μ' έδερνε, πήρα τηλέφωνο τη Βιργινία.",,dmc,,,"['vileness', 'baseness']",vileness : moral baseness,Behavioral_Trait,1.02,0.55
EL1,αθλιότητα,NOUN,,"['αίσχος', 'ντροπή', 'κατακραυγή']",επαίσχυντη πράξη ή λόγος που προσβάλλει,,Τσίπρας: Σταματήστε τις αθλιότητες και τα fake news Ζητάει δηλαδή από τους γκεμπελιστες να σταματήσουν να τον λασπολογουν ενώ είναι το πλέον επιτυχημένο όπλο που έφερε τον Μητσοτάκη αυτοδύναμο στην εξουσία,,dmc,,,"['outrage', 'disgrace', 'shame']",shameful act or utterance that offends,Event,1.02,0.58
EL2113,αισχροκερδής,ADJ,,"['κερδοσκόπος', 'μαυραγορίτης', 'πλεονέκτης', 'αρπακτικό']",άτομο που επιδιώκει κέρδος με ανήθικο τρόπο,,"«Ο επίσκοπος πρέπει να είναι νηφάλιος, επιεικής, όχι αισχροκερδής»",,an,,,"['profiteer', 'racketeer', 'greedy', 'predatory']",person seeking profit through immoral means,Person,0.7,
EL2113,αισχροκερδής,ADJ,,"['καταπλεονεκτικός', 'άδικος', 'ληστρικός']",Πρακτική ή σύμβαση που εξασφαλίζει υπερβολικό κέρδος μέσω δόλιας υπερχρέωσης,,«Σήμερα οι ανακοινώσεις από Μητσοτάκη για τις αισχροκερδείς χρεώσεις των τραπεζών»,,an,,,"['predatory pricing', 'gouging']",exploitative practice,Behavioral_Trait,0.7,
EL613,αιχμάλωτος,NOUN,,"['όμηρος', 'κρατούμενος', 'σκλάβος', 'φυλακισμένος']","άνθρωπος που κρατείται παρά τη θέλησή του, συνήθως σε πόλεμο ή κάποιος που νιώθει δεσμευμένος, υποδουλωμένος σε έντονο συναίσθημα",,"username Ε καλά, πώς κάνεις έτσι; Ο δικός σου ρε σφεντόνα κρατούσε αιχμαλώτους 11 εκατομμύρια πολίτες 5+ μήνες, όσο αυτός ψωλοκοπάναγε Ικαρίες, Πάρνηθες κλπ, κ στο τέλος, τους εγκατέλειψε κ σε ναρκοπέδιο, για να βρουν τον δρόμο μόνοι τους.",,ddp,,,"['captive', 'prisoner', 'hostage', 'detainee']","person held against their will, usually in war",Person,0.31,1.25
EL55,ακαδημαϊσμός,NOUN,,"['σχολαστικισμός', 'ξερόλας', 'διανόηση', 'περίπλοκος λόγος']",λογοτεχνικό ή επιστημονικό ύφος υπερβολικά θεωρητικό και αποξενωμένο από την πράξη,,«Τα Ονειρικά Τραγούδια: Αποθεσμοποίηση και μεταφραστικός ακαδημαϊσμός»,,pa,,,"['academic pedantry', 'scholasticism', 'bookishness', 'highbrow style']",overly theoretical academic style detached from practice,Behavioral_Trait,0.26,
