Word,POS,Stereotype,Tag,Synset,Source,Glossa,Glossa EN,Lingua Glossa,Simona,Komal,Commenti Simona,Commenti Komal,Disagreement 3-0,Disagreement 1/2-0,agreement,Viviana,Valerio
abulia,n,no,svp,bn:00035117n,OMWN_IT,Inactivity; showing an unusual lack of energy,Inactivity; showing an unusual lack of energy,en,2,2,,,FALSE,FALSE,TRUE,,
abulia,n,no,svp,bn:00004840n,IWN,"L'essere distaccato e indifferente.// L'essere distaccato e indifferente// L'apatia è una riduzione dei comportamenti finalizzati, dovuto ad un problema di espressione della motivazione.// Stato di indifferenza verso il mondo circostante// Riduzione dei comportamenti finalizzati, dovuta a mancanza di motivazione// Mancanza di interesse.// Il tratto di mancare di entusiasmo per o interesse per le cose in generale.",The trait of lacking enthusiasm for or interest in things generally,it,2,2,,,FALSE,FALSE,TRUE,,
abulico,n,no,svp,bn:00000377n,OMWN_IT,L'abulia // Perdita di forza di volontà.,A loss of will power,it,2,2,,,FALSE,FALSE,TRUE,,
abulico,n,no,svp,bn:16802308n,WIKI,"Gli Abulico sono un gruppo musicale indie rock italiano, formatosi a Napoli nel giugno 2005.// Gruppo musicale italiano",Italien rock-band,it,0,0,,,FALSE,FALSE,TRUE,,
abulico,a,no,svp,bn:00096172a,OMWN_IT,Che è affetto da abulia.// Che è affetto da abulia,Suffering from abulia; showing abnormal inability to act or make decisions,it,3,3,,,FALSE,FALSE,TRUE,,
accolito,n,no,qas,bn:00000951n,OMWN_IT,"L'Accòlito è un ministro della liturgia in alcune Chiese cristiane: nella Chiesa cattolica, nelle Chiese luterane, nella Chiesa anglicana e in alcune Chiese metodiste.",Someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches,it,0,1,,,FALSE,FALSE,FALSE,,1
abuso,n,no,re,bn:00000520n,IWN,Comportamento umano// Uso o trattamento improprio o eccessivo (ad es. bevande alcoliche); utilizzo per uno scopo imprevisto o sbagliato (ad es. fondi pubblici).,Cruel or inhumane treatment,it,2,2,"potrebbe riferirsi a infamazione, polemica, critica...",,FALSE,FALSE,TRUE,,
abuso,n,no,re,bn:00000522n,IWN,Uso eccessivo,Improper or excessive use,it,2,2,,,FALSE,FALSE,TRUE,,
saltimbanco,n,no,cds,bn:00001032n,OMWN_IT,"Atleta che realizza numeri che richiedono abilità, agilità e coordinazione.",An athlete who performs acts requiring skill and agility and coordination,it,0,1,,,,,FALSE,,0
prosseneta,n,no,cds,bn:00001975n,OMWN_IT,"Chi fa speculazioni sui titoli di borsa.// Chi fa speculazioni sui titoli di borsa// In economia, un intermediario è una persona o un gruppo di persone che organizza le transazioni tra un acquirente e un venditore, guadagnando una commissione quando viene concluso l'affare.// Persona o gruppo di persone che organizza le transazioni tra un acquirente e un venditore",A businessman who buys or sells for another in exchange for a commission,it,1,0,"by treccani: mezzano, ruffiano","forse in passato poteva essere classificato come 1, ma nell'Italiano corrente direi 0. Non sapevo nemmeno esistesse questo termine!",,,FALSE,,1
accademia,n,yes,pa,bn:00000569n,OMWN_IT,Scuola o luogo di formazione in cui viene insegnata qualche arte.,A school for special training,it,0,0,,,FALSE,FALSE,TRUE,,
accademia,n,yes,pa,bn:00000567n,OMWN_IT,Istituto di insegnamento superiore,A secondary school (usually private),it,1,1,,,FALSE,FALSE,TRUE,,
accademia,n,yes,pa,bn:15534320n,WIKITR,Academy schools are state funded schools in England which are directly funded by central government and independent of direct control by the local authority.,Academy schools are state funded schools in England which are directly funded by central government and independent of direct control by the local authority.,en,0,0,,,FALSE,FALSE,TRUE,,
divulgazione,n,no,qas,bn:00002293n,OMWN_IT,The opening of a subject to widespread discussion and debate,The opening of a subject to widespread discussion and debate,en,1,0,divulgare senza fondamenti,,,,FALSE,,0
accademia,n,yes,pa,bn:00000568n,OMWN_IT,"Società per la difesa dei beni culturali e lo studio delle lettere.// Società per la difesa dei beni culturali e lo studio delle lettere// Un'accademia è un'istituzione destinata agli studi più raffinati e all'approfondimento delle conoscenze di più alto livello.// Istituzione destinata agli studi e all''approfondimento delle conoscenze di più alto livello// Istituzione di istruzione superiore e di ricerca, che conferisce titoli accedemici.",An institution for the advancement of art or science or literature,it,0,0,,,FALSE,FALSE,TRUE,,
dilettante,n,no,qas,bn:00003233n,OMWN_IT,"Sportivo non professionista// Il termine dilettante indica, in senso lato, chi svolge un'attività per diletto e senza scopo di lucro oppure senza una specifica competenza.// Chi svolge un''attività per diletto e senza scopo di lucro oppure senza una specifica competenza",An athlete who does not play for pay,it,0,1,,,,,FALSE,,0
accademia,n,yes,pa,bn:00000550n,WIKIDATA,Comunità di studenti e studiosi impegnati nel campo dell''istruzione superiore e della ricerca,The academic world,it,1,1,,,FALSE,FALSE,TRUE,,
accademia,n,yes,pa,bn:15045093n,WIKI,"Gli Accademia sono stati un gruppo musicale italiano attivo negli anni ottanta, che suonava un misto di musica classica e technopop.// Gruppo musicale italiano",,it,0,0,,,FALSE,FALSE,TRUE,,
accademicheggiare,v,yes,pa,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
accademicismo,n,yes,pa,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
accademico,n,yes,pa,bn:00000551n,OMWN_IT,Professore che insegna all'università// Staff accademico,An educator who works at a college or university,it,1,1,,,FALSE,FALSE,TRUE,,
accademico,n,yes,pa,bn:00000568n,IWN,"Società per la difesa dei beni culturali e lo studio delle lettere.// Società per la difesa dei beni culturali e lo studio delle lettere// Un'accademia è un'istituzione destinata agli studi più raffinati e all'approfondimento delle conoscenze di più alto livello.// Istituzione destinata agli studi e all''approfondimento delle conoscenze di più alto livello// Istituzione di istruzione superiore e di ricerca, che conferisce titoli accedemici.",An institution for the advancement of art or science or literature,it,0,0,,,FALSE,FALSE,TRUE,,
accademico,a,yes,pa,bn:00096228a,OMWN_IT,Associated with academia or an academy,Associated with academia or an academy,en,0,0,,,FALSE,FALSE,TRUE,,
accademico,a,yes,pa,bn:00111806a,IWN,"Che riguarda la teoria.// Che riguarda la teoria// Relativo a teorie o ipotesi, piuttosto che a questioni pratiche.// Che si riferisce principalmente a teorie o ipotesi, piuttosto che a considerazioni di ordine pratico.",Concerned primarily with theories or hypotheses rather than practical considerations,it,1,1,,,FALSE,FALSE,TRUE,,
dilettantismo,n,no,qas,bn:00003234n,OMWN_IT,Something that demonstrates a lack of professional competency,Something that demonstrates a lack of professional competency,en,3,1,,,,,FALSE,,3
accademico,n,yes,pa,bn:00000563n,OMWN_IT,Membro di un''accademia,Someone elected to honorary membership in an academy,it,1,1,,,FALSE,FALSE,TRUE,,
accademico,n,yes,pa,bn:00000550n,WIKIDATA,Comunità di studenti e studiosi impegnati nel campo dell''istruzione superiore e della ricerca,The academic world,it,1,1,,,FALSE,FALSE,TRUE,,
imbecillità,n,yes,ddp,bn:00003338n,WIKIDATA,Il ritardo mentale o insufficienza mentale è una malattia cognitiva persistente data da un alterato funzionamento del sistema nervoso centrale.// Una malattia cognitiva persistente data da un alterato funzionamento del sistema nervoso centrale.// Malattia,Extreme mental retardation,it,1,3,,,,,FALSE,,1
accademismo,n,yes,pa,bn:00000566n,OMWN_IT,Orthodoxy of a scholastic variety,Orthodoxy of a scholastic variety,en,1,1,,,FALSE,FALSE,TRUE,,
bisonte,n,no,an,bn:00003357n,WIKI,"Il bisonte americano è un mammifero artiodattilo della famiglia dei Bovidi.// Specie di animale della famiglia Bovidae// Pesante bisonte selvaggio della specie Bison bisonte, con un'ampia e massiccia testa cornuta.",Large shaggy-haired brown bison of North American plains,it,1,0,,,FALSE,TRUE,FALSE,,1
bufalo,n,no,an,bn:00003357n,WIKI,"Il bisonte americano è un mammifero artiodattilo della famiglia dei Bovidi.// Specie di animale della famiglia Bovidae// Pesante bisonte selvaggio della specie Bison bisonte, con un'ampia e massiccia testa cornuta.",Large shaggy-haired brown bison of North American plains,it,1,0,,,FALSE,TRUE,FALSE,,1
presunzione,n,no,cds,bn:00003605n,OMWN_IT,Feelings of excessive pride,Feelings of excessive pride,en,2,3,,,,,FALSE,,3
accanito,a,no,an,bn:00107697a,OMWN_IT,Caratteristico di chi persegue la propria meta senza esitazione// Fermo e deciso nelle idee e nelle azioni,Tenaciously unwilling or marked by tenacious unwillingness to yield,it,1,1,,,FALSE,FALSE,TRUE,,
vanità,n,no,svp,bn:00003605n,OMWN_IT,Feelings of excessive pride,Feelings of excessive pride,en,2,3,,,,,FALSE,,3
acchiappaturisti,n,no,qas,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
accidia,n,no,svp,bn:00072218n,OMWN_IT,A disinclination to work or exert yourself,A disinclination to work or exert yourself,en,2,2,,,FALSE,FALSE,TRUE,,
sodomita,n,no,om,bn:00003771n,IWN,"Rapporto sessuale anale.// Rapporto sessuale anale// Sodomia è un termine di origine religiosa per caratterizzare alcuni atti sessuali: la parola deriva dalla storia di Sodoma e Gomorra raccontata nei capitoli 8-19 del libro della Genesi nella Bibbia.// Il sesso anale è una particolare pratica sessuale che consiste nell'inserzione in ano o retto, del pene o di altre parti anatomiche o di oggetti.// Pratica sessuale// Forma di comportamento sessuale umano in cui il pene eretto viene inserito nel retto attraverso l'ano.","Intercourse via the anus, committed by a man with a man or woman",it,1,3,,,,,FALSE,,1
accidia,n,no,svp,bn:00046530n,OMWN_IT,"L'essere indolente.// L'essere indolente// Stato di inoperosità, di abbandono fisico e mentale, mancanza di iniziativa e di intraprendenza.",Inactivity resulting from a dislike of work,it,2,2,,,FALSE,FALSE,TRUE,,
umanoide,n,yes,ddp,bn:00004003n,OMWN_IT,"L'androide è un essere artificiale, un robot, con sembianze umane, presente soprattutto nell'immaginario fantascientifico.// È detto umanoide un qualsiasi oggetto o essere vivente con una forma analoga a quella dell'essere umano.// Essere artificiale con sembianze umane// Robot molto simile all'umano.",An automaton that resembles a human being,it,1,0,,,,,FALSE,,0
accidioso,n,no,svp,bn:00072243n,IWN,Persona moralmente debole e fiacca.// Persona moralmente debole e fiacca,An idle slothful person,it,3,3,in dante è usato in termini dispregiativi,,FALSE,FALSE,TRUE,,
accolito,n,no,qas,bn:00035629n,IWN,"Seguace del sansimonismo.// Seguace del sansimonismo// I Seguaci furono i musulmani della generazione successiva a quella del profeta dell'Islam Muhammad, che non ebbero pertanto modo di frequentarlo, se non fuggevolmente, come invece avevano potuto fare i Compagni che, di fatto, furono i loro principali informatori circa il periodo in cui visse ed agì Muhammad.",A person who accepts the leadership of another,it,1,1,,,FALSE,FALSE,TRUE,,
antropoide,n,yes,ddf,bn:00004587n,IWN,"In mitologia, attribuzione di caratteri umani alle divinità// L'antropomorfismo è l'attribuzione di caratteristiche e qualità umane ad esseri animati o inanimati o a fenomeni naturali o soprannaturali, in particolare divinità.// Attribuzione di caratteristiche umane a esseri non umani, oggetti, fenomeni o concetti.",The representation of objects (especially a god) as having human form or traits,it,1,0,,,FALSE,TRUE,FALSE,,0
accolito,n,no,qas,bn:00020591n,OMWN_IT,Someone who assists in a plot,Someone who assists in a plot,en,1,1,,,FALSE,FALSE,TRUE,,
accolta,n,no,qas,bn:00006479n,IWN,"Riunione,affollamento di persone.// Riunione,affollamento di persone",A group of persons together in one place,it,0,0,,,FALSE,FALSE,TRUE,,
mascalzonata,n,no,cds,bn:00004630n,OMWN_IT,Azione da monello// Qualcosa detto o fatto per divertire.,A ludicrous or grotesque act done for fun and amusement,it,2,3,,,,,FALSE,,2
membro,n,no,asm,bn:00005033n,OMWN_IT,An external body part that projects from the body,An external body part that projects from the body,en,0,1,,,,,FALSE,,0
accozzaglia,n,no,qas,bn:00033702n,IWN,A motley assortment of things,A motley assortment of things,en,1,1,,,FALSE,FALSE,TRUE,,
membro,n,no,asm,bn:00005034n,WIKT,A natural prolongation or projection from a part of an organism either animal or plant,A natural prolongation or projection from a part of an organism either animal or plant,en,3,1,,,,,FALSE,,1
adescatrice,n,no,pr,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
aﬀamato,a,yes,is,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
aggressivo,a,no,svp,bn:00096662a,OMWIKI,Caratteristica di un nemico o di qualcuno che si vuole combattere.,Characteristic of an enemy or one eager to fight,it,3,3,,,FALSE,FALSE,TRUE,,
strafalcione,n,no,cds,bn:00005081n,IWN,"Atto, discorso da sciocco.// Atto, discorso da sciocco",Nonsensical talk or writing,it,3,2,,,,,FALSE,,3
aguzzino,n,no,cds,bn:00042913n,OMWIKI,Un tormentatore insistente.,A persistent tormentor,it,3,3,,,FALSE,FALSE,TRUE,,
armamentario,n,no,qas,bn:00005168n,OMWN_IT,Equipment consisting of miscellaneous articles needed for a particular operation or sport etc.,Equipment consisting of miscellaneous articles needed for a particular operation or sport etc.,en,1,0,usato per esempio in siciliano quando si parla negativamente di un ammasso di cose (inutili per la maggior parte),,FALSE,TRUE,FALSE,,0
ballista,n,no,cds,bn:00005338n,WIKI,"La balista è una grande macchina d'assedio inventata dai Greci e usata soprattutto dai Romani.// L'arbalesta è una tarda variante della balestra medievale europea.// Il trabucco o trabocco è una macchina d'assedio di grandi dimensioni.// La manganella era un tipo di catapulta o una macchina da assedio usata durante il Medioevo per lanciare proiettili contro le mura di un castello.// La parola catapulta è un termine generico per indicare una macchina da assedio che sfrutta un braccio per scagliare con tiro curvo grosse pietre di cento, duecento e più libbre, proiettili di metallo o dardi e frecce.// Arma usata negli assedi// Macchina d''assedio",An engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles,it,1,0,"per estensione di contaballe, racconta frottole",,FALSE,TRUE,FALSE,,0
aguzzino,n,no,cds,bn:00061698n,IWN,"In senso esteso chiunque tormenti gli altri;in senso figurato, chi perseguita gli altri.// In senso esteso chiunque tormenti gli altri// In senso figurato, chi perseguita gli altri",Someone who torments,it,3,3,,,FALSE,FALSE,TRUE,,
albionico,a,yes,ps,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
ambeduismo,n,no,cds,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
americanata,n,yes,ps,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
ammazzasentenze,n,yes,pa,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
fanatismo,n,no,cds,bn:00005509n,WIKI,"Gli zeloti erano un gruppo politico-religioso giudaico apparso all'inizio del I secolo, partigiani accaniti dell'indipendenza politica del regno di Giudea, nonché difensori dell'ortodossia e dell'integralismo ebraici dell'epoca.",A feeling of strong eagerness (usually in favor of a person or cause),it,1,3,,,,,FALSE,,1
analfabeta,n,yes,ddp,bn:00045951n,IWN,Chi non sa leggere né scrivere,A person unable to read,it,1,1,,,FALSE,FALSE,TRUE,,
analfabeta,n,yes,ddp,bn:00003789n,WNTR,An illiterate person who does not know the alphabet,An illiterate person who does not know the alphabet,en,1,1,,,FALSE,FALSE,TRUE,,
analfabeta,a,yes,ddp,bn:00097038a,IWN,Detto di chi non sa leggere né scrivere.// Detto di chi non sa leggere né scrivere,Having little acquaintance with writing,it,1,1,,,FALSE,FALSE,TRUE,,
analfabeta,a,yes,ddp,bn:00104569a,OMWN_IT,Not able to read or write,Not able to read or write,en,1,1,,,FALSE,FALSE,TRUE,,
analfabeta,n,yes,ddp,bn:00051525n,WIKI,"L'alfabetizzazione è il grado di sviluppo delle capacità individuali di lettura e scrittura, con riferimento al gruppo culturale di appartenenza.// Grado di sviluppo delle capacità individuali di lettura e scrittura",The ability to read and write,it,,0,"qui ci deve essere un errore di appartenenza alla glossa perché appartiene a due glosse contrarie e infatti leggendo su babelnet il sysnset è: literacy , illiterate , nonliterate",glossa En errata,FALSE,FALSE,TRUE,,
analfabeta,n,yes,ddp,bn:16212910n,WIKI,"L'analfabetismo è l'incapacità di leggere e scrivere, dovuta per lo più a una mancata istruzione o a una pratica insufficiente.",,it,1,1,,,FALSE,FALSE,TRUE,,
androcchia,n,no,pr,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
combriccola,n,no,cds,bn:00005804n,OMWN_IT,"Grande gruppo di persone, che si è riunito per un determinato scopo.",A large number of people united for some specific purpose,it,2,1,la combriccola ha connotazione comunemente negativa (riferendosi al fatto di riunirsi per pianificare qualcosa/con scopi non leciti),,,,FALSE,,1
angiporto,n,no,cds,bn:08933234n,WIKI,"L'angiporto è un particolare vicolo, prettamente riscontrabile nei centri storici medioevali.",,it,0,0,,,FALSE,FALSE,TRUE,,
anguilla,n,no,an,bn:00004181n,WNTR,A native or inhabitant of the island of Anguilla in the West Indies,A native or inhabitant of the island of Anguilla in the West Indies,en,0,0,,,FALSE,FALSE,TRUE,,
anguilla,n,no,an,bn:00004182n,WIKIDATA,Famiglia di pesci,Eels that live in fresh water as adults but return to the sea to spawn,it,1,1,,,FALSE,FALSE,TRUE,,
massa,n,no,cds,bn:00005804n,OMWN_IT,"Grande gruppo di persone, che si è riunito per un determinato scopo.",A large number of people united for some specific purpose,it,0,1,,,,,FALSE,,1
anguilla,n,no,an,bn:00029858n,OMWN_IT,The fatty flesh of eel; an elongate fish found in fresh water in Europe and America; large eels are usually smoked or pickled,The fatty flesh of eel; an elongate fish found in fresh water in Europe and America; large eels are usually smoked or pickled,en,1,1,,,FALSE,FALSE,TRUE,,
anguilla,n,no,an,bn:00004179n,WIKITR,Type genus of the Anguillidae: eels,Type genus of the Anguillidae: eels,en,1,1,,,FALSE,FALSE,TRUE,,
anguilla,n,no,an,bn:00029859n,OMWN_IT,"Gli anguilliformi sono un ordine di pesci caratterizzato da specie con corpo serpentiforme.// Ordine di pesci// Pesce commestibile dalla forma di serpente, che vive in acqua dolce e in mare.",Voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins,it,1,1,,,FALSE,FALSE,TRUE,,
anguilla,n,no,an,bn:08934083n,WIKI,"In araldica l'anguilla è rappresentata ondeggiante, sia in fascia che in palo.// Figura araldica// Figura araldica",,it,0,0,,,FALSE,FALSE,TRUE,,
animale,n,no,an,bn:00004222n,WIKI,"Gli animali o metazoi sono un regno del dominio degli eucarioti.// Fauna è un termine collettivo utilizzato per indicare l'insieme delle specie animali che risiedono in un dato territorio o in un particolare ambiente, oppure appartenenti ad un determinato taxon o viventi in un preciso periodo storico o geologico.// Oppure appartenenti ad un determinato taxon o viventi in un preciso periodo storico o geologico// Suddivisione dei domini dei viventi// Organismo vivente caratterizzato da movimento volontario.// L'intera vita animale di una determinata regione, habitat o strato geologico.// La vita degli animali di una regione o di un determinato momento.// Qualsiasi organismo vivente caratterizzato da un movimento volontario, che possiede cellule con pareti non di cellulosa ed organi di senso specializzati che abilitano risposte veloci agli stimoli, e capace di ingerire complesse sostanze organiche provenienti da altri esseri viventi.// Processo, sessuato o asessuato, mediante il quale un animale produce uno o più individui simili allo stesso.// Animale non umano, specialmente un grande mammifero quadrupede.",A living organism characterized by voluntary movement,it,1,1,,,FALSE,FALSE,TRUE,,
animale,a,no,an,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
animale,n,no,an,bn:17786954n,WIKI,"Animale è un album discografico del cantante italiano Scialpi, pubblicato nel 1984 dalla RCA.",,it,0,0,,,FALSE,FALSE,TRUE,,
baracca,n,no,qas,bn:00005813n,OMWIKI,"Costruzione di piccole dimensioni fatta di legno, canne, paglia e sim., usata come abitazione o come riparo per animali.",Temporary military shelter,it,0,1,,,FALSE,FALSE,FALSE,,0
bufalo,n,no,an,bn:00006344n,WIKIDATA,"Il bufalo indiano o bufalo d'acqua, la cui forma selvatica è detta arni ed è a volte classificata come specie a sé stante, è un grosso erbivoro della sottofamiglia dei bovini.// Animale, detto anche bufalo d'acqua// Specie di animale della famiglia Bovidae// Grande ungulato, ampiamente usato come animale domestico in Asia.",An Asian buffalo that is often domesticated for use as a draft animal,it,1,0,,,FALSE,TRUE,FALSE,,0
calunnia,n,no,re,bn:00006402n,OMWN_IT,Un attacco alla reputazione di una persona mediante una qualche informazione diffamatoria.,An abusive attack on a person's character or good name,it,3,,,,,,FALSE,,3
stupro,n,no,re,bn:00006469n,IWN,"Crimine violento contro la persona// La violenza sessuale è un delitto commesso da chi usa in modo illecito la propria forza, la propria autorità o un mezzo di sopraffazione costringendo con atti, prevaricazione o minaccia a compiere o a subire atti sessuali contro la propria volontà.// Tipo di aggressione sessuale// L'atto di obbligare qualcuno ad avere rapporti sessuali o altra attività sessuali con l'altra persona contro la sua volontà.",The crime of forcing a woman to submit to sexual intercourse against her will,it,2,3,,,,,FALSE,,3
anticume,n,no,cds,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
antropoide,n,yes,ddf,bn:00004579n,OMWN_IT,Any member of the suborder Anthropoidea including monkeys and apes and hominids,Any member of the suborder Anthropoidea including monkeys and apes and hominids,en,0,0,,,FALSE,FALSE,TRUE,,
furbizia,n,no,cds,bn:00006672n,IWN,"Qualità di chi è astuto, accorto.// Qualità di chi è astuto, accorto// Intelligenza manifestata da un essere astuto.",Intelligence manifested by being astute (as in business dealings),it,1,2,,,,,FALSE,,1
arcadico,a,no,qas,bn:00097439a,OMWN_IT,Dell'Arcadia,(used with regard to idealized country life) idyllically rustic,it,0,0,,,FALSE,FALSE,TRUE,,
armamentario,n,no,qas,bn:00031322n,OMWN_IT,"Insieme di materiali, impianti, strumenti o apparecchi utilizzati per poter svolgere un'attività, un servizio o un'impresa.",An instrumentality needed for an undertaking or to perform a service,it,0,0,,,FALSE,FALSE,TRUE,,
zucca,n,no,or,bn:00007039n,OMWN_IT,Nick Jr. è un'emittente televisiva statunitense tematica internazionale di proprietà di Viacom Media Networks.,Informal terms for a human head,it,3,1,inconstistenza tra le glosse,glossa En errata,,,FALSE,,1
armamentario,n,no,qas,bn:00049242n,WIKI,"Insieme di attrezzi, di strumenti.// Insieme di attrezzi, di strumenti// Nel calcio l'equipaggiamento dei calciatori, detto anche kit si riferisce all'equipaggiamento standard e all'abbigliamento indossato dai giocatori.",Gear consisting of a set of articles or tools for a specified purpose,it,0,0,,,FALSE,FALSE,TRUE,,
armamentario,n,no,qas,bn:00005723n,WIKI,"Un dispositivo medico è uno strumento utilizzato in medicina per finalità diagnostiche e/o terapeutiche.// Strumento, apparecchio, impianto, sostanza o altro prodotto utilizzato per finalità diagnostiche e/o terapeutiche.",The collection of equipment and methods used in the practice of medicine,it,0,0,,,FALSE,FALSE,TRUE,,
arruﬀapopoli,n,no,cds,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
articolessa,n,no,cds,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
ascaro,n,yes,ps,bn:03370865n,WIKIDATA,"An askari was a local soldier serving in the armies of the European colonial powers in Africa, particularly in East Africa, Northeast Africa, and Central Africa.","An askari was a local soldier serving in the armies of the European colonial powers in Africa, particularly in East Africa, Northeast Africa, and Central Africa.",en,0,0,,,FALSE,FALSE,TRUE,,
ascaro,n,yes,ps,bn:16032200n,WIKI,"Gli àscari erano soldati mercenari eritrei dell'Africa Orientale Italiana, inquadrati come componenti regolari dei Regi Corpi Truppe Coloniali, le forze coloniali italiane in Africa.",,it,0,0,,,FALSE,FALSE,TRUE,,
asinaggine,n,no,an,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
asinata,n,no,an,bn:00010147n,OMWN_IT,A stupid mistake,A stupid mistake,en,3,3,,,FALSE,FALSE,TRUE,,
asinata,n,no,an,bn:00005081n,OMWN_IT,"Atto, discorso da sciocco.// Atto, discorso da sciocco",Nonsensical talk or writing,it,3,3,,,FALSE,FALSE,TRUE,,
asinata,n,no,an,bn:08991856n,WIKI,"Le asinate erano delle manifestazioni paliesche corse con gli asini, che venivano disputate nella città di Siena nel corso del XVII secolo.",,it,0,0,,,FALSE,FALSE,TRUE,,
asineria,n,no,an,bn:00005081n,OMWN_IT,"Atto, discorso da sciocco.// Atto, discorso da sciocco",Nonsensical talk or writing,it,3,3,,,FALSE,FALSE,TRUE,,
zia,n,no,om,bn:00007182n,OMWN_IT,La sorella del padre o della madre// Sorella di un genitore// Donna con uno o più fratelli o sorelle che hanno uno o più figli; una sorella del padre o della madre di qualcuno.,The sister of your father or mother; the wife of your uncle,it,1,0,,,,,FALSE,,0
asinescamente,av,no,an,bn:00115094r,OMWN_IT,In modo che rivela ignoranza// In modo stupido.,In a stupid manner,it,3,3,,,FALSE,FALSE,TRUE,,
asinesco,a,no,an,bn:00098804a,OMWN_IT,Mentalmente limitato.// Mentalmente limitato,Not using intelligence,it,3,3,,,FALSE,FALSE,TRUE,,
asino,n,no,an,bn:00058827n,WIKI,Asino è un gioco di carte molto semplice che può essere giocato a tutte le età e con un numero estremamente variabile di giocatori.// Un gioco di carte// Gioco di carte,A card game using a pack of cards from which one queen has been removed; players match cards and the player holding the unmatched queen at the end of the game is the loser (or `old maid'),it,0,0,,,FALSE,FALSE,TRUE,,
asino,n,no,an,bn:00012591n,WIKT,A man who is a stupid incompetent fool,A man who is a stupid incompetent fool,en,3,3,,,FALSE,FALSE,TRUE,,
asino,n,no,an,bn:00035672n,OMWN_IT,Persona con poco giudizio o intelligenza.,A person who lacks good judgment,it,3,3,,,FALSE,FALSE,TRUE,,
asino,n,no,an,bn:00011336n,WIKT,A stupid person; these words are used to express a low opinion of someone's intelligence,A stupid person; these words are used to express a low opinion of someone's intelligence,en,3,3,,,FALSE,FALSE,TRUE,,
asino,n,no,an,bn:00045891n,IWN,Una persona ignorante.// Una persona ignorante,An ignorant person,it,3,3,,,FALSE,FALSE,TRUE,,
